,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,530,['Sophia'],['Callie Calls'],"JD, QC, 4H, 4S, 10S","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""4"", ""Hearts""), Card(""4"", ""Spades""), Card(""9"", ""Diamonds""), Card(""10"", ""Spades"")]), 'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""4"", ""Hearts""), Card(""4"", ""Spades""), Card(""10"", ""Spades"")])}",0
1,168,['Sophia'],['Callie Calls'],"7H, 10D, KC, JD, 9S","{'Sophia': Hand([Card(""7"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""9"", ""Spades"")])}",1
2,74,['Michelle'],['Robbie Random'],"5C, 4H, 3H, 2D, 6S","{'Michelle': Hand([Card(""5"", ""Clubs""), Card(""4"", ""Hearts""), Card(""3"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""6"", ""Spades"")]), 'Sophia': Hand([Card(""7"", ""Hearts""), Card(""3"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""2"", ""Hearts"")])}",2
3,25,['Cody'],['Robbie Random'],"QH, 6C, 10H, AC, 7S","{'Cody': Hand([Card(""Q"", ""Hearts""), Card(""6"", ""Clubs""), Card(""10"", ""Hearts""), Card(""A"", ""Clubs""), Card(""7"", ""Spades"")]), 'Sophia': Hand([Card(""5"", ""Hearts""), Card(""6"", ""Clubs""), Card(""10"", ""Hearts""), Card(""A"", ""Clubs""), Card(""7"", ""Spades"")])}",3
4,137,['Sophia'],['Callie Calls'],"8S, 3H, AC, 3S, 8H","{'Cody': Hand([Card(""7"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""8"", ""Hearts"")]), 'Sophia': Hand([Card(""8"", ""Spades""), Card(""3"", ""Hearts""), Card(""A"", ""Clubs""), Card(""3"", ""Spades""), Card(""8"", ""Hearts"")])}",4
5,3,['Sophia'],['Callie Calls'],"AD, 4H, 4S, KS, KC","{'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""4"", ""Hearts""), Card(""4"", ""Spades""), Card(""K"", ""Spades""), Card(""K"", ""Clubs"")])}",5
6,3,['Sophia'],['Callie Calls'],"JC, 3C, 3S, 10H, 9C","{'Sophia': Hand([Card(""J"", ""Clubs""), Card(""3"", ""Clubs""), Card(""3"", ""Spades""), Card(""10"", ""Hearts""), Card(""9"", ""Clubs"")])}",6
7,6,['Sophia'],['Callie Calls'],"9S, AS, KH, 6C, AD","{'Sophia': Hand([Card(""9"", ""Spades""), Card(""A"", ""Spades""), Card(""K"", ""Hearts""), Card(""6"", ""Clubs""), Card(""A"", ""Diamonds"")])}",7
8,29,['Sophia'],['Callie Calls'],"2C, 2D, JS, QC, AS","{'Sophia': Hand([Card(""2"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""J"", ""Spades""), Card(""Q"", ""Clubs""), Card(""A"", ""Spades"")])}",8
9,3,['Sophia'],['Callie Calls'],"3H, 7D, 10S, KS, 3C","{'Sophia': Hand([Card(""3"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""10"", ""Spades""), Card(""K"", ""Spades""), Card(""3"", ""Clubs"")])}",9
10,3,['Sophia'],['Callie Calls'],"7C, 9S, 10S, JS, 8S","{'Sophia': Hand([Card(""7"", ""Clubs""), Card(""9"", ""Spades""), Card(""10"", ""Spades""), Card(""J"", ""Spades""), Card(""8"", ""Spades"")])}",10
11,6,['Sophia'],['Callie Calls'],"KD, 9D, QS, KC, JC","{'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""K"", ""Clubs""), Card(""J"", ""Clubs"")])}",11
12,6,['Sophia'],['Callie Calls'],"QH, 4H, QS, 4C, AH","{'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""4"", ""Hearts""), Card(""Q"", ""Spades""), Card(""4"", ""Clubs""), Card(""A"", ""Hearts"")])}",12
13,6,['Sophia'],['Callie Calls'],"KS, 10H, 10S, JH, QC","{'Sophia': Hand([Card(""K"", ""Spades""), Card(""10"", ""Hearts""), Card(""10"", ""Spades""), Card(""J"", ""Hearts""), Card(""Q"", ""Clubs"")])}",13
14,6,['Sophia'],['Callie Calls'],"10D, JC, 4S, AC, 4D","{'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""4"", ""Spades""), Card(""A"", ""Clubs""), Card(""4"", ""Diamonds"")])}",14
15,6,['Sophia'],['Callie Calls'],"AS, 5H, AC, JS, 5D","{'Sophia': Hand([Card(""A"", ""Spades""), Card(""5"", ""Hearts""), Card(""A"", ""Clubs""), Card(""J"", ""Spades""), Card(""5"", ""Diamonds"")])}",15
16,6,['Sophia'],['Callie Calls'],"KC, 10C, 8S, AS, 7H","{'Sophia': Hand([Card(""K"", ""Clubs""), Card(""10"", ""Clubs""), Card(""8"", ""Spades""), Card(""A"", ""Spades""), Card(""7"", ""Hearts"")])}",16
17,6,['Sophia'],['Callie Calls'],"JH, 4D, QC, 10H, 4S","{'Sophia': Hand([Card(""J"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""10"", ""Hearts""), Card(""4"", ""Spades"")])}",17
18,6,['Sophia'],['Callie Calls'],"JC, QH, 9H, KS, 5D","{'Sophia': Hand([Card(""J"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""9"", ""Hearts""), Card(""K"", ""Spades""), Card(""5"", ""Diamonds"")])}",18
