,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,438,['Madi'],['Callie Calls'],"6H, 10S, QH, AC, KS","{'Madi': Hand([Card(""6"", ""Hearts""), Card(""10"", ""Spades""), Card(""Q"", ""Hearts""), Card(""A"", ""Clubs""), Card(""K"", ""Spades"")]), 'Sophia': Hand([Card(""10"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""A"", ""Clubs""), Card(""K"", ""Spades""), Card(""5"", ""Hearts"")])}",0
1,231,['Michelle'],['Robbie Random'],"5C, AC, JC, AH, QD","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""2"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""2"", ""Spades""), Card(""Q"", ""Diamonds"")]), 'Michelle': Hand([Card(""5"", ""Clubs""), Card(""A"", ""Clubs""), Card(""J"", ""Clubs""), Card(""A"", ""Hearts""), Card(""Q"", ""Diamonds"")])}",1
2,361,['Cody'],['Robbie Random'],"10S, 8C, KC, JS, 8S","{'Cody': Hand([Card(""10"", ""Spades""), Card(""8"", ""Clubs""), Card(""K"", ""Clubs""), Card(""J"", ""Spades""), Card(""8"", ""Spades"")]), 'Madi': Hand([Card(""A"", ""Diamonds""), Card(""3"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""3"", ""Spades""), Card(""J"", ""Spades"")])}",2
3,649,['Madi'],['Callie Calls'],"JS, 6C, 6S, AC, KC","{'Madi': Hand([Card(""J"", ""Spades""), Card(""6"", ""Clubs""), Card(""6"", ""Spades""), Card(""A"", ""Clubs""), Card(""K"", ""Clubs"")])}",3
4,5,['Madi'],['Callie Calls'],"JS, 7S, 7H, 4C, 4D","{'Madi': Hand([Card(""J"", ""Spades""), Card(""7"", ""Spades""), Card(""7"", ""Hearts""), Card(""4"", ""Clubs""), Card(""4"", ""Diamonds"")])}",4
5,102,"['Cody', 'Madi']","['Robbie Random', 'Callie Calls']","2H, QD, 2D, 7D, JH","{'Cody': Hand([Card(""2"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""2"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""J"", ""Hearts"")]), 'Madi': Hand([Card(""2"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""2"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""J"", ""Hearts"")])}",5
6,86,['Madi'],['Callie Calls'],"3S, KC, 10D, KH, 3D","{'Madi': Hand([Card(""3"", ""Spades""), Card(""K"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""3"", ""Diamonds"")])}",6
7,19,['Madi'],['Callie Calls'],"6H, KH, JD, QD, AD","{'Madi': Hand([Card(""6"", ""Hearts""), Card(""K"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""A"", ""Diamonds"")])}",7
8,3,['Madi'],['Callie Calls'],"6S, QD, KH, 6D, AH","{'Madi': Hand([Card(""6"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""A"", ""Hearts"")])}",8
9,3,['Madi'],['Callie Calls'],"8S, JH, 8H, 10H, 9D","{'Madi': Hand([Card(""8"", ""Spades""), Card(""J"", ""Hearts""), Card(""8"", ""Hearts""), Card(""10"", ""Hearts""), Card(""9"", ""Diamonds"")])}",9
