,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,514,['Madi'],['Callie Calls'],"AS, 4H, 4D, JC, 8D","{'Madi': Hand([Card(""A"", ""Spades""), Card(""4"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""8"", ""Diamonds"")]), 'Sophia': Hand([Card(""K"", ""Clubs""), Card(""4"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""8"", ""Diamonds"")])}",0
1,117,['Sophia'],['Callie Calls'],"QH, JS, JC, 7H, 7C","{'Madi': Hand([Card(""8"", ""Spades""), Card(""A"", ""Spades""), Card(""J"", ""Clubs""), Card(""7"", ""Hearts""), Card(""7"", ""Clubs"")]), 'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""J"", ""Spades""), Card(""J"", ""Clubs""), Card(""7"", ""Hearts""), Card(""7"", ""Clubs"")])}",1
2,32,['Sophia'],['Callie Calls'],"JD, JC, 9H, 8H, 10S","{'Madi': Hand([Card(""8"", ""Spades""), Card(""J"", ""Clubs""), Card(""9"", ""Hearts""), Card(""8"", ""Hearts""), Card(""10"", ""Spades"")]), 'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""9"", ""Hearts""), Card(""8"", ""Hearts""), Card(""10"", ""Spades"")])}",2
3,273,['Sophia'],['Callie Calls'],"5C, 6H, JH, 6D, 5D","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""J"", ""Hearts""), Card(""10"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""5"", ""Diamonds"")]), 'Sophia': Hand([Card(""5"", ""Clubs""), Card(""6"", ""Hearts""), Card(""J"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""5"", ""Diamonds"")])}",3
4,5,"['Madi', 'Sophia']","['Callie Calls', 'Callie Calls']","8H, 9S, 10H, JD, QC","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""9"", ""Spades""), Card(""10"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""Q"", ""Clubs"")]), 'Sophia': Hand([Card(""8"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""9"", ""Hearts"")])}",4
5,4,['Madi'],['Callie Calls'],"10D, 6S, 6H, 10S, JS","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""6"", ""Spades""), Card(""6"", ""Hearts""), Card(""10"", ""Spades""), Card(""J"", ""Spades"")]), 'Sophia': Hand([Card(""8"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""6"", ""Hearts""), Card(""10"", ""Spades""), Card(""J"", ""Spades"")])}",5
6,6,['Sophia'],['Callie Calls'],"QD, 7H, KD, 7D, QC","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""10"", ""Spades""), Card(""7"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""7"", ""Diamonds"")]), 'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""Q"", ""Clubs"")])}",6
7,5,['Sophia'],['Callie Calls'],"10S, 9S, 7S, KS, 8S","{'Madi': Hand([Card(""5"", ""Spades""), Card(""9"", ""Spades""), Card(""7"", ""Spades""), Card(""K"", ""Spades""), Card(""8"", ""Spades"")]), 'Sophia': Hand([Card(""10"", ""Spades""), Card(""9"", ""Spades""), Card(""7"", ""Spades""), Card(""K"", ""Spades""), Card(""8"", ""Spades"")])}",7
8,4,['Sophia'],['Callie Calls'],"9D, 10C, AS, QD, AH","{'Madi': Hand([Card(""10"", ""Spades""), Card(""7"", ""Diamonds""), Card(""A"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""A"", ""Hearts"")]), 'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""A"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""A"", ""Hearts"")])}",8
9,6,['Madi'],['Callie Calls'],"KC, 6H, KS, AH, 7D","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""6"", ""Hearts""), Card(""K"", ""Spades""), Card(""A"", ""Hearts""), Card(""7"", ""Diamonds"")]), 'Sophia': Hand([Card(""3"", ""Hearts""), Card(""K"", ""Spades""), Card(""3"", ""Clubs""), Card(""A"", ""Hearts""), Card(""7"", ""Diamonds"")])}",9
