,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,580,['Madi'],['Callie Calls'],"KD, 4D, JD, AD, 5D","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""4"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""5"", ""Diamonds"")]), 'Michelle': Hand([Card(""Q"", ""Spades""), Card(""6"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""8"", ""Hearts"")]), 'Sophia': Hand([Card(""5"", ""Spades""), Card(""A"", ""Spades""), Card(""J"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""5"", ""Diamonds"")])}",0
1,199,['Madi'],['Callie Calls'],"9H, 9S, 8C, 7H, KS","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""9"", ""Spades""), Card(""8"", ""Clubs""), Card(""7"", ""Hearts""), Card(""K"", ""Spades"")])}",1
2,15,['Madi'],['Callie Calls'],"KH, JD, KS, 2D, KD","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""K"", ""Spades""), Card(""2"", ""Diamonds""), Card(""K"", ""Diamonds"")])}",2
3,8,['Madi'],['Callie Calls'],"AH, 10C, 7C, AC, QD","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""10"", ""Clubs""), Card(""7"", ""Clubs""), Card(""A"", ""Clubs""), Card(""Q"", ""Diamonds"")])}",3
4,3,['Madi'],['Callie Calls'],"8D, QS, KD, 8S, 9S","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""K"", ""Diamonds""), Card(""8"", ""Spades""), Card(""9"", ""Spades"")])}",4
5,3,['Madi'],['Callie Calls'],"3D, 8D, 3C, 8H, AD","{'Madi': Hand([Card(""3"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""8"", ""Hearts""), Card(""A"", ""Diamonds"")])}",5
6,3,['Madi'],['Callie Calls'],"10C, JD, 7C, 9D, 6S","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""6"", ""Spades"")])}",6
7,3,['Madi'],['Callie Calls'],"AH, AD, JS, 2C, 2D","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""J"", ""Spades""), Card(""2"", ""Clubs""), Card(""2"", ""Diamonds"")])}",7
8,3,['Madi'],['Callie Calls'],"9D, 10S, KH, 8D, 5S","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""10"", ""Spades""), Card(""K"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""5"", ""Spades"")])}",8
9,3,['Madi'],['Callie Calls'],"5C, 8D, 4C, 4S, 10H","{'Madi': Hand([Card(""5"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""4"", ""Clubs""), Card(""4"", ""Spades""), Card(""10"", ""Hearts"")])}",9
