,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,625,['Sophia'],['Callie Calls'],"5S, 7D, 7C, KH, 5H","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""9"", ""Hearts""), Card(""K"", ""Hearts"")]), 'Michelle': Hand([Card(""7"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""9"", ""Hearts""), Card(""K"", ""Hearts""), Card(""5"", ""Hearts"")]), 'Sophia': Hand([Card(""5"", ""Spades""), Card(""7"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""K"", ""Hearts""), Card(""5"", ""Hearts"")])}",0
1,31,['Sophia'],['Callie Calls'],"JD, AD, 10D, 8C, JH","{'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""J"", ""Hearts"")])}",1
2,67,['Sophia'],['Callie Calls'],"JS, 10D, 9D, 7D, 9C","{'Sophia': Hand([Card(""J"", ""Spades""), Card(""10"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""9"", ""Clubs"")])}",2
3,31,['Sophia'],['Callie Calls'],"10D, 10S, 5S, 5H, AS","{'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""10"", ""Spades""), Card(""5"", ""Spades""), Card(""5"", ""Hearts""), Card(""A"", ""Spades"")])}",3
4,6,['Sophia'],['Callie Calls'],"8D, QD, QS, 10S, 8S","{'Sophia': Hand([Card(""8"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""10"", ""Spades""), Card(""8"", ""Spades"")])}",4
5,7,['Sophia'],['Callie Calls'],"AH, JC, JD, QS, QH","{'Cody': Hand([Card(""J"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""9"", ""Spades""), Card(""Q"", ""Hearts"")]), 'Sophia': Hand([Card(""A"", ""Hearts""), Card(""J"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""Q"", ""Hearts"")])}",5
6,3,['Sophia'],['Callie Calls'],"AD, QD, AS, 8C, 9C","{'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""A"", ""Spades""), Card(""8"", ""Clubs""), Card(""9"", ""Clubs"")])}",6
7,3,['Sophia'],['Callie Calls'],"KC, JC, 2C, 10C, QC","{'Sophia': Hand([Card(""K"", ""Clubs""), Card(""J"", ""Clubs""), Card(""2"", ""Clubs""), Card(""10"", ""Clubs""), Card(""Q"", ""Clubs"")])}",7
8,3,['Sophia'],['Callie Calls'],"6S, 2C, 3C, 5S, 4S","{'Sophia': Hand([Card(""6"", ""Spades""), Card(""2"", ""Clubs""), Card(""3"", ""Clubs""), Card(""5"", ""Spades""), Card(""4"", ""Spades"")])}",8
9,3,['Sophia'],['Callie Calls'],"AH, 7S, 6H, 8S, KH","{'Sophia': Hand([Card(""A"", ""Hearts""), Card(""7"", ""Spades""), Card(""6"", ""Hearts""), Card(""8"", ""Spades""), Card(""K"", ""Hearts"")])}",9
10,3,['Sophia'],['Callie Calls'],"3H, KC, KH, JS, 3S","{'Sophia': Hand([Card(""3"", ""Hearts""), Card(""K"", ""Clubs""), Card(""K"", ""Hearts""), Card(""J"", ""Spades""), Card(""3"", ""Spades"")])}",10
11,6,['Sophia'],['Callie Calls'],"5C, AH, 5D, JD, JH","{'Sophia': Hand([Card(""5"", ""Clubs""), Card(""A"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""J"", ""Hearts"")])}",11
12,6,['Sophia'],['Callie Calls'],"2C, 2S, 9H, 7S, KH","{'Sophia': Hand([Card(""2"", ""Clubs""), Card(""2"", ""Spades""), Card(""9"", ""Hearts""), Card(""7"", ""Spades""), Card(""K"", ""Hearts"")])}",12
13,6,['Sophia'],['Callie Calls'],"10C, 9S, AC, QD, QS","{'Sophia': Hand([Card(""10"", ""Clubs""), Card(""9"", ""Spades""), Card(""A"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Spades"")])}",13
14,6,['Sophia'],['Callie Calls'],"7S, JH, AD, 8C, JD","{'Sophia': Hand([Card(""7"", ""Spades""), Card(""J"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""J"", ""Diamonds"")])}",14
15,6,['Sophia'],['Callie Calls'],"9S, QS, 8D, 8C, KS","{'Sophia': Hand([Card(""9"", ""Spades""), Card(""Q"", ""Spades""), Card(""8"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""K"", ""Spades"")])}",15
16,6,['Sophia'],['Callie Calls'],"7H, AS, 7S, JD, JH","{'Sophia': Hand([Card(""7"", ""Hearts""), Card(""A"", ""Spades""), Card(""7"", ""Spades""), Card(""J"", ""Diamonds""), Card(""J"", ""Hearts"")])}",16
17,6,['Sophia'],['Callie Calls'],"5D, 10D, KH, 8C, 8D","{'Sophia': Hand([Card(""5"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""8"", ""Clubs""), Card(""8"", ""Diamonds"")])}",17
18,6,['Sophia'],['Callie Calls'],"10D, QS, AC, JH, JD","{'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""A"", ""Clubs""), Card(""J"", ""Hearts""), Card(""J"", ""Diamonds"")])}",18
19,6,['Sophia'],['Callie Calls'],"5C, 7D, 7S, JH, 5H","{'Sophia': Hand([Card(""5"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""7"", ""Spades""), Card(""J"", ""Hearts""), Card(""5"", ""Hearts"")])}",19
20,6,['Sophia'],['Callie Calls'],"10S, 2H, 10D, 10C, 9S","{'Sophia': Hand([Card(""10"", ""Spades""), Card(""2"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""9"", ""Spades"")])}",20
21,12,['Sophia'],['Callie Calls'],"2S, 7D, 6C, 2D, KH","{'Sophia': Hand([Card(""2"", ""Spades""), Card(""7"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""K"", ""Hearts"")])}",21
22,12,['Sophia'],['Callie Calls'],"9C, AC, 5D, 8D, JS","{'Sophia': Hand([Card(""9"", ""Clubs""), Card(""A"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""J"", ""Spades"")])}",22
23,12,['Sophia'],['Callie Calls'],"JC, 10S, 9D, 3H, 3C","{'Sophia': Hand([Card(""J"", ""Clubs""), Card(""10"", ""Spades""), Card(""9"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""3"", ""Clubs"")])}",23
24,12,['Sophia'],['Callie Calls'],"7H, 8C, 7S, 4S, KH","{'Sophia': Hand([Card(""7"", ""Hearts""), Card(""8"", ""Clubs""), Card(""7"", ""Spades""), Card(""4"", ""Spades""), Card(""K"", ""Hearts"")])}",24
25,12,['Sophia'],['Callie Calls'],"5C, 5D, 2S, AS, 2C","{'Sophia': Hand([Card(""5"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""2"", ""Spades""), Card(""A"", ""Spades""), Card(""2"", ""Clubs"")])}",25
