,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,577,"['Madi', 'Sophia']","['Callie Calls', 'Callie Calls']","QH, KH, 4C, KD, 4S","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""K"", ""Hearts""), Card(""4"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""4"", ""Spades"")]), 'Michelle': Hand([Card(""J"", ""Hearts""), Card(""K"", ""Hearts""), Card(""4"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""4"", ""Spades"")]), 'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""K"", ""Hearts""), Card(""4"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""4"", ""Spades"")])}",0
1,65,['Sophia'],['Callie Calls'],"QD, AC, 10H, 10C, AH","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""5"", ""Hearts""), Card(""10"", ""Hearts""), Card(""10"", ""Clubs""), Card(""A"", ""Hearts"")]), 'Steve': Hand([Card(""9"", ""Hearts""), Card(""5"", ""Hearts""), Card(""10"", ""Hearts""), Card(""10"", ""Clubs""), Card(""A"", ""Hearts"")]), 'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""10"", ""Hearts""), Card(""10"", ""Clubs""), Card(""A"", ""Hearts"")])}",1
2,199,['Madi'],['Callie Calls'],"3S, QS, JS, 5S, 7S","{'Madi': Hand([Card(""3"", ""Spades""), Card(""Q"", ""Spades""), Card(""J"", ""Spades""), Card(""5"", ""Spades""), Card(""7"", ""Spades"")]), 'Sophia': Hand([Card(""A"", ""Clubs""), Card(""8"", ""Hearts""), Card(""Q"", ""Spades""), Card(""J"", ""Spades""), Card(""7"", ""Spades"")])}",2
3,4,['Madi'],['Callie Calls'],"AS, 2S, 8S, 2H, 10D","{'Madi': Hand([Card(""A"", ""Spades""), Card(""2"", ""Spades""), Card(""8"", ""Spades""), Card(""2"", ""Hearts""), Card(""10"", ""Diamonds"")]), 'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""8"", ""Spades""), Card(""10"", ""Diamonds""), Card(""6"", ""Spades"")])}",3
4,6,['Madi'],['Callie Calls'],"KC, 10S, 4C, 4H, KH","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""10"", ""Spades""), Card(""4"", ""Clubs""), Card(""4"", ""Hearts""), Card(""K"", ""Hearts"")]), 'Sophia': Hand([Card(""9"", ""Spades""), Card(""8"", ""Hearts""), Card(""4"", ""Clubs""), Card(""4"", ""Hearts""), Card(""K"", ""Hearts"")])}",4
5,7,['Sophia'],['Callie Calls'],"10C, 9H, KS, 6C, JH","{'Madi': Hand([Card(""7"", ""Spades""), Card(""8"", ""Diamonds""), Card(""K"", ""Spades""), Card(""6"", ""Clubs""), Card(""J"", ""Hearts"")]), 'Sophia': Hand([Card(""10"", ""Clubs""), Card(""9"", ""Hearts""), Card(""K"", ""Spades""), Card(""6"", ""Clubs""), Card(""J"", ""Hearts"")])}",5
6,6,['Madi'],['Callie Calls'],"KD, QD, 5D, 5C, AC","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""A"", ""Clubs"")]), 'Sophia': Hand([Card(""10"", ""Spades""), Card(""5"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""5"", ""Clubs""), Card(""A"", ""Clubs"")])}",6
7,72,['Sophia'],['Callie Calls'],"6H, 7S, 8D, 4S, 5S","{'Cody': Hand([Card(""3"", ""Clubs""), Card(""2"", ""Clubs""), Card(""4"", ""Spades""), Card(""A"", ""Hearts""), Card(""5"", ""Spades"")]), 'Madi': Hand([Card(""J"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""K"", ""Diamonds"")]), 'Sophia': Hand([Card(""6"", ""Hearts""), Card(""7"", ""Spades""), Card(""8"", ""Diamonds""), Card(""4"", ""Spades""), Card(""5"", ""Spades"")])}",7
8,5,['Madi'],['Callie Calls'],"KH, 6D, 10H, 6H, 10D","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""6"", ""Hearts""), Card(""10"", ""Diamonds"")]), 'Sophia': Hand([Card(""K"", ""Clubs""), Card(""3"", ""Hearts""), Card(""3"", ""Clubs""), Card(""10"", ""Hearts""), Card(""10"", ""Diamonds"")])}",8
9,4,['Madi'],['Callie Calls'],"KC, AC, 3D, KD, 3S","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""A"", ""Clubs""), Card(""3"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""3"", ""Spades"")]), 'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""A"", ""Clubs""), Card(""3"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""3"", ""Spades"")])}",9
10,6,['Sophia'],['Callie Calls'],"7H, 7D, JD, AC, 10C","{'Madi': Hand([Card(""5"", ""Spades""), Card(""Q"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""A"", ""Clubs"")]), 'Sophia': Hand([Card(""7"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""10"", ""Clubs"")])}",10
11,10,['Madi'],['Callie Calls'],"5D, JD, 5S, 9D, KH","{'Madi': Hand([Card(""5"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""5"", ""Spades""), Card(""9"", ""Diamonds""), Card(""K"", ""Hearts"")]), 'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""K"", ""Hearts"")])}",11
12,8,['Madi'],['Callie Calls'],"8C, 7C, 9D, 10H, 6D","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""7"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""6"", ""Diamonds"")]), 'Sophia': Hand([Card(""A"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""6"", ""Diamonds"")])}",12
13,12,['Madi'],['Callie Calls'],"9H, JH, KH, 10C, 8S","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""J"", ""Hearts""), Card(""K"", ""Hearts""), Card(""10"", ""Clubs""), Card(""8"", ""Spades"")]), 'Sophia': Hand([Card(""9"", ""Clubs""), Card(""6"", ""Clubs""), Card(""K"", ""Hearts""), Card(""10"", ""Clubs""), Card(""8"", ""Spades"")])}",13
14,10,['Madi'],['Callie Calls'],"8D, 10S, JS, 8H, JH","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""10"", ""Spades""), Card(""J"", ""Spades""), Card(""8"", ""Hearts""), Card(""J"", ""Hearts"")]), 'Sophia': Hand([Card(""7"", ""Spades""), Card(""7"", ""Hearts""), Card(""J"", ""Spades""), Card(""8"", ""Hearts""), Card(""J"", ""Hearts"")])}",14
15,8,['Sophia'],['Callie Calls'],"8D, 7H, AS, JS, 9S","{'Madi': Hand([Card(""5"", ""Hearts""), Card(""7"", ""Hearts""), Card(""A"", ""Spades""), Card(""J"", ""Spades""), Card(""9"", ""Spades"")]), 'Sophia': Hand([Card(""8"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""A"", ""Spades""), Card(""J"", ""Spades""), Card(""9"", ""Spades"")])}",15
16,12,['Madi'],['Callie Calls'],"5C, 9C, 8S, 5S, AC","{'Madi': Hand([Card(""5"", ""Clubs""), Card(""9"", ""Clubs""), Card(""8"", ""Spades""), Card(""5"", ""Spades""), Card(""A"", ""Clubs"")]), 'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""2"", ""Spades""), Card(""8"", ""Spades""), Card(""A"", ""Clubs""), Card(""2"", ""Hearts"")])}",16
17,10,['Madi'],['Callie Calls'],"3D, 10C, 3H, 7C, 8S","{'Madi': Hand([Card(""3"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""3"", ""Hearts""), Card(""7"", ""Clubs""), Card(""8"", ""Spades"")]), 'Sophia': Hand([Card(""2"", ""Clubs""), Card(""2"", ""Hearts""), Card(""7"", ""Clubs""), Card(""6"", ""Hearts""), Card(""8"", ""Spades"")])}",17
