,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,572,['Madi'],['Callie Calls'],"AD, KC, 4C, 4S, 9C","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""4"", ""Clubs""), Card(""4"", ""Spades""), Card(""9"", ""Clubs"")]), 'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""K"", ""Hearts""), Card(""4"", ""Clubs""), Card(""4"", ""Spades""), Card(""9"", ""Clubs"")])}",0
1,28,"['Madi', 'Steve']","['Callie Calls', 'Robbie Random']","KH, JC, 2C, QD, 2D","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""J"", ""Clubs""), Card(""2"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""2"", ""Diamonds"")]), 'Steve': Hand([Card(""K"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""2"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""2"", ""Diamonds"")])}",1
2,192,['Madi'],['Callie Calls'],"JS, QD, JC, JH, 2S","{'Madi': Hand([Card(""J"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""J"", ""Hearts""), Card(""2"", ""Spades"")])}",2
3,11,['Madi'],['Callie Calls'],"QC, JC, 5D, 5S, 7C","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""J"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""5"", ""Spades""), Card(""7"", ""Clubs"")])}",3
4,10,['Madi'],['Callie Calls'],"7C, AH, AC, KC, 7S","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""A"", ""Hearts""), Card(""A"", ""Clubs""), Card(""K"", ""Clubs""), Card(""7"", ""Spades"")])}",4
5,11,['Madi'],['Callie Calls'],"KH, 10C, 7H, 9C, 9S","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""10"", ""Clubs""), Card(""7"", ""Hearts""), Card(""9"", ""Clubs""), Card(""9"", ""Spades"")])}",5
6,3,['Madi'],['Callie Calls'],"AC, 10D, 9H, AS, 10H","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""A"", ""Spades""), Card(""10"", ""Hearts"")])}",6
7,3,['Madi'],['Callie Calls'],"7D, AS, 3C, 3S, 9S","{'Madi': Hand([Card(""7"", ""Diamonds""), Card(""A"", ""Spades""), Card(""3"", ""Clubs""), Card(""3"", ""Spades""), Card(""9"", ""Spades"")])}",7
8,3,['Madi'],['Callie Calls'],"KS, JD, 5H, AS, JS","{'Madi': Hand([Card(""K"", ""Spades""), Card(""J"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""A"", ""Spades""), Card(""J"", ""Spades"")])}",8
9,3,['Madi'],['Callie Calls'],"4S, 9H, 8D, KC, 4H","{'Madi': Hand([Card(""4"", ""Spades""), Card(""9"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""4"", ""Hearts"")])}",9
10,3,['Madi'],['Callie Calls'],"KS, QC, JC, 10D, QH","{'Madi': Hand([Card(""K"", ""Spades""), Card(""Q"", ""Clubs""), Card(""J"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""Q"", ""Hearts"")])}",10
11,6,['Madi'],['Callie Calls'],"QH, 9S, 5C, JC, AS","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""9"", ""Spades""), Card(""5"", ""Clubs""), Card(""J"", ""Clubs""), Card(""A"", ""Spades"")])}",11
12,6,['Madi'],['Callie Calls'],"QC, QS, KH, QH, 6C","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""Q"", ""Spades""), Card(""K"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""6"", ""Clubs"")])}",12
13,6,['Madi'],['Callie Calls'],"AS, AD, 3C, 3D, 10H","{'Madi': Hand([Card(""A"", ""Spades""), Card(""A"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""3"", ""Diamonds""), Card(""10"", ""Hearts"")])}",13
14,6,['Madi'],['Callie Calls'],"JD, 6C, 7H, 6H, 5S","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""7"", ""Hearts""), Card(""6"", ""Hearts""), Card(""5"", ""Spades"")])}",14
15,6,['Madi'],['Callie Calls'],"9S, KD, JS, JH, 9D","{'Madi': Hand([Card(""9"", ""Spades""), Card(""K"", ""Diamonds""), Card(""J"", ""Spades""), Card(""J"", ""Hearts""), Card(""9"", ""Diamonds"")])}",15
16,6,['Madi'],['Callie Calls'],"7H, 8C, JC, 10D, JD","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""8"", ""Clubs""), Card(""J"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""J"", ""Diamonds"")])}",16
17,6,['Madi'],['Callie Calls'],"7C, QH, 7H, 7D, QC","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""7"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""Q"", ""Clubs"")])}",17
18,6,['Madi'],['Callie Calls'],"6D, 6H, 10H, AS, 7C","{'Madi': Hand([Card(""6"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""10"", ""Hearts""), Card(""A"", ""Spades""), Card(""7"", ""Clubs"")])}",18
19,6,['Madi'],['Callie Calls'],"3D, KH, QS, KC, 3S","{'Madi': Hand([Card(""3"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""Q"", ""Spades""), Card(""K"", ""Clubs""), Card(""3"", ""Spades"")])}",19
20,6,['Madi'],['Callie Calls'],"JD, QH, 8H, KC, 10D","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""8"", ""Hearts""), Card(""K"", ""Clubs""), Card(""10"", ""Diamonds"")])}",20
21,12,['Madi'],['Callie Calls'],"7S, 7C, 3D, QH, 3H","{'Madi': Hand([Card(""7"", ""Spades""), Card(""7"", ""Clubs""), Card(""3"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""3"", ""Hearts"")])}",21
22,12,['Madi'],['Callie Calls'],"5D, KH, 8D, JH, JS","{'Madi': Hand([Card(""5"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""J"", ""Spades"")])}",22
23,12,['Madi'],['Callie Calls'],"QD, KC, KH, AS, AH","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""K"", ""Hearts""), Card(""A"", ""Spades""), Card(""A"", ""Hearts"")])}",23
24,12,['Madi'],['Callie Calls'],"9S, 6S, QH, 9D, 10H","{'Madi': Hand([Card(""9"", ""Spades""), Card(""6"", ""Spades""), Card(""Q"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""10"", ""Hearts"")])}",24
25,12,['Madi'],['Callie Calls'],"AS, 3S, JC, QC, 3C","{'Madi': Hand([Card(""A"", ""Spades""), Card(""3"", ""Spades""), Card(""J"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""3"", ""Clubs"")])}",25
26,12,['Madi'],['Callie Calls'],"8S, KC, 6C, 7C, 9S","{'Madi': Hand([Card(""8"", ""Spades""), Card(""K"", ""Clubs""), Card(""6"", ""Clubs""), Card(""7"", ""Clubs""), Card(""9"", ""Spades"")])}",26
27,12,['Madi'],['Callie Calls'],"KH, KC, QS, 9C, 10D","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""K"", ""Clubs""), Card(""Q"", ""Spades""), Card(""9"", ""Clubs""), Card(""10"", ""Diamonds"")])}",27
28,12,['Madi'],['Callie Calls'],"6H, 10D, 10S, JH, 9C","{'Madi': Hand([Card(""6"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""10"", ""Spades""), Card(""J"", ""Hearts""), Card(""9"", ""Clubs"")])}",28
29,12,['Madi'],['Callie Calls'],"4H, 3S, 2C, 5C, AS","{'Madi': Hand([Card(""4"", ""Hearts""), Card(""3"", ""Spades""), Card(""2"", ""Clubs""), Card(""5"", ""Clubs""), Card(""A"", ""Spades"")])}",29
30,12,['Madi'],['Callie Calls'],"KD, KC, QD, 8C, JD","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""J"", ""Diamonds"")])}",30
