,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,564,['Cody'],['Robbie Random'],"QS, JD, 9C, AS, QH","{'Cody': Hand([Card(""Q"", ""Spades""), Card(""J"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""A"", ""Spades""), Card(""Q"", ""Hearts"")]), 'Madi': Hand([Card(""10"", ""Spades""), Card(""8"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""A"", ""Spades""), Card(""Q"", ""Hearts"")]), 'Sophia': Hand([Card(""6"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""A"", ""Spades""), Card(""Q"", ""Hearts"")])}",0
1,22,['Cody'],['Robbie Random'],"QS, 8D, KS, JC, AC","{'Cody': Hand([Card(""Q"", ""Spades""), Card(""8"", ""Diamonds""), Card(""K"", ""Spades""), Card(""J"", ""Clubs""), Card(""A"", ""Clubs"")])}",1
2,365,['Cody'],['Robbie Random'],"2D, QS, JC, 10S, 2H","{'Cody': Hand([Card(""2"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""J"", ""Clubs""), Card(""10"", ""Spades""), Card(""2"", ""Hearts"")])}",2
3,5,['Beezie'],['Ricky Raise'],"AH, 8S, AS, 9S, JS","{'Beezie': Hand([Card(""A"", ""Hearts""), Card(""8"", ""Spades""), Card(""A"", ""Spades""), Card(""9"", ""Spades""), Card(""J"", ""Spades"")])}",3
4,510,['Cody'],['Robbie Random'],"7H, 10S, AS, 10H, QS","{'Cody': Hand([Card(""7"", ""Hearts""), Card(""10"", ""Spades""), Card(""A"", ""Spades""), Card(""10"", ""Hearts""), Card(""Q"", ""Spades"")])}",4
5,273,['Cody'],['Robbie Random'],"9D, 8D, KD, 8C, KC","{'Cody': Hand([Card(""9"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""K"", ""Clubs"")])}",5
6,3,['Cody'],['Robbie Random'],"JC, QH, QD, 3D, JS","{'Cody': Hand([Card(""J"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""3"", ""Diamonds""), Card(""J"", ""Spades"")])}",6
7,569,['Cody'],['Robbie Random'],"10C, KS, KC, QC, JS","{'Cody': Hand([Card(""10"", ""Clubs""), Card(""K"", ""Spades""), Card(""K"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""J"", ""Spades"")])}",7
8,3,['Cody'],['Robbie Random'],"9S, QH, QC, 9C, 8D","{'Cody': Hand([Card(""9"", ""Spades""), Card(""Q"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""9"", ""Clubs""), Card(""8"", ""Diamonds"")])}",8
9,3,['Bob'],['Floyd Folds'],"AH, 5C, 5S, 8S, 10C","{'Bob': Hand([Card(""A"", ""Hearts""), Card(""5"", ""Clubs""), Card(""5"", ""Spades""), Card(""8"", ""Spades""), Card(""10"", ""Clubs"")])}",9
10,3,['Cody'],['Robbie Random'],"5D, JD, 5H, 8H, 10H","{'Cody': Hand([Card(""5"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""8"", ""Hearts""), Card(""10"", ""Hearts"")])}",10
11,6,['Cody'],['Robbie Random'],"KH, 7S, 10S, QD, 5H","{'Cody': Hand([Card(""K"", ""Hearts""), Card(""7"", ""Spades""), Card(""10"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""5"", ""Hearts"")])}",11
12,6,['Cody'],['Robbie Random'],"AH, KC, 8D, QD, JS","{'Cody': Hand([Card(""A"", ""Hearts""), Card(""K"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""J"", ""Spades"")])}",12
13,6,['Cody'],['Robbie Random'],"KH, 10H, AS, QS, AD","{'Cody': Hand([Card(""K"", ""Hearts""), Card(""10"", ""Hearts""), Card(""A"", ""Spades""), Card(""Q"", ""Spades""), Card(""A"", ""Diamonds"")])}",13
14,6,['Cody'],['Robbie Random'],"6D, KD, 6S, QS, JS","{'Cody': Hand([Card(""6"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""6"", ""Spades""), Card(""Q"", ""Spades""), Card(""J"", ""Spades"")])}",14
15,48,['Cody'],['Robbie Random'],"10H, 5C, AS, KC, 6C","{'Cody': Hand([Card(""10"", ""Hearts""), Card(""5"", ""Clubs""), Card(""A"", ""Spades""), Card(""K"", ""Clubs""), Card(""6"", ""Clubs"")])}",15
16,6,['Cody'],['Robbie Random'],"5C, AC, 5H, 8C, 8H","{'Cody': Hand([Card(""5"", ""Clubs""), Card(""A"", ""Clubs""), Card(""5"", ""Hearts""), Card(""8"", ""Clubs""), Card(""8"", ""Hearts"")])}",16
17,53,['Cody'],['Robbie Random'],"KH, AS, KD, QS, 9H","{'Cody': Hand([Card(""K"", ""Hearts""), Card(""A"", ""Spades""), Card(""K"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""9"", ""Hearts"")])}",17
18,6,['Cody'],['Robbie Random'],"JD, 7D, JH, 9C, QH","{'Cody': Hand([Card(""J"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""9"", ""Clubs""), Card(""Q"", ""Hearts"")])}",18
19,6,['Bob'],['Floyd Folds'],"2H, KC, 9C, 2C, 9S","{'Bob': Hand([Card(""2"", ""Hearts""), Card(""K"", ""Clubs""), Card(""9"", ""Clubs""), Card(""2"", ""Clubs""), Card(""9"", ""Spades"")])}",19
20,6,['Cody'],['Robbie Random'],"JD, JH, 6S, 6D, 9D","{'Cody': Hand([Card(""J"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""6"", ""Spades""), Card(""6"", ""Diamonds""), Card(""9"", ""Diamonds"")])}",20
21,524,['Cody'],['Robbie Random'],"7H, KC, 9C, 7D, 8C","{'Cody': Hand([Card(""7"", ""Hearts""), Card(""K"", ""Clubs""), Card(""9"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""8"", ""Clubs"")])}",21
22,12,['Cody'],['Robbie Random'],"10D, AH, 9D, 10S, AD","{'Cody': Hand([Card(""10"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""10"", ""Spades""), Card(""A"", ""Diamonds"")])}",22
23,12,['Cody'],['Robbie Random'],"3C, JS, KS, 3S, JD","{'Cody': Hand([Card(""3"", ""Clubs""), Card(""J"", ""Spades""), Card(""K"", ""Spades""), Card(""3"", ""Spades""), Card(""J"", ""Diamonds"")])}",23
24,12,['Cody'],['Robbie Random'],"AD, AH, KS, 10D, KC","{'Cody': Hand([Card(""A"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""K"", ""Spades""), Card(""10"", ""Diamonds""), Card(""K"", ""Clubs"")])}",24
25,12,['Bob'],['Floyd Folds'],"KD, QS, AS, KC, AD","{'Bob': Hand([Card(""K"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""A"", ""Spades""), Card(""K"", ""Clubs""), Card(""A"", ""Diamonds"")])}",25
26,12,['Cody'],['Robbie Random'],"JS, QD, 9C, 7C, QC","{'Cody': Hand([Card(""J"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""7"", ""Clubs""), Card(""Q"", ""Clubs"")])}",26
27,12,['Bob'],['Floyd Folds'],"10H, KS, 8H, 6C, 9S","{'Bob': Hand([Card(""10"", ""Hearts""), Card(""K"", ""Spades""), Card(""8"", ""Hearts""), Card(""6"", ""Clubs""), Card(""9"", ""Spades"")])}",27
28,12,['Cody'],['Robbie Random'],"QD, KD, 6H, 7H, 9S","{'Cody': Hand([Card(""Q"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""7"", ""Hearts""), Card(""9"", ""Spades"")])}",28
29,18,['Cody'],['Robbie Random'],"6S, 8C, 9H, 7D, 10C","{'Cody': Hand([Card(""6"", ""Spades""), Card(""8"", ""Clubs""), Card(""9"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""10"", ""Clubs"")])}",29
30,12,['Cody'],['Robbie Random'],"QC, 5C, 5H, QD, 5S","{'Cody': Hand([Card(""Q"", ""Clubs""), Card(""5"", ""Clubs""), Card(""5"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""5"", ""Spades"")])}",30
31,127,['Cody'],['Robbie Random'],"6D, 6H, 4C, 4S, 9H","{'Cody': Hand([Card(""6"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""4"", ""Clubs""), Card(""4"", ""Spades""), Card(""9"", ""Hearts"")])}",31
32,24,['Cody'],['Robbie Random'],"10D, JC, 6H, AD, AS","{'Cody': Hand([Card(""10"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""6"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""A"", ""Spades"")])}",32
