,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,559,['Madi'],['Callie Calls'],"10H, KC, 9C, KS, AD","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""K"", ""Clubs""), Card(""9"", ""Clubs""), Card(""K"", ""Spades""), Card(""A"", ""Diamonds"")]), 'Steve': Hand([Card(""10"", ""Spades""), Card(""9"", ""Clubs""), Card(""K"", ""Spades""), Card(""6"", ""Diamonds""), Card(""A"", ""Diamonds"")]), 'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""K"", ""Spades""), Card(""6"", ""Diamonds""), Card(""A"", ""Diamonds"")])}",0
1,165,['Madi'],['Callie Calls'],"AS, 5C, QC, 6D, 6H","{'Madi': Hand([Card(""A"", ""Spades""), Card(""5"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""6"", ""Hearts"")])}",1
2,20,['Madi'],['Callie Calls'],"AC, 9C, 10H, KC, JD","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""9"", ""Clubs""), Card(""10"", ""Hearts""), Card(""K"", ""Clubs""), Card(""J"", ""Diamonds"")])}",2
3,80,['Madi'],['Callie Calls'],"KS, QS, 7D, JD, JS","{'Madi': Hand([Card(""K"", ""Spades""), Card(""Q"", ""Spades""), Card(""7"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""J"", ""Spades"")])}",3
4,10,['Madi'],['Callie Calls'],"AD, 7H, KS, 10D, 10H","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""K"", ""Spades""), Card(""10"", ""Diamonds""), Card(""10"", ""Hearts"")])}",4
5,3,['Madi'],['Callie Calls'],"2H, 2D, 2S, 7S, 7H","{'Madi': Hand([Card(""2"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""2"", ""Spades""), Card(""7"", ""Spades""), Card(""7"", ""Hearts"")])}",5
6,3,['Madi'],['Callie Calls'],"KD, QD, KH, QC, JH","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""J"", ""Hearts"")])}",6
7,3,['Madi'],['Callie Calls'],"QH, JC, 8D, JD, 8S","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""J"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""8"", ""Spades"")])}",7
8,3,['Madi'],['Callie Calls'],"3D, 2S, AD, 3C, 2D","{'Madi': Hand([Card(""3"", ""Diamonds""), Card(""2"", ""Spades""), Card(""A"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""2"", ""Diamonds"")])}",8
9,3,['Madi'],['Callie Calls'],"8S, 4S, 8C, AD, 4H","{'Madi': Hand([Card(""8"", ""Spades""), Card(""4"", ""Spades""), Card(""8"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""4"", ""Hearts"")])}",9
10,3,['Madi'],['Callie Calls'],"10H, 10D, 9D, 6C, QS","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""Q"", ""Spades"")])}",10
11,6,['Madi'],['Callie Calls'],"9D, JH, KS, AC, 6H","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""K"", ""Spades""), Card(""A"", ""Clubs""), Card(""6"", ""Hearts"")])}",11
12,6,['Madi'],['Callie Calls'],"7S, KC, QC, KS, QS","{'Madi': Hand([Card(""7"", ""Spades""), Card(""K"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""K"", ""Spades""), Card(""Q"", ""Spades"")])}",12
13,6,['Madi'],['Callie Calls'],"4D, 8D, 4S, 9S, QD","{'Madi': Hand([Card(""4"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""4"", ""Spades""), Card(""9"", ""Spades""), Card(""Q"", ""Diamonds"")])}",13
14,6,['Madi'],['Callie Calls'],"AH, JS, 4H, 4S, 9D","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""J"", ""Spades""), Card(""4"", ""Hearts""), Card(""4"", ""Spades""), Card(""9"", ""Diamonds"")])}",14
15,6,['Madi'],['Callie Calls'],"10H, AC, 6C, KD, JS","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""A"", ""Clubs""), Card(""6"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""J"", ""Spades"")])}",15
16,6,['Madi'],['Callie Calls'],"8H, 10H, 9D, JH, 6S","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""10"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""6"", ""Spades"")])}",16
17,6,['Madi'],['Callie Calls'],"8C, 6D, 6C, QD, KS","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""K"", ""Spades"")])}",17
18,6,['Madi'],['Callie Calls'],"QC, 10C, 10H, 8D, 9S","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""10"", ""Clubs""), Card(""10"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""9"", ""Spades"")])}",18
19,6,['Madi'],['Callie Calls'],"JC, KS, JS, 7C, 9H","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""K"", ""Spades""), Card(""J"", ""Spades""), Card(""7"", ""Clubs""), Card(""9"", ""Hearts"")])}",19
20,6,['Madi'],['Callie Calls'],"QS, AD, 8H, 6S, AC","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""A"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""6"", ""Spades""), Card(""A"", ""Clubs"")])}",20
21,12,['Madi'],['Callie Calls'],"KC, 10D, 10C, 10S, KH","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""10"", ""Spades""), Card(""K"", ""Hearts"")])}",21
22,12,['Madi'],['Callie Calls'],"AS, AC, QS, 6H, 8S","{'Madi': Hand([Card(""A"", ""Spades""), Card(""A"", ""Clubs""), Card(""Q"", ""Spades""), Card(""6"", ""Hearts""), Card(""8"", ""Spades"")])}",22
23,12,['Madi'],['Callie Calls'],"QS, 5H, 9D, KD, 5C","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""5"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""5"", ""Clubs"")])}",23
24,12,['Madi'],['Callie Calls'],"AD, QC, 6S, KS, JC","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""6"", ""Spades""), Card(""K"", ""Spades""), Card(""J"", ""Clubs"")])}",24
25,12,['Madi'],['Callie Calls'],"6D, 6C, JS, 9S, 9C","{'Madi': Hand([Card(""6"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""J"", ""Spades""), Card(""9"", ""Spades""), Card(""9"", ""Clubs"")])}",25
26,12,['Madi'],['Callie Calls'],"4S, 7D, 7S, KS, 4C","{'Madi': Hand([Card(""4"", ""Spades""), Card(""7"", ""Diamonds""), Card(""7"", ""Spades""), Card(""K"", ""Spades""), Card(""4"", ""Clubs"")])}",26
27,12,['Madi'],['Callie Calls'],"AC, 7C, KC, 3C, 10C","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""7"", ""Clubs""), Card(""K"", ""Clubs""), Card(""3"", ""Clubs""), Card(""10"", ""Clubs"")])}",27
28,12,['Madi'],['Callie Calls'],"2D, JH, 2H, 8D, AD","{'Madi': Hand([Card(""2"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""2"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""A"", ""Diamonds"")])}",28
29,12,['Madi'],['Callie Calls'],"6C, 9D, 8D, 7C, 5D","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""5"", ""Diamonds"")])}",29
