,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,465,['Madi'],['Callie Calls'],"JD, AS, 7C, AH, 7D","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""A"", ""Spades""), Card(""7"", ""Clubs""), Card(""A"", ""Hearts""), Card(""7"", ""Diamonds"")]), 'Sophia': Hand([Card(""9"", ""Clubs""), Card(""9"", ""Hearts""), Card(""7"", ""Clubs""), Card(""A"", ""Hearts""), Card(""7"", ""Diamonds"")])}",0
1,284,['Sophia'],['Callie Calls'],"KC, 2C, 8D, 10C, 2D","{'Madi': Hand([Card(""10"", ""Spades""), Card(""K"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""5"", ""Diamonds"")]), 'Sophia': Hand([Card(""K"", ""Clubs""), Card(""2"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""2"", ""Diamonds"")])}",1
2,32,"['Madi', 'Sophia']","['Callie Calls', 'Callie Calls']","9C, 7D, 7C, JH, 9H","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""J"", ""Hearts""), Card(""9"", ""Hearts"")]), 'Steve': Hand([Card(""10"", ""Diamonds""), Card(""K"", ""Spades""), Card(""7"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""J"", ""Hearts"")]), 'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""J"", ""Hearts""), Card(""9"", ""Hearts"")])}",2
3,7,['Sophia'],['Callie Calls'],"JC, 8C, AC, KC, 10C","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""8"", ""Clubs""), Card(""A"", ""Clubs""), Card(""K"", ""Clubs""), Card(""10"", ""Clubs"")]), 'Sophia': Hand([Card(""J"", ""Clubs""), Card(""8"", ""Clubs""), Card(""A"", ""Clubs""), Card(""K"", ""Clubs""), Card(""10"", ""Clubs"")])}",3
4,59,['Madi'],['Callie Calls'],"5C, 2S, 6C, 4D, 3D","{'Madi': Hand([Card(""5"", ""Clubs""), Card(""2"", ""Spades""), Card(""6"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""3"", ""Diamonds"")]), 'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""6"", ""Clubs""), Card(""10"", ""Clubs""), Card(""3"", ""Diamonds"")])}",4
5,5,['Sophia'],['Callie Calls'],"10C, 7C, 9D, KH, JC","{'Madi': Hand([Card(""5"", ""Clubs""), Card(""7"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""J"", ""Clubs"")]), 'Sophia': Hand([Card(""10"", ""Clubs""), Card(""7"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""J"", ""Clubs"")])}",5
6,6,['Madi'],['Callie Calls'],"10C, 6C, 6H, QC, 10S","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""6"", ""Clubs""), Card(""6"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""10"", ""Spades"")]), 'Sophia': Hand([Card(""6"", ""Spades""), Card(""6"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""10"", ""Spades""), Card(""J"", ""Hearts"")])}",6
7,12,['Madi'],['Callie Calls'],"10S, 4H, 9H, 4C, KC","{'Madi': Hand([Card(""10"", ""Spades""), Card(""4"", ""Hearts""), Card(""9"", ""Hearts""), Card(""4"", ""Clubs""), Card(""K"", ""Clubs"")]), 'Sophia': Hand([Card(""A"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""K"", ""Clubs""), Card(""6"", ""Clubs"")])}",7
8,5,['Madi'],['Callie Calls'],"AS, 8S, KS, QH, 9H","{'Madi': Hand([Card(""A"", ""Spades""), Card(""8"", ""Spades""), Card(""K"", ""Spades""), Card(""Q"", ""Hearts""), Card(""9"", ""Hearts"")]), 'Sophia': Hand([Card(""J"", ""Spades""), Card(""8"", ""Spades""), Card(""K"", ""Spades""), Card(""Q"", ""Hearts""), Card(""9"", ""Hearts"")])}",8
9,4,['Sophia'],['Callie Calls'],"7C, QC, 3C, JC, 4C","{'Madi': Hand([Card(""5"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""3"", ""Clubs""), Card(""J"", ""Clubs""), Card(""4"", ""Clubs"")]), 'Sophia': Hand([Card(""7"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""3"", ""Clubs""), Card(""J"", ""Clubs""), Card(""4"", ""Clubs"")])}",9
10,6,['Sophia'],['Callie Calls'],"QC, AC, QD, AD, AS","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""7"", ""Diamonds"")]), 'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""A"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""A"", ""Spades"")])}",10
11,10,['Madi'],['Callie Calls'],"10C, 9H, KD, QC, JD","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""9"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""J"", ""Diamonds"")]), 'Sophia': Hand([Card(""K"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""J"", ""Diamonds"")])}",11
12,8,['Madi'],['Callie Calls'],"5S, AS, 8S, KS, 3S","{'Madi': Hand([Card(""5"", ""Spades""), Card(""A"", ""Spades""), Card(""8"", ""Spades""), Card(""K"", ""Spades""), Card(""3"", ""Spades"")]), 'Sophia': Hand([Card(""10"", ""Clubs""), Card(""J"", ""Clubs""), Card(""8"", ""Spades""), Card(""8"", ""Hearts""), Card(""K"", ""Spades"")])}",12
13,12,['Sophia'],['Callie Calls'],"10H, 4C, QH, 4S, KC","{'Madi': Hand([Card(""4"", ""Hearts""), Card(""6"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""4"", ""Spades""), Card(""K"", ""Clubs"")]), 'Sophia': Hand([Card(""10"", ""Hearts""), Card(""4"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""4"", ""Spades""), Card(""K"", ""Clubs"")])}",13
14,10,['Madi'],['Callie Calls'],"2S, 2D, 5D, JH, 2H","{'Madi': Hand([Card(""2"", ""Spades""), Card(""2"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""2"", ""Hearts"")]), 'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""2"", ""Hearts"")])}",14
15,8,['Sophia'],['Callie Calls'],"4H, AH, 4C, 4S, 6D","{'Madi': Hand([Card(""6"", ""Spades""), Card(""A"", ""Hearts""), Card(""4"", ""Clubs""), Card(""4"", ""Spades""), Card(""6"", ""Diamonds"")]), 'Sophia': Hand([Card(""4"", ""Hearts""), Card(""A"", ""Hearts""), Card(""4"", ""Clubs""), Card(""4"", ""Spades""), Card(""6"", ""Diamonds"")])}",15
16,12,['Sophia'],['Callie Calls'],"QC, QS, 2H, 2S, AC","{'Madi': Hand([Card(""3"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""2"", ""Hearts""), Card(""2"", ""Spades""), Card(""A"", ""Clubs"")]), 'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""Q"", ""Spades""), Card(""2"", ""Hearts""), Card(""2"", ""Spades""), Card(""A"", ""Clubs"")])}",16
17,10,['Madi'],['Callie Calls'],"7H, QS, KD, 7S, 10S","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""Q"", ""Spades""), Card(""K"", ""Diamonds""), Card(""7"", ""Spades""), Card(""10"", ""Spades"")]), 'Sophia': Hand([Card(""3"", ""Hearts""), Card(""3"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""10"", ""Spades"")])}",17
18,8,['Madi'],['Callie Calls'],"JD, 10S, JH, 6D, 9D","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""10"", ""Spades""), Card(""J"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""9"", ""Diamonds"")]), 'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""3"", ""Clubs""), Card(""3"", ""Spades""), Card(""J"", ""Hearts""), Card(""9"", ""Diamonds"")])}",18
19,12,['Sophia'],['Callie Calls'],"6C, QS, AC, 10D, 6S","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""Q"", ""Spades""), Card(""A"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""8"", ""Diamonds"")]), 'Sophia': Hand([Card(""6"", ""Clubs""), Card(""Q"", ""Spades""), Card(""A"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""6"", ""Spades"")])}",19
20,10,['Sophia'],['Callie Calls'],"5H, QS, 5S, QD, 5D","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""5"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""A"", ""Clubs"")]), 'Sophia': Hand([Card(""5"", ""Hearts""), Card(""Q"", ""Spades""), Card(""5"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""5"", ""Diamonds"")])}",20
21,16,['Madi'],['Callie Calls'],"10C, JC, 4C, 2C, 3C","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""J"", ""Clubs""), Card(""4"", ""Clubs""), Card(""2"", ""Clubs""), Card(""3"", ""Clubs"")]), 'Sophia': Hand([Card(""10"", ""Hearts""), Card(""K"", ""Spades""), Card(""J"", ""Clubs""), Card(""4"", ""Clubs""), Card(""K"", ""Diamonds"")])}",21
22,24,['Madi'],['Callie Calls'],"KS, AD, 5H, 5S, KH","{'Madi': Hand([Card(""K"", ""Spades""), Card(""A"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""5"", ""Spades""), Card(""K"", ""Hearts"")]), 'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""5"", ""Hearts""), Card(""7"", ""Spades""), Card(""5"", ""Spades""), Card(""K"", ""Hearts"")])}",22
23,20,['Sophia'],['Callie Calls'],"10D, KD, 10C, 9S, QC","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""9"", ""Spades""), Card(""7"", ""Hearts""), Card(""Q"", ""Clubs"")]), 'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""9"", ""Spades""), Card(""Q"", ""Clubs"")])}",23
