,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,440,['Madi'],['Callie Calls'],"7S, JC, AD, 9C, 7D","{'Madi': Hand([Card(""7"", ""Spades""), Card(""J"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""7"", ""Diamonds"")]), 'Sophia': Hand([Card(""4"", ""Clubs""), Card(""7"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""7"", ""Diamonds"")])}",0
1,199,['Madi'],['Callie Calls'],"9D, JD, 5S, 5C, 9S","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""5"", ""Spades""), Card(""5"", ""Clubs""), Card(""9"", ""Spades"")]), 'Michelle': Hand([Card(""3"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""5"", ""Spades""), Card(""3"", ""Hearts""), Card(""5"", ""Clubs"")]), 'Sophia': Hand([Card(""7"", ""Spades""), Card(""J"", ""Diamonds""), Card(""5"", ""Spades""), Card(""5"", ""Clubs""), Card(""9"", ""Spades"")])}",1
2,36,['Madi'],['Callie Calls'],"10D, 8C, 3D, 3S, KS","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""3"", ""Diamonds""), Card(""3"", ""Spades""), Card(""K"", ""Spades"")])}",2
3,3,['Madi'],['Callie Calls'],"5H, KD, 6D, KS, QD","{'Madi': Hand([Card(""5"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""K"", ""Spades""), Card(""Q"", ""Diamonds"")])}",3
4,12,['Madi'],['Callie Calls'],"JC, KD, KS, AD, 10H","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""K"", ""Spades""), Card(""A"", ""Diamonds""), Card(""10"", ""Hearts"")])}",4
5,175,['Madi'],['Callie Calls'],"KS, 9H, JC, 8D, KH","{'Madi': Hand([Card(""K"", ""Spades""), Card(""9"", ""Hearts""), Card(""J"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""K"", ""Hearts"")])}",5
6,12,['Madi'],['Callie Calls'],"4S, 10C, KC, 4H, 9D","{'Madi': Hand([Card(""4"", ""Spades""), Card(""10"", ""Clubs""), Card(""K"", ""Clubs""), Card(""4"", ""Hearts""), Card(""9"", ""Diamonds"")])}",6
7,3,['Madi'],['Callie Calls'],"6H, KH, 6C, QD, JS","{'Madi': Hand([Card(""6"", ""Hearts""), Card(""K"", ""Hearts""), Card(""6"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""J"", ""Spades"")])}",7
8,3,['Madi'],['Callie Calls'],"10C, JD, KH, JH, 10S","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""J"", ""Hearts""), Card(""10"", ""Spades"")])}",8
9,3,['Madi'],['Callie Calls'],"JH, 7S, 7H, 2S, 2C","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""7"", ""Spades""), Card(""7"", ""Hearts""), Card(""2"", ""Spades""), Card(""2"", ""Clubs"")])}",9
10,3,['Madi'],['Callie Calls'],"KC, 3H, 3S, JD, KD","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""3"", ""Hearts""), Card(""3"", ""Spades""), Card(""J"", ""Diamonds""), Card(""K"", ""Diamonds"")])}",10
11,6,['Madi'],['Callie Calls'],"10S, JS, 6C, 7D, 8D","{'Madi': Hand([Card(""10"", ""Spades""), Card(""J"", ""Spades""), Card(""6"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""8"", ""Diamonds"")])}",11
12,6,['Madi'],['Callie Calls'],"JS, QC, AS, 7C, 7S","{'Madi': Hand([Card(""J"", ""Spades""), Card(""Q"", ""Clubs""), Card(""A"", ""Spades""), Card(""7"", ""Clubs""), Card(""7"", ""Spades"")])}",12
13,6,['Madi'],['Callie Calls'],"AC, 5D, 5C, AD, 10D","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""10"", ""Diamonds"")])}",13
14,6,['Madi'],['Callie Calls'],"4D, 10D, 8C, 6S, 4S","{'Madi': Hand([Card(""4"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""6"", ""Spades""), Card(""4"", ""Spades"")])}",14
15,6,['Madi'],['Callie Calls'],"AC, 5S, QC, 6S, 7D","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""5"", ""Spades""), Card(""Q"", ""Clubs""), Card(""6"", ""Spades""), Card(""7"", ""Diamonds"")])}",15
16,6,['Madi'],['Callie Calls'],"QC, 8D, KH, AC, JD","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""A"", ""Clubs""), Card(""J"", ""Diamonds"")])}",16
17,6,['Madi'],['Callie Calls'],"8S, QH, KH, AD, QD","{'Madi': Hand([Card(""8"", ""Spades""), Card(""Q"", ""Hearts""), Card(""K"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""Q"", ""Diamonds"")])}",17
18,6,['Madi'],['Callie Calls'],"8D, QC, 8H, 9D, 7S","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""8"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""7"", ""Spades"")])}",18
19,6,['Madi'],['Callie Calls'],"KC, JC, 2C, 10C, 5C","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""J"", ""Clubs""), Card(""2"", ""Clubs""), Card(""10"", ""Clubs""), Card(""5"", ""Clubs"")])}",19
20,6,['Madi'],['Callie Calls'],"2H, KS, 2S, AS, QD","{'Madi': Hand([Card(""2"", ""Hearts""), Card(""K"", ""Spades""), Card(""2"", ""Spades""), Card(""A"", ""Spades""), Card(""Q"", ""Diamonds"")])}",20
21,12,['Madi'],['Callie Calls'],"AC, 3D, 3H, 3S, JS","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""3"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""3"", ""Spades""), Card(""J"", ""Spades"")])}",21
22,12,['Madi'],['Callie Calls'],"QS, 3S, KS, AC, 3D","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""3"", ""Spades""), Card(""K"", ""Spades""), Card(""A"", ""Clubs""), Card(""3"", ""Diamonds"")])}",22
23,12,['Madi'],['Callie Calls'],"6D, 6C, AH, 6S, AD","{'Madi': Hand([Card(""6"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""A"", ""Hearts""), Card(""6"", ""Spades""), Card(""A"", ""Diamonds"")])}",23
24,12,['Madi'],['Callie Calls'],"2D, 6D, JC, 2C, 2S","{'Madi': Hand([Card(""2"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""2"", ""Clubs""), Card(""2"", ""Spades"")])}",24
25,12,['Madi'],['Callie Calls'],"AH, AC, 6C, 4C, 10H","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""A"", ""Clubs""), Card(""6"", ""Clubs""), Card(""4"", ""Clubs""), Card(""10"", ""Hearts"")])}",25
26,12,['Madi'],['Callie Calls'],"AC, KD, 5H, JH, 6S","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""J"", ""Hearts""), Card(""6"", ""Spades"")])}",26
27,12,['Madi'],['Callie Calls'],"2H, JS, KD, 2S, 10S","{'Madi': Hand([Card(""2"", ""Hearts""), Card(""J"", ""Spades""), Card(""K"", ""Diamonds""), Card(""2"", ""Spades""), Card(""10"", ""Spades"")])}",27
28,12,['Madi'],['Callie Calls'],"JH, 5D, KS, 5C, JS","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""K"", ""Spades""), Card(""5"", ""Clubs""), Card(""J"", ""Spades"")])}",28
