,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,509,"['Madi', 'Sophia']","['Callie Calls', 'Callie Calls']","AH, 4D, 8D, 4S, 4C","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""4"", ""Spades""), Card(""4"", ""Clubs"")]), 'Sophia': Hand([Card(""A"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""4"", ""Spades""), Card(""4"", ""Clubs"")])}",0
1,146,['Sophia'],['Callie Calls'],"JC, 9S, AC, JD, QH","{'Madi': Hand([Card(""7"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""Q"", ""Hearts"")]), 'Sophia': Hand([Card(""J"", ""Clubs""), Card(""9"", ""Spades""), Card(""A"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""Q"", ""Hearts"")])}",1
2,120,['Sophia'],['Callie Calls'],"8S, 7D, 5S, 6D, 9C","{'Madi': Hand([Card(""3"", ""Diamonds""), Card(""3"", ""Spades""), Card(""Q"", ""Hearts""), Card(""9"", ""Clubs""), Card(""9"", ""Hearts"")]), 'Sophia': Hand([Card(""8"", ""Spades""), Card(""7"", ""Diamonds""), Card(""5"", ""Spades""), Card(""6"", ""Diamonds""), Card(""9"", ""Clubs"")])}",2
3,10,['Madi'],['Callie Calls'],"QC, KD, 3C, 3H, AH","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""3"", ""Hearts""), Card(""A"", ""Hearts"")]), 'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""3"", ""Hearts""), Card(""A"", ""Hearts""), Card(""10"", ""Spades"")])}",3
4,11,['Madi'],['Callie Calls'],"7H, 8D, JS, 5D, 10S","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""J"", ""Spades""), Card(""5"", ""Diamonds""), Card(""10"", ""Spades"")]), 'Sophia': Hand([Card(""8"", ""Hearts""), Card(""J"", ""Spades""), Card(""5"", ""Diamonds""), Card(""4"", ""Diamonds""), Card(""10"", ""Spades"")])}",4
5,7,['Madi'],['Callie Calls'],"5S, AS, 9C, 5D, 9H","{'Madi': Hand([Card(""5"", ""Spades""), Card(""A"", ""Spades""), Card(""9"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""9"", ""Hearts"")]), 'Sophia': Hand([Card(""8"", ""Clubs""), Card(""10"", ""Clubs""), Card(""A"", ""Spades""), Card(""9"", ""Clubs""), Card(""9"", ""Hearts"")])}",5
6,4,['Sophia'],['Callie Calls'],"5S, QH, 9S, 5C, 9H","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""9"", ""Spades""), Card(""9"", ""Hearts"")]), 'Sophia': Hand([Card(""5"", ""Spades""), Card(""Q"", ""Hearts""), Card(""9"", ""Spades""), Card(""5"", ""Clubs""), Card(""9"", ""Hearts"")])}",6
7,6,['Sophia'],['Callie Calls'],"10H, 4D, 4C, JC, 10S","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""4"", ""Clubs""), Card(""J"", ""Clubs""), Card(""10"", ""Spades"")]), 'Sophia': Hand([Card(""10"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""4"", ""Clubs""), Card(""J"", ""Clubs""), Card(""10"", ""Spades"")])}",7
8,5,['Sophia'],['Callie Calls'],"4D, 9S, QC, 4H, 8S","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""9"", ""Spades""), Card(""Q"", ""Clubs""), Card(""8"", ""Spades""), Card(""5"", ""Clubs"")]), 'Sophia': Hand([Card(""4"", ""Diamonds""), Card(""9"", ""Spades""), Card(""Q"", ""Clubs""), Card(""4"", ""Hearts""), Card(""8"", ""Spades"")])}",8
9,4,['Madi'],['Callie Calls'],"AC, 9D, 10H, JD, JC","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""J"", ""Clubs"")]), 'Sophia': Hand([Card(""Q"", ""Spades""), Card(""9"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""J"", ""Clubs"")])}",9
