,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,349,['Madi'],['Callie Calls'],"9C, 6C, 10H, 7C, 8H","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""6"", ""Clubs""), Card(""10"", ""Hearts""), Card(""7"", ""Clubs""), Card(""8"", ""Hearts"")]), 'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""6"", ""Clubs""), Card(""10"", ""Hearts""), Card(""6"", ""Spades""), Card(""8"", ""Hearts"")])}",0
1,236,['Sophia'],['Callie Calls'],"KH, 10S, 8S, JS, KS","{'Madi': Hand([Card(""7"", ""Diamonds""), Card(""10"", ""Spades""), Card(""8"", ""Spades""), Card(""J"", ""Spades""), Card(""K"", ""Spades"")]), 'Steve': Hand([Card(""J"", ""Diamonds""), Card(""10"", ""Spades""), Card(""8"", ""Spades""), Card(""J"", ""Spades""), Card(""K"", ""Spades"")]), 'Sophia': Hand([Card(""K"", ""Hearts""), Card(""10"", ""Spades""), Card(""8"", ""Spades""), Card(""J"", ""Spades""), Card(""K"", ""Spades"")])}",1
2,273,['Sophia'],['Callie Calls'],"KD, QS, KC, 10D, QC","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""10"", ""Hearts""), Card(""Q"", ""Clubs"")]), 'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""K"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""Q"", ""Clubs"")])}",2
3,26,['Sophia'],['Callie Calls'],"JH, 10D, QC, 9S, 8H","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""9"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""9"", ""Spades""), Card(""A"", ""Hearts"")]), 'Sophia': Hand([Card(""J"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""9"", ""Spades""), Card(""8"", ""Hearts"")])}",3
4,206,['Sophia'],['Callie Calls'],"9D, QC, AD, KD, 9C","{'Cody': Hand([Card(""3"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""3"", ""Spades"")]), 'Madi': Hand([Card(""Q"", ""Hearts""), Card(""7"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""9"", ""Clubs"")]), 'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""9"", ""Clubs"")])}",4
5,7,['Madi'],['Callie Calls'],"9H, 7S, 9S, QS, 7C","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""7"", ""Spades""), Card(""9"", ""Spades""), Card(""Q"", ""Spades""), Card(""7"", ""Clubs"")]), 'Sophia': Hand([Card(""6"", ""Clubs""), Card(""9"", ""Spades""), Card(""J"", ""Hearts""), Card(""Q"", ""Spades""), Card(""7"", ""Clubs"")])}",5
6,24,['Madi'],['Callie Calls'],"KH, QC, 5D, 5S, 10H","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""5"", ""Spades""), Card(""10"", ""Hearts"")]), 'Sophia': Hand([Card(""8"", ""Spades""), Card(""Q"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""5"", ""Spades""), Card(""10"", ""Hearts"")])}",6
7,6,['Madi'],['Callie Calls'],"3C, 3S, 10D, AD, JH","{'Madi': Hand([Card(""3"", ""Clubs""), Card(""3"", ""Spades""), Card(""10"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""J"", ""Hearts"")]), 'Sophia': Hand([Card(""9"", ""Hearts""), Card(""7"", ""Spades""), Card(""10"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""J"", ""Hearts"")])}",7
8,11,['Sophia'],['Callie Calls'],"10H, KC, 5C, 8C, 10D","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""5"", ""Clubs""), Card(""8"", ""Clubs""), Card(""10"", ""Diamonds"")]), 'Sophia': Hand([Card(""10"", ""Hearts""), Card(""K"", ""Clubs""), Card(""5"", ""Clubs""), Card(""8"", ""Clubs""), Card(""10"", ""Diamonds"")])}",8
9,28,['Madi'],['Callie Calls'],"QC, QS, KS, JD, KC","{'Cody': Hand([Card(""8"", ""Spades""), Card(""K"", ""Spades""), Card(""J"", ""Diamonds""), Card(""J"", ""Spades""), Card(""K"", ""Clubs"")]), 'Madi': Hand([Card(""Q"", ""Clubs""), Card(""Q"", ""Spades""), Card(""K"", ""Spades""), Card(""J"", ""Diamonds""), Card(""K"", ""Clubs"")]), 'Sophia': Hand([Card(""A"", ""Spades""), Card(""K"", ""Spades""), Card(""J"", ""Diamonds""), Card(""J"", ""Spades""), Card(""K"", ""Clubs"")])}",9
10,4,['Madi'],['Callie Calls'],"7C, 9C, 7S, AD, JD","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""9"", ""Clubs""), Card(""7"", ""Spades""), Card(""A"", ""Diamonds""), Card(""J"", ""Diamonds"")]), 'Sophia': Hand([Card(""2"", ""Diamonds""), Card(""2"", ""Clubs""), Card(""7"", ""Spades""), Card(""A"", ""Diamonds""), Card(""J"", ""Diamonds"")])}",10
11,12,['Sophia'],['Callie Calls'],"KD, QS, 9S, JH, 10D","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""Q"", ""Spades""), Card(""J"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""7"", ""Clubs"")]), 'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""9"", ""Spades""), Card(""J"", ""Hearts""), Card(""10"", ""Diamonds"")])}",11
12,10,['Madi'],['Callie Calls'],"6S, 9S, 2S, 10S, AS","{'Madi': Hand([Card(""6"", ""Spades""), Card(""9"", ""Spades""), Card(""2"", ""Spades""), Card(""10"", ""Spades""), Card(""A"", ""Spades"")]), 'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""2"", ""Clubs""), Card(""9"", ""Spades""), Card(""2"", ""Spades""), Card(""A"", ""Spades"")])}",12
13,8,['Madi'],['Callie Calls'],"JD, AS, JS, 8H, JH","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""A"", ""Spades""), Card(""J"", ""Spades""), Card(""8"", ""Hearts""), Card(""J"", ""Hearts"")]), 'Sophia': Hand([Card(""8"", ""Diamonds""), Card(""A"", ""Spades""), Card(""J"", ""Spades""), Card(""8"", ""Hearts""), Card(""J"", ""Hearts"")])}",13
14,12,['Madi'],['Callie Calls'],"4D, 7D, 6D, AD, 3D","{'Madi': Hand([Card(""4"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""3"", ""Diamonds"")]), 'Sophia': Hand([Card(""10"", ""Spades""), Card(""Q"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""10"", ""Hearts"")])}",14
15,10,['Sophia'],['Callie Calls'],"9S, 6S, 7H, 2H, 2D","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""5"", ""Clubs""), Card(""2"", ""Hearts""), Card(""2"", ""Diamonds"")]), 'Sophia': Hand([Card(""9"", ""Spades""), Card(""6"", ""Spades""), Card(""7"", ""Hearts""), Card(""2"", ""Hearts""), Card(""2"", ""Diamonds"")])}",15
16,8,['Sophia'],['Callie Calls'],"7H, 8S, 7D, 10S, 4S","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""10"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""10"", ""Spades""), Card(""4"", ""Spades"")]), 'Sophia': Hand([Card(""7"", ""Hearts""), Card(""8"", ""Spades""), Card(""7"", ""Diamonds""), Card(""10"", ""Spades""), Card(""4"", ""Spades"")])}",16
17,12,['Madi'],['Callie Calls'],"JD, 3D, 3C, AD, JC","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""3"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""J"", ""Clubs"")]), 'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""3"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""J"", ""Clubs"")])}",17
18,10,['Madi'],['Callie Calls'],"10H, AD, 10D, 4H, 4C","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""4"", ""Hearts""), Card(""4"", ""Clubs"")]), 'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""9"", ""Spades""), Card(""10"", ""Diamonds""), Card(""4"", ""Hearts""), Card(""4"", ""Clubs"")])}",18
19,8,['Sophia'],['Callie Calls'],"9S, 6H, 8C, 10H, 7S","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""8"", ""Hearts""), Card(""8"", ""Clubs""), Card(""10"", ""Hearts""), Card(""K"", ""Diamonds"")]), 'Sophia': Hand([Card(""9"", ""Spades""), Card(""6"", ""Hearts""), Card(""8"", ""Clubs""), Card(""10"", ""Hearts""), Card(""7"", ""Spades"")])}",19
20,12,['Madi'],['Callie Calls'],"5S, AD, KH, JD, 5C","{'Madi': Hand([Card(""5"", ""Spades""), Card(""A"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""5"", ""Clubs"")]), 'Sophia': Hand([Card(""9"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""6"", ""Spades""), Card(""K"", ""Hearts""), Card(""J"", ""Diamonds"")])}",20
21,20,['Madi'],['Callie Calls'],"JC, 7S, 9H, 10S, 8H","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""7"", ""Spades""), Card(""9"", ""Hearts""), Card(""10"", ""Spades""), Card(""8"", ""Hearts"")]), 'Sophia': Hand([Card(""9"", ""Spades""), Card(""9"", ""Hearts""), Card(""10"", ""Spades""), Card(""8"", ""Hearts""), Card(""6"", ""Diamonds"")])}",21
22,16,['Madi'],['Callie Calls'],"5C, 6S, 7S, 3S, 4D","{'Madi': Hand([Card(""5"", ""Clubs""), Card(""6"", ""Spades""), Card(""7"", ""Spades""), Card(""3"", ""Spades""), Card(""4"", ""Diamonds"")]), 'Sophia': Hand([Card(""8"", ""Spades""), Card(""K"", ""Diamonds""), Card(""7"", ""Spades""), Card(""4"", ""Diamonds""), Card(""A"", ""Diamonds"")])}",22
23,24,['Sophia'],['Callie Calls'],"3C, 3S, 5C, 5D, AS","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""A"", ""Spades"")]), 'Sophia': Hand([Card(""3"", ""Clubs""), Card(""3"", ""Spades""), Card(""5"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""A"", ""Spades"")])}",23
24,20,['Madi'],['Callie Calls'],"QH, 6H, AH, KS, 6D","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""6"", ""Hearts""), Card(""A"", ""Hearts""), Card(""K"", ""Spades""), Card(""6"", ""Diamonds"")]), 'Sophia': Hand([Card(""2"", ""Hearts""), Card(""2"", ""Spades""), Card(""8"", ""Clubs""), Card(""A"", ""Hearts""), Card(""K"", ""Spades"")])}",24
25,16,"['Madi', 'Sophia']","['Callie Calls', 'Callie Calls']","KH, QH, 5D, QD, QC","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Clubs"")]), 'Sophia': Hand([Card(""K"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Clubs"")])}",25
26,24,['Sophia'],['Callie Calls'],"JD, 8H, AD, JH, 4D","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""4"", ""Diamonds"")]), 'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""4"", ""Diamonds"")])}",26
27,20,['Sophia'],['Callie Calls'],"7S, 8S, 10C, 7D, QH","{'Madi': Hand([Card(""5"", ""Clubs""), Card(""5"", ""Spades""), Card(""10"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""Q"", ""Hearts"")]), 'Sophia': Hand([Card(""7"", ""Spades""), Card(""8"", ""Spades""), Card(""10"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""Q"", ""Hearts"")])}",27
28,16,['Madi'],['Callie Calls'],"10S, KH, 9H, JD, QH","{'Madi': Hand([Card(""10"", ""Spades""), Card(""K"", ""Hearts""), Card(""9"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""Q"", ""Hearts"")]), 'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""K"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""Q"", ""Hearts"")])}",28
29,24,['Sophia'],['Callie Calls'],"QC, 9C, AS, KS, QH","{'Madi': Hand([Card(""10"", ""Spades""), Card(""9"", ""Clubs""), Card(""A"", ""Spades""), Card(""K"", ""Spades""), Card(""Q"", ""Hearts"")]), 'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""9"", ""Clubs""), Card(""A"", ""Spades""), Card(""K"", ""Spades""), Card(""Q"", ""Hearts"")])}",29
30,20,['Sophia'],['Callie Calls'],"4D, 4S, JS, JC, KC","{'Madi': Hand([Card(""9"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""J"", ""Spades""), Card(""J"", ""Clubs""), Card(""K"", ""Clubs"")]), 'Sophia': Hand([Card(""4"", ""Diamonds""), Card(""4"", ""Spades""), Card(""J"", ""Spades""), Card(""J"", ""Clubs""), Card(""K"", ""Clubs"")])}",30
31,32,['Sophia'],['Callie Calls'],"8C, AH, QD, QH, KS","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""J"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""K"", ""Spades"")]), 'Sophia': Hand([Card(""8"", ""Clubs""), Card(""A"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""K"", ""Spades"")])}",31
32,48,['Sophia'],['Callie Calls'],"3S, KS, QS, 3H, 6H","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""3"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""3"", ""Hearts""), Card(""6"", ""Hearts"")]), 'Sophia': Hand([Card(""3"", ""Spades""), Card(""K"", ""Spades""), Card(""Q"", ""Spades""), Card(""3"", ""Hearts""), Card(""6"", ""Hearts"")])}",32
33,32,['Sophia'],['Callie Calls'],"AS, KS, JD, KH, QC","{'Madi': Hand([Card(""4"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""4"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""Q"", ""Clubs"")]), 'Sophia': Hand([Card(""A"", ""Spades""), Card(""K"", ""Spades""), Card(""J"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""Q"", ""Clubs"")])}",33
34,32,['Sophia'],['Callie Calls'],"10S, KH, KS, 10D, JD","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""K"", ""Hearts""), Card(""K"", ""Spades""), Card(""10"", ""Diamonds""), Card(""J"", ""Diamonds"")]), 'Sophia': Hand([Card(""10"", ""Spades""), Card(""K"", ""Hearts""), Card(""K"", ""Spades""), Card(""10"", ""Diamonds""), Card(""J"", ""Diamonds"")])}",34
35,32,['Sophia'],['Callie Calls'],"AC, 10H, 6D, 6C, JD","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""J"", ""Diamonds"")]), 'Sophia': Hand([Card(""A"", ""Clubs""), Card(""10"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""J"", ""Diamonds"")])}",35
36,32,['Sophia'],['Callie Calls'],"9C, 9H, 9D, 5C, 7C","{'Madi': Hand([Card(""K"", ""Spades""), Card(""9"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""7"", ""Clubs"")]), 'Sophia': Hand([Card(""9"", ""Clubs""), Card(""9"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""7"", ""Clubs"")])}",36
37,32,['Madi'],['Callie Calls'],"AC, KD, 9C, 8D, KH","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""K"", ""Hearts"")]), 'Sophia': Hand([Card(""7"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""7"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""K"", ""Hearts"")])}",37
38,32,['Madi'],['Callie Calls'],"9S, QS, QH, 10H, JC","{'Madi': Hand([Card(""9"", ""Spades""), Card(""Q"", ""Spades""), Card(""Q"", ""Hearts""), Card(""10"", ""Hearts""), Card(""J"", ""Clubs"")]), 'Sophia': Hand([Card(""A"", ""Hearts""), Card(""8"", ""Spades""), Card(""Q"", ""Hearts""), Card(""10"", ""Hearts""), Card(""J"", ""Clubs"")])}",38
39,32,['Madi'],['Callie Calls'],"6D, KD, QD, 6C, 5C","{'Madi': Hand([Card(""6"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""5"", ""Clubs"")]), 'Sophia': Hand([Card(""3"", ""Hearts""), Card(""10"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""3"", ""Spades"")])}",39
40,32,['Sophia'],['Callie Calls'],"3H, 2S, 5S, AH, 4D","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""5"", ""Spades""), Card(""A"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""9"", ""Diamonds"")]), 'Sophia': Hand([Card(""3"", ""Hearts""), Card(""2"", ""Spades""), Card(""5"", ""Spades""), Card(""A"", ""Hearts""), Card(""4"", ""Diamonds"")])}",40
41,64,['Madi'],['Callie Calls'],"AC, AH, 10S, JS, QS","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""A"", ""Hearts""), Card(""10"", ""Spades""), Card(""J"", ""Spades""), Card(""Q"", ""Spades"")]), 'Sophia': Hand([Card(""9"", ""Hearts""), Card(""10"", ""Spades""), Card(""J"", ""Spades""), Card(""Q"", ""Spades""), Card(""7"", ""Diamonds"")])}",41
42,64,['Madi'],['Callie Calls'],"JS, 10D, 5S, 5D, KC","{'Madi': Hand([Card(""J"", ""Spades""), Card(""10"", ""Diamonds""), Card(""5"", ""Spades""), Card(""5"", ""Diamonds""), Card(""K"", ""Clubs"")]), 'Sophia': Hand([Card(""9"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""5"", ""Spades""), Card(""5"", ""Diamonds""), Card(""K"", ""Clubs"")])}",42
43,64,['Madi'],['Callie Calls'],"4H, 9D, 9S, 4D, QH","{'Madi': Hand([Card(""4"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""9"", ""Spades""), Card(""4"", ""Diamonds""), Card(""Q"", ""Hearts"")]), 'Sophia': Hand([Card(""J"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""9"", ""Spades""), Card(""Q"", ""Hearts""), Card(""7"", ""Spades"")])}",43
44,64,['Madi'],['Callie Calls'],"AH, 10D, KS, 8C, 9S","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""K"", ""Spades""), Card(""8"", ""Clubs""), Card(""9"", ""Spades"")]), 'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""K"", ""Spades""), Card(""8"", ""Clubs""), Card(""9"", ""Spades"")])}",44
45,64,['Madi'],['Callie Calls'],"5C, 6D, QC, 10C, 6H","{'Madi': Hand([Card(""5"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""10"", ""Clubs""), Card(""6"", ""Hearts"")]), 'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""10"", ""Clubs""), Card(""6"", ""Hearts"")])}",45
46,64,['Madi'],['Callie Calls'],"3S, 7H, 6D, 8C, 3C","{'Madi': Hand([Card(""3"", ""Spades""), Card(""7"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""3"", ""Clubs"")]), 'Sophia': Hand([Card(""K"", ""Hearts""), Card(""Q"", ""Spades""), Card(""7"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""8"", ""Clubs"")])}",46
47,64,['Sophia'],['Callie Calls'],"AD, 5D, 5H, 10S, KS","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""10"", ""Spades""), Card(""K"", ""Spades""), Card(""7"", ""Spades"")]), 'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""10"", ""Spades""), Card(""K"", ""Spades"")])}",47
