,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,591,['Sophia'],['Callie Calls'],"JS, AS, JC, JD, 10C","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""A"", ""Spades""), Card(""J"", ""Clubs""), Card(""J"", ""Diamonds"")]), 'Sophia': Hand([Card(""J"", ""Spades""), Card(""A"", ""Spades""), Card(""J"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""10"", ""Clubs"")])}",0
1,195,['Sophia'],['Callie Calls'],"JC, KS, 4H, 7S, 8C","{'Sophia': Hand([Card(""J"", ""Clubs""), Card(""K"", ""Spades""), Card(""4"", ""Hearts""), Card(""7"", ""Spades""), Card(""8"", ""Clubs"")])}",1
2,17,['Sophia'],['Callie Calls'],"JH, 6C, 4H, 6H, 4S","{'Sophia': Hand([Card(""J"", ""Hearts""), Card(""6"", ""Clubs""), Card(""4"", ""Hearts""), Card(""6"", ""Hearts""), Card(""4"", ""Spades"")])}",2
3,3,['Sophia'],['Callie Calls'],"3D, AD, 3S, JH, 9D","{'Sophia': Hand([Card(""3"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""3"", ""Spades""), Card(""J"", ""Hearts""), Card(""9"", ""Diamonds"")])}",3
4,3,['Sophia'],['Callie Calls'],"QS, KS, 6S, KC, 10C","{'Sophia': Hand([Card(""Q"", ""Spades""), Card(""K"", ""Spades""), Card(""6"", ""Spades""), Card(""K"", ""Clubs""), Card(""10"", ""Clubs"")])}",4
5,3,['Sophia'],['Callie Calls'],"4H, 4S, 10S, 9S, AS","{'Sophia': Hand([Card(""4"", ""Hearts""), Card(""4"", ""Spades""), Card(""10"", ""Spades""), Card(""9"", ""Spades""), Card(""A"", ""Spades"")])}",5
6,3,['Sophia'],['Callie Calls'],"4D, 9D, JD, QC, 4S","{'Sophia': Hand([Card(""4"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""4"", ""Spades"")])}",6
7,3,['Sophia'],['Callie Calls'],"8C, QH, 8S, AD, JD","{'Sophia': Hand([Card(""8"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""8"", ""Spades""), Card(""A"", ""Diamonds""), Card(""J"", ""Diamonds"")])}",7
8,3,['Sophia'],['Callie Calls'],"10D, 7S, 5S, KS, 5H","{'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""7"", ""Spades""), Card(""5"", ""Spades""), Card(""K"", ""Spades""), Card(""5"", ""Hearts"")])}",8
9,3,['Sophia'],['Callie Calls'],"9S, JH, AH, JS, 9H","{'Sophia': Hand([Card(""9"", ""Spades""), Card(""J"", ""Hearts""), Card(""A"", ""Hearts""), Card(""J"", ""Spades""), Card(""9"", ""Hearts"")])}",9
