,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,424,['Madi'],['Callie Calls'],"7H, 6C, 9H, 8S, 10D","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""6"", ""Clubs""), Card(""9"", ""Hearts""), Card(""8"", ""Spades""), Card(""10"", ""Diamonds"")]), 'Sophia': Hand([Card(""5"", ""Hearts""), Card(""6"", ""Clubs""), Card(""9"", ""Hearts""), Card(""8"", ""Spades""), Card(""10"", ""Diamonds"")])}",0
1,280,"['Madi', 'Sophia']","['Callie Calls', 'Callie Calls']","JD, AC, 7C, AS, 7S","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""7"", ""Clubs""), Card(""A"", ""Spades""), Card(""7"", ""Spades"")]), 'Sophia': Hand([Card(""J"", ""Hearts""), Card(""A"", ""Clubs""), Card(""7"", ""Clubs""), Card(""A"", ""Spades""), Card(""7"", ""Spades"")])}",1
2,130,['Madi'],['Callie Calls'],"7D, QS, 8D, 7H, AD","{'Madi': Hand([Card(""7"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""8"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""A"", ""Diamonds"")]), 'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""5"", ""Clubs"")])}",2
3,54,['Sophia'],['Callie Calls'],"AS, AH, AC, 4H, 10C","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""A"", ""Clubs""), Card(""9"", ""Clubs""), Card(""5"", ""Hearts""), Card(""10"", ""Clubs"")]), 'Sophia': Hand([Card(""A"", ""Spades""), Card(""A"", ""Hearts""), Card(""A"", ""Clubs""), Card(""4"", ""Hearts""), Card(""10"", ""Clubs"")])}",3
4,5,['Madi'],['Callie Calls'],"6H, 9S, QC, KD, 6C","{'Madi': Hand([Card(""6"", ""Hearts""), Card(""9"", ""Spades""), Card(""Q"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""6"", ""Clubs"")]), 'Sophia': Hand([Card(""J"", ""Hearts""), Card(""9"", ""Spades""), Card(""Q"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""6"", ""Clubs"")])}",4
5,4,['Madi'],['Callie Calls'],"10C, JS, 4H, 10S, 4D","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""J"", ""Spades""), Card(""4"", ""Hearts""), Card(""10"", ""Spades""), Card(""4"", ""Diamonds"")]), 'Sophia': Hand([Card(""K"", ""Spades""), Card(""A"", ""Clubs""), Card(""4"", ""Hearts""), Card(""10"", ""Spades""), Card(""4"", ""Diamonds"")])}",5
6,6,['Madi'],['Callie Calls'],"3D, QH, QC, 10D, 3S","{'Madi': Hand([Card(""3"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""3"", ""Spades"")]), 'Sophia': Hand([Card(""4"", ""Hearts""), Card(""9"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""6"", ""Clubs"")])}",6
7,5,['Sophia'],['Callie Calls'],"KC, 10C, 9D, KH, AH","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""10"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""A"", ""Hearts"")]), 'Sophia': Hand([Card(""K"", ""Clubs""), Card(""10"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""A"", ""Hearts"")])}",7
8,4,['Sophia'],['Callie Calls'],"QS, 9H, 9D, AC, QH","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""7"", ""Spades"")]), 'Sophia': Hand([Card(""Q"", ""Spades""), Card(""9"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""Q"", ""Hearts"")])}",8
9,6,['Madi'],['Callie Calls'],"4H, KH, 9H, AH, QH","{'Madi': Hand([Card(""4"", ""Hearts""), Card(""K"", ""Hearts""), Card(""9"", ""Hearts""), Card(""A"", ""Hearts""), Card(""Q"", ""Hearts"")]), 'Sophia': Hand([Card(""8"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""A"", ""Hearts""), Card(""Q"", ""Hearts"")])}",9
10,5,['Sophia'],['Callie Calls'],"AC, 7C, AD, KH, 5H","{'Madi': Hand([Card(""7"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""7"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""K"", ""Hearts"")]), 'Sophia': Hand([Card(""A"", ""Clubs""), Card(""7"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""5"", ""Hearts"")])}",10
