,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,538,['Madi'],['Callie Calls'],"4S, 8H, 5H, 6S, 7S","{'Madi': Hand([Card(""4"", ""Spades""), Card(""8"", ""Hearts""), Card(""5"", ""Hearts""), Card(""6"", ""Spades""), Card(""7"", ""Spades"")]), 'Steve': Hand([Card(""8"", ""Clubs""), Card(""5"", ""Clubs""), Card(""5"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""J"", ""Spades"")]), 'Sophia': Hand([Card(""6"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""J"", ""Spades""), Card(""6"", ""Spades"")])}",0
1,215,['Madi'],['Callie Calls'],"10D, 10S, AS, AH, 10H","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""10"", ""Spades""), Card(""A"", ""Spades""), Card(""A"", ""Hearts""), Card(""10"", ""Hearts"")]), 'Michelle': Hand([Card(""5"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""A"", ""Spades""), Card(""5"", ""Diamonds""), Card(""A"", ""Hearts"")])}",1
2,66,['Madi'],['Callie Calls'],"3C, 6C, 5C, 7C, 8C","{'Madi': Hand([Card(""3"", ""Clubs""), Card(""6"", ""Clubs""), Card(""5"", ""Clubs""), Card(""7"", ""Clubs""), Card(""8"", ""Clubs"")])}",2
3,8,['Madi'],['Callie Calls'],"6S, 6C, JC, 5C, 8H","{'Madi': Hand([Card(""6"", ""Spades""), Card(""6"", ""Clubs""), Card(""J"", ""Clubs""), Card(""5"", ""Clubs""), Card(""8"", ""Hearts"")])}",3
4,3,['Madi'],['Callie Calls'],"QS, 9S, JS, 4S, 10S","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""9"", ""Spades""), Card(""J"", ""Spades""), Card(""4"", ""Spades""), Card(""10"", ""Spades"")])}",4
5,3,['Madi'],['Callie Calls'],"QH, 5D, 5C, 5S, QC","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""5"", ""Spades""), Card(""Q"", ""Clubs"")])}",5
6,3,['Madi'],['Callie Calls'],"2C, 2H, AC, 2S, AS","{'Madi': Hand([Card(""2"", ""Clubs""), Card(""2"", ""Hearts""), Card(""A"", ""Clubs""), Card(""2"", ""Spades""), Card(""A"", ""Spades"")])}",6
7,3,['Madi'],['Callie Calls'],"4C, 7C, AC, 4H, 7H","{'Madi': Hand([Card(""4"", ""Clubs""), Card(""7"", ""Clubs""), Card(""A"", ""Clubs""), Card(""4"", ""Hearts""), Card(""7"", ""Hearts"")])}",7
8,3,['Madi'],['Callie Calls'],"2D, 2C, QC, 2H, QH","{'Madi': Hand([Card(""2"", ""Diamonds""), Card(""2"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""2"", ""Hearts""), Card(""Q"", ""Hearts"")])}",8
9,3,['Madi'],['Callie Calls'],"4S, 10H, AC, KD, 8C","{'Madi': Hand([Card(""4"", ""Spades""), Card(""10"", ""Hearts""), Card(""A"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""8"", ""Clubs"")])}",9
