,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,599,['Madi'],['Callie Calls'],"7H, 4D, 5H, 3S, 6S","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""3"", ""Spades""), Card(""6"", ""Spades"")]), 'Sophia': Hand([Card(""5"", ""Clubs""), Card(""10"", ""Hearts""), Card(""5"", ""Hearts""), Card(""6"", ""Spades""), Card(""10"", ""Clubs"")])}",0
1,141,['Madi'],['Callie Calls'],"AC, 2H, JH, JS, 2D","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""2"", ""Hearts""), Card(""J"", ""Hearts""), Card(""J"", ""Spades""), Card(""2"", ""Diamonds"")])}",1
2,63,['Madi'],['Callie Calls'],"AC, AD, 10C, KH, QC","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""K"", ""Hearts""), Card(""Q"", ""Clubs"")])}",2
3,3,['Madi'],['Callie Calls'],"JD, AC, 6H, 8S, 6D","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""6"", ""Hearts""), Card(""8"", ""Spades""), Card(""6"", ""Diamonds"")])}",3
4,3,['Madi'],['Callie Calls'],"8S, 10C, 7S, QH, AC","{'Madi': Hand([Card(""8"", ""Spades""), Card(""10"", ""Clubs""), Card(""7"", ""Spades""), Card(""Q"", ""Hearts""), Card(""A"", ""Clubs"")])}",4
5,3,['Madi'],['Callie Calls'],"9D, 3H, 9C, 3D, 7H","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""9"", ""Clubs""), Card(""3"", ""Diamonds""), Card(""7"", ""Hearts"")])}",5
6,3,['Madi'],['Callie Calls'],"9S, AD, 8D, 10H, JC","{'Madi': Hand([Card(""9"", ""Spades""), Card(""A"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""J"", ""Clubs"")])}",6
7,3,['Madi'],['Callie Calls'],"10D, 5H, 9C, QC, KH","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""9"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""K"", ""Hearts"")])}",7
8,3,['Madi'],['Callie Calls'],"10H, 10D, QD, KC, KS","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""K"", ""Spades"")])}",8
9,3,['Madi'],['Callie Calls'],"3S, KS, 10S, QD, 3C","{'Madi': Hand([Card(""3"", ""Spades""), Card(""K"", ""Spades""), Card(""10"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""3"", ""Clubs"")])}",9
10,3,['Madi'],['Callie Calls'],"JD, QH, AH, 9D, 5D","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""A"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""5"", ""Diamonds"")])}",10
11,6,['Madi'],['Callie Calls'],"KC, 10S, KD, JS, AH","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""10"", ""Spades""), Card(""K"", ""Diamonds""), Card(""J"", ""Spades""), Card(""A"", ""Hearts"")])}",11
12,6,['Madi'],['Callie Calls'],"5S, 7H, QD, KS, 6D","{'Madi': Hand([Card(""5"", ""Spades""), Card(""7"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""K"", ""Spades""), Card(""6"", ""Diamonds"")])}",12
13,6,['Madi'],['Callie Calls'],"QS, AD, 8H, KD, 10D","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""A"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""10"", ""Diamonds"")])}",13
14,6,['Madi'],['Callie Calls'],"8H, 9D, KH, 7D, AC","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""A"", ""Clubs"")])}",14
15,6,['Madi'],['Callie Calls'],"AD, 3C, 10D, 3H, QC","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""Q"", ""Clubs"")])}",15
16,6,['Madi'],['Callie Calls'],"JC, KC, AH, 7S, AC","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""K"", ""Clubs""), Card(""A"", ""Hearts""), Card(""7"", ""Spades""), Card(""A"", ""Clubs"")])}",16
17,6,['Madi'],['Callie Calls'],"JC, 8H, 7S, QD, 8D","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""8"", ""Hearts""), Card(""7"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""8"", ""Diamonds"")])}",17
18,6,['Madi'],['Callie Calls'],"QH, 4D, 9S, 4S, AH","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""9"", ""Spades""), Card(""4"", ""Spades""), Card(""A"", ""Hearts"")])}",18
19,6,['Madi'],['Callie Calls'],"8H, QS, 6D, 5D, KH","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""Q"", ""Spades""), Card(""6"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""K"", ""Hearts"")])}",19
20,6,['Madi'],['Callie Calls'],"AS, 9S, 8H, JC, QH","{'Madi': Hand([Card(""A"", ""Spades""), Card(""9"", ""Spades""), Card(""8"", ""Hearts""), Card(""J"", ""Clubs""), Card(""Q"", ""Hearts"")])}",20
21,12,['Madi'],['Callie Calls'],"KD, 10H, 2S, 9D, 2C","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""2"", ""Spades""), Card(""9"", ""Diamonds""), Card(""2"", ""Clubs"")])}",21
22,12,['Madi'],['Callie Calls'],"9S, QD, KS, 7C, AS","{'Madi': Hand([Card(""9"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""K"", ""Spades""), Card(""7"", ""Clubs""), Card(""A"", ""Spades"")])}",22
23,12,['Madi'],['Callie Calls'],"8C, 9S, JC, 8D, AS","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""9"", ""Spades""), Card(""J"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""A"", ""Spades"")])}",23
24,12,['Madi'],['Callie Calls'],"KC, 4S, 4D, 9S, AC","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""4"", ""Spades""), Card(""4"", ""Diamonds""), Card(""9"", ""Spades""), Card(""A"", ""Clubs"")])}",24
25,12,['Madi'],['Callie Calls'],"JC, AH, 9H, AS, QC","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""A"", ""Hearts""), Card(""9"", ""Hearts""), Card(""A"", ""Spades""), Card(""Q"", ""Clubs"")])}",25
26,12,['Madi'],['Callie Calls'],"QS, AS, JD, 7C, 7D","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""A"", ""Spades""), Card(""J"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""7"", ""Diamonds"")])}",26
27,12,['Madi'],['Callie Calls'],"QC, JD, KS, 9H, 10H","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""K"", ""Spades""), Card(""9"", ""Hearts""), Card(""10"", ""Hearts"")])}",27
28,12,['Madi'],['Callie Calls'],"5D, 9S, 7S, JC, 5C","{'Madi': Hand([Card(""5"", ""Diamonds""), Card(""9"", ""Spades""), Card(""7"", ""Spades""), Card(""J"", ""Clubs""), Card(""5"", ""Clubs"")])}",28
