,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,585,['Michelle'],['Robbie Random'],"AS, 3H, JH, JS, 3D","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""J"", ""Spades"")]), 'Michelle': Hand([Card(""A"", ""Spades""), Card(""3"", ""Hearts""), Card(""J"", ""Hearts""), Card(""J"", ""Spades""), Card(""3"", ""Diamonds"")]), 'Steve': Hand([Card(""6"", ""Hearts""), Card(""7"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""J"", ""Spades"")]), 'Sophia': Hand([Card(""4"", ""Clubs""), Card(""Q"", ""Spades""), Card(""K"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""J"", ""Spades"")])}",0
1,76,['Cody'],['Robbie Random'],"KH, 5H, 9D, QD, 9S","{'Cody': Hand([Card(""K"", ""Hearts""), Card(""5"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""9"", ""Spades"")])}",1
2,104,['Michelle'],['Robbie Random'],"2H, QS, 2C, AS, 10S","{'Michelle': Hand([Card(""2"", ""Hearts""), Card(""Q"", ""Spades""), Card(""2"", ""Clubs""), Card(""A"", ""Spades""), Card(""10"", ""Spades"")])}",2
3,185,['Cody'],['Robbie Random'],"8H, 7C, 8D, 7H, QD","{'Cody': Hand([Card(""8"", ""Hearts""), Card(""7"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""Q"", ""Diamonds"")])}",3
4,17,['Alice'],['Ricky Raise'],"6S, 2D, AS, 6C, 2H","{'Alice': Hand([Card(""6"", ""Spades""), Card(""2"", ""Diamonds""), Card(""A"", ""Spades""), Card(""6"", ""Clubs""), Card(""2"", ""Hearts"")])}",4
5,464,['Michelle'],['Robbie Random'],"4C, 8D, 7C, 8C, AD","{'Michelle': Hand([Card(""4"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""8"", ""Clubs""), Card(""A"", ""Diamonds"")])}",5
6,16,['Alice'],['Ricky Raise'],"AC, JD, KD, AD, 8S","{'Alice': Hand([Card(""A"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""8"", ""Spades"")])}",6
7,39,['Michelle'],['Robbie Random'],"KH, JC, AH, 5S, 5D","{'Michelle': Hand([Card(""K"", ""Hearts""), Card(""J"", ""Clubs""), Card(""A"", ""Hearts""), Card(""5"", ""Spades""), Card(""5"", ""Diamonds"")])}",7
8,160,['Michelle'],['Robbie Random'],"JH, 8H, 5C, 7D, AH","{'Michelle': Hand([Card(""J"", ""Hearts""), Card(""8"", ""Hearts""), Card(""5"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""A"", ""Hearts"")])}",8
9,5,['Michelle'],['Robbie Random'],"4H, JS, 4S, QC, JC","{'Michelle': Hand([Card(""4"", ""Hearts""), Card(""J"", ""Spades""), Card(""4"", ""Spades""), Card(""Q"", ""Clubs""), Card(""J"", ""Clubs"")])}",9
