,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,506,['Madi'],['Callie Calls'],"7C, JS, 10D, JH, QC","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""J"", ""Spades""), Card(""10"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""Q"", ""Clubs"")]), 'Sophia': Hand([Card(""10"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""5"", ""Hearts""), Card(""Q"", ""Clubs"")])}",0
1,101,['Madi'],['Callie Calls'],"8D, 2D, 7D, QD, 9D","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""2"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""9"", ""Diamonds"")])}",1
2,215,['Madi'],['Callie Calls'],"AC, QD, 9D, 9C, QC","{'Cody': Hand([Card(""K"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""9"", ""Clubs""), Card(""Q"", ""Clubs"")]), 'Madi': Hand([Card(""A"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""Q"", ""Clubs"")])}",2
3,28,['Madi'],['Callie Calls'],"KD, 10D, 9D, JD, QD","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""Q"", ""Diamonds"")])}",3
4,3,['Madi'],['Callie Calls'],"JD, 2D, 10D, AS, 2C","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""2"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""A"", ""Spades""), Card(""2"", ""Clubs"")])}",4
5,3,['Madi'],['Callie Calls'],"AS, KC, KD, QD, 10H","{'Madi': Hand([Card(""A"", ""Spades""), Card(""K"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""10"", ""Hearts"")])}",5
6,3,['Madi'],['Callie Calls'],"9H, QH, JC, KC, AH","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""J"", ""Clubs""), Card(""K"", ""Clubs""), Card(""A"", ""Hearts"")])}",6
7,3,['Madi'],['Callie Calls'],"4C, 10H, JC, 6C, QC","{'Madi': Hand([Card(""4"", ""Clubs""), Card(""10"", ""Hearts""), Card(""J"", ""Clubs""), Card(""6"", ""Clubs""), Card(""Q"", ""Clubs"")])}",7
8,3,['Madi'],['Callie Calls'],"5D, JS, QD, 5S, JC","{'Madi': Hand([Card(""5"", ""Diamonds""), Card(""J"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""5"", ""Spades""), Card(""J"", ""Clubs"")])}",8
9,3,['Madi'],['Callie Calls'],"8H, 4C, 4D, 10D, AH","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""4"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""A"", ""Hearts"")])}",9
10,3,['Madi'],['Callie Calls'],"7D, 9C, 6H, AC, 10H","{'Madi': Hand([Card(""7"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""6"", ""Hearts""), Card(""A"", ""Clubs""), Card(""10"", ""Hearts"")])}",10
11,6,['Madi'],['Callie Calls'],"6H, 10H, JC, 8D, 6S","{'Madi': Hand([Card(""6"", ""Hearts""), Card(""10"", ""Hearts""), Card(""J"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""6"", ""Spades"")])}",11
12,6,['Madi'],['Callie Calls'],"JC, 7H, 9C, QD, 8D","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""7"", ""Hearts""), Card(""9"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""8"", ""Diamonds"")])}",12
13,6,['Madi'],['Callie Calls'],"9H, AD, QS, 9S, 8D","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""9"", ""Spades""), Card(""8"", ""Diamonds"")])}",13
14,6,['Madi'],['Callie Calls'],"5C, KS, 8S, 7S, 8C","{'Madi': Hand([Card(""5"", ""Clubs""), Card(""K"", ""Spades""), Card(""8"", ""Spades""), Card(""7"", ""Spades""), Card(""8"", ""Clubs"")])}",14
15,6,['Madi'],['Callie Calls'],"6H, 8S, 9D, 10S, QH","{'Madi': Hand([Card(""6"", ""Hearts""), Card(""8"", ""Spades""), Card(""9"", ""Diamonds""), Card(""10"", ""Spades""), Card(""Q"", ""Hearts"")])}",15
16,6,['Madi'],['Callie Calls'],"2D, 2C, 2H, QS, 7D","{'Madi': Hand([Card(""2"", ""Diamonds""), Card(""2"", ""Clubs""), Card(""2"", ""Hearts""), Card(""Q"", ""Spades""), Card(""7"", ""Diamonds"")])}",16
17,6,['Madi'],['Callie Calls'],"QS, 9H, 10H, 10D, QD","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""9"", ""Hearts""), Card(""10"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""Q"", ""Diamonds"")])}",17
18,6,['Madi'],['Callie Calls'],"KC, 6D, 5D, 6H, 5H","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""5"", ""Hearts"")])}",18
19,6,['Madi'],['Callie Calls'],"QH, 8H, KH, JH, 4H","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""8"", ""Hearts""), Card(""K"", ""Hearts""), Card(""J"", ""Hearts""), Card(""4"", ""Hearts"")])}",19
