,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,661,['Michelle'],['Robbie Random'],"5C, 3H, AC, 2D, 4S","{'Madi': Hand([Card(""6"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""4"", ""Spades"")]), 'Michelle': Hand([Card(""5"", ""Clubs""), Card(""3"", ""Hearts""), Card(""A"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""4"", ""Spades"")]), 'Steve': Hand([Card(""A"", ""Spades""), Card(""4"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""4"", ""Spades"")]), 'Sophia': Hand([Card(""6"", ""Spades""), Card(""3"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""A"", ""Clubs"")])}",0
1,23,['Cody'],['Robbie Random'],"2C, 2D, JC, AS, 10H","{'Cody': Hand([Card(""2"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""A"", ""Spades""), Card(""10"", ""Hearts"")])}",1
2,4,['Beezie'],['Ricky Raise'],"3D, 7H, 10D, 3S, JS","{'Beezie': Hand([Card(""3"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""3"", ""Spades""), Card(""J"", ""Spades"")])}",2
3,36,['Michelle'],['Robbie Random'],"QD, 5C, QS, 5D, 9D","{'Michelle': Hand([Card(""Q"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""Q"", ""Spades""), Card(""5"", ""Diamonds""), Card(""9"", ""Diamonds"")])}",3
4,20,['Cody'],['Robbie Random'],"2D, 2H, 4D, 4C, AS","{'Cody': Hand([Card(""2"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""4"", ""Clubs""), Card(""A"", ""Spades"")])}",4
5,3,['Beezie'],['Ricky Raise'],"6S, JD, JS, KD, 6D","{'Beezie': Hand([Card(""6"", ""Spades""), Card(""J"", ""Diamonds""), Card(""J"", ""Spades""), Card(""K"", ""Diamonds""), Card(""6"", ""Diamonds"")])}",5
6,416,['Michelle'],['Robbie Random'],"QD, 7S, 7C, 8D, QS","{'Michelle': Hand([Card(""Q"", ""Diamonds""), Card(""7"", ""Spades""), Card(""7"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""Q"", ""Spades"")])}",6
7,380,['Michelle'],['Robbie Random'],"KD, KC, 9D, QH, JC","{'Michelle': Hand([Card(""K"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""J"", ""Clubs"")])}",7
8,3,['Michelle'],['Robbie Random'],"KH, 9C, 9D, 7D, AH","{'Michelle': Hand([Card(""K"", ""Hearts""), Card(""9"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""A"", ""Hearts"")])}",8
9,3,['Michelle'],['Robbie Random'],"2S, KD, 8C, 2C, 9D","{'Michelle': Hand([Card(""2"", ""Spades""), Card(""K"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""2"", ""Clubs""), Card(""9"", ""Diamonds"")])}",9
10,3,['Michelle'],['Robbie Random'],"4S, QS, 10D, JS, 4C","{'Michelle': Hand([Card(""4"", ""Spades""), Card(""Q"", ""Spades""), Card(""10"", ""Diamonds""), Card(""J"", ""Spades""), Card(""4"", ""Clubs"")])}",10
11,6,['Michelle'],['Robbie Random'],"JH, KD, QS, JS, AD","{'Michelle': Hand([Card(""J"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""J"", ""Spades""), Card(""A"", ""Diamonds"")])}",11
12,688,['Michelle'],['Robbie Random'],"QH, KC, AC, 8C, 9C","{'Michelle': Hand([Card(""Q"", ""Hearts""), Card(""K"", ""Clubs""), Card(""A"", ""Clubs""), Card(""8"", ""Clubs""), Card(""9"", ""Clubs"")])}",12
13,6,['Michelle'],['Robbie Random'],"10C, JS, KC, 2C, 2H","{'Michelle': Hand([Card(""10"", ""Clubs""), Card(""J"", ""Spades""), Card(""K"", ""Clubs""), Card(""2"", ""Clubs""), Card(""2"", ""Hearts"")])}",13
14,338,['Michelle'],['Robbie Random'],"8C, QD, KS, JS, KH","{'Michelle': Hand([Card(""8"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""K"", ""Spades""), Card(""J"", ""Spades""), Card(""K"", ""Hearts"")])}",14
15,6,['Michelle'],['Robbie Random'],"AH, JD, 6H, JH, 6D","{'Michelle': Hand([Card(""A"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""J"", ""Hearts""), Card(""6"", ""Diamonds"")])}",15
16,6,['Michelle'],['Robbie Random'],"2C, JC, 7S, 7C, 2S","{'Michelle': Hand([Card(""2"", ""Clubs""), Card(""J"", ""Clubs""), Card(""7"", ""Spades""), Card(""7"", ""Clubs""), Card(""2"", ""Spades"")])}",16
17,6,['Michelle'],['Robbie Random'],"9S, 8C, 9D, 7H, KD","{'Michelle': Hand([Card(""9"", ""Spades""), Card(""8"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""K"", ""Diamonds"")])}",17
18,561,['Michelle'],['Robbie Random'],"8C, JD, KC, 4S, 4H","{'Michelle': Hand([Card(""8"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""4"", ""Spades""), Card(""4"", ""Hearts"")])}",18
19,6,['Michelle'],['Robbie Random'],"10D, 8C, 8D, QC, KS","{'Michelle': Hand([Card(""10"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""K"", ""Spades"")])}",19
20,6,['Bob'],['Floyd Folds'],"9S, JH, JD, JC, 2D","{'Bob': Hand([Card(""9"", ""Spades""), Card(""J"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""2"", ""Diamonds"")])}",20
