,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,546,['Sophia'],['Callie Calls'],"3D, 7S, 3H, AS, 10D","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""9"", ""Clubs""), Card(""7"", ""Spades""), Card(""A"", ""Spades""), Card(""10"", ""Diamonds"")]), 'Sophia': Hand([Card(""3"", ""Diamonds""), Card(""7"", ""Spades""), Card(""3"", ""Hearts""), Card(""A"", ""Spades""), Card(""10"", ""Diamonds"")])}",0
1,110,['Madi'],['Callie Calls'],"AS, AD, 9S, QD, 10C","{'Madi': Hand([Card(""A"", ""Spades""), Card(""A"", ""Diamonds""), Card(""9"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""10"", ""Clubs"")]), 'Sophia': Hand([Card(""7"", ""Clubs""), Card(""8"", ""Hearts""), Card(""9"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""10"", ""Clubs"")])}",1
2,23,['Madi'],['Callie Calls'],"2D, 2S, 10D, 10C, JC","{'Madi': Hand([Card(""2"", ""Diamonds""), Card(""2"", ""Spades""), Card(""10"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""J"", ""Clubs"")]), 'Sophia': Hand([Card(""7"", ""Spades""), Card(""10"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""9"", ""Spades""), Card(""J"", ""Clubs"")])}",2
3,139,['Madi'],['Callie Calls'],"9D, 10C, 9S, QH, 4C","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""9"", ""Spades""), Card(""Q"", ""Hearts""), Card(""4"", ""Clubs"")]), 'Sophia': Hand([Card(""8"", ""Clubs""), Card(""J"", ""Spades""), Card(""9"", ""Spades""), Card(""Q"", ""Hearts""), Card(""4"", ""Clubs"")])}",3
4,4,['Madi'],['Callie Calls'],"3H, 3C, 9H, KD, 9S","{'Madi': Hand([Card(""3"", ""Hearts""), Card(""3"", ""Clubs""), Card(""9"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""9"", ""Spades"")]), 'Sophia': Hand([Card(""10"", ""Hearts""), Card(""9"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""9"", ""Spades""), Card(""J"", ""Hearts"")])}",4
5,44,['Madi'],['Callie Calls'],"JS, JH, 9D, 6H, 8C","{'Madi': Hand([Card(""J"", ""Spades""), Card(""J"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""8"", ""Clubs"")]), 'Sophia': Hand([Card(""K"", ""Clubs""), Card(""7"", ""Clubs""), Card(""J"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""8"", ""Clubs"")])}",5
6,7,['Sophia'],['Callie Calls'],"8H, QD, 8S, 10H, JC","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""A"", ""Hearts""), Card(""8"", ""Spades""), Card(""10"", ""Hearts""), Card(""J"", ""Clubs"")]), 'Sophia': Hand([Card(""8"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""8"", ""Spades""), Card(""10"", ""Hearts""), Card(""J"", ""Clubs"")])}",6
7,4,['Madi'],['Callie Calls'],"AS, QD, JH, JS, AC","{'Madi': Hand([Card(""A"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""J"", ""Spades""), Card(""A"", ""Clubs"")]), 'Sophia': Hand([Card(""6"", ""Hearts""), Card(""J"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""J"", ""Spades""), Card(""A"", ""Clubs"")])}",7
8,6,['Sophia'],['Callie Calls'],"KH, 8D, 9S, AH, KC","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""9"", ""Spades""), Card(""A"", ""Hearts""), Card(""K"", ""Clubs"")]), 'Sophia': Hand([Card(""K"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""9"", ""Spades""), Card(""A"", ""Hearts""), Card(""K"", ""Clubs"")])}",8
9,5,['Sophia'],['Callie Calls'],"7S, 10D, 8D, QD, 10C","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""10"", ""Clubs"")]), 'Sophia': Hand([Card(""7"", ""Spades""), Card(""10"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""10"", ""Clubs"")])}",9
