,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,471,['Madi'],['Callie Calls'],"JD, KD, 10S, KC, 10D","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""10"", ""Spades""), Card(""K"", ""Clubs""), Card(""10"", ""Diamonds"")]), 'Sophia': Hand([Card(""J"", ""Spades""), Card(""8"", ""Clubs""), Card(""10"", ""Spades""), Card(""K"", ""Clubs""), Card(""10"", ""Diamonds"")])}",0
1,173,['Madi'],['Callie Calls'],"4D, 8H, 4S, 3D, 8C","{'Cody': Hand([Card(""K"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""3"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""8"", ""Clubs"")]), 'Madi': Hand([Card(""4"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""4"", ""Spades""), Card(""3"", ""Diamonds""), Card(""8"", ""Clubs"")]), 'Michelle': Hand([Card(""J"", ""Spades""), Card(""10"", ""Spades""), Card(""3"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""8"", ""Clubs"")])}",1
2,63,['Madi'],['Callie Calls'],"8C, 8H, QD, JS, 7C","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""8"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""J"", ""Spades""), Card(""7"", ""Clubs"")])}",2
3,15,['Madi'],['Callie Calls'],"AD, AS, 7H, QH, 10H","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""A"", ""Spades""), Card(""7"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""10"", ""Hearts"")])}",3
4,3,['Madi'],['Callie Calls'],"8C, KH, 8S, AC, KS","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""K"", ""Hearts""), Card(""8"", ""Spades""), Card(""A"", ""Clubs""), Card(""K"", ""Spades"")])}",4
5,4,['Madi'],['Callie Calls'],"9D, 9H, 4H, 8C, 4S","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""4"", ""Hearts""), Card(""8"", ""Clubs""), Card(""4"", ""Spades"")])}",5
6,34,['Madi'],['Callie Calls'],"QS, JC, QH, KD, 10D","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""J"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""10"", ""Diamonds"")])}",6
7,99,['Madi'],['Callie Calls'],"QH, KS, KH, 10C, 10S","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""K"", ""Spades""), Card(""K"", ""Hearts""), Card(""10"", ""Clubs""), Card(""10"", ""Spades"")]), 'Steve': Hand([Card(""7"", ""Diamonds""), Card(""5"", ""Spades""), Card(""K"", ""Hearts""), Card(""10"", ""Clubs""), Card(""10"", ""Spades"")])}",7
8,4,['Madi'],['Callie Calls'],"3H, 4H, 5D, 6H, 7S","{'Madi': Hand([Card(""3"", ""Hearts""), Card(""4"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""7"", ""Spades"")])}",8
9,3,['Madi'],['Callie Calls'],"KS, 5D, JS, 5S, QH","{'Madi': Hand([Card(""K"", ""Spades""), Card(""5"", ""Diamonds""), Card(""J"", ""Spades""), Card(""5"", ""Spades""), Card(""Q"", ""Hearts"")])}",9
10,3,['Madi'],['Callie Calls'],"9D, 3C, KS, 10D, 3S","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""K"", ""Spades""), Card(""10"", ""Diamonds""), Card(""3"", ""Spades"")])}",10
11,6,['Madi'],['Callie Calls'],"10C, 7S, 9H, JD, 8S","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""7"", ""Spades""), Card(""9"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""8"", ""Spades"")])}",11
12,6,['Madi'],['Callie Calls'],"AC, 8C, QD, JC, JS","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""8"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""J"", ""Spades"")])}",12
13,6,['Madi'],['Callie Calls'],"7S, 8S, 10C, 8H, 9S","{'Madi': Hand([Card(""7"", ""Spades""), Card(""8"", ""Spades""), Card(""10"", ""Clubs""), Card(""8"", ""Hearts""), Card(""9"", ""Spades"")])}",13
14,6,['Madi'],['Callie Calls'],"8S, 8D, 5C, 5S, 5H","{'Madi': Hand([Card(""8"", ""Spades""), Card(""8"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""5"", ""Spades""), Card(""5"", ""Hearts"")])}",14
15,6,['Madi'],['Callie Calls'],"3H, 3C, 7H, KS, AH","{'Madi': Hand([Card(""3"", ""Hearts""), Card(""3"", ""Clubs""), Card(""7"", ""Hearts""), Card(""K"", ""Spades""), Card(""A"", ""Hearts"")])}",15
16,6,['Madi'],['Callie Calls'],"6H, AH, KC, KH, QS","{'Madi': Hand([Card(""6"", ""Hearts""), Card(""A"", ""Hearts""), Card(""K"", ""Clubs""), Card(""K"", ""Hearts""), Card(""Q"", ""Spades"")])}",16
17,6,['Madi'],['Callie Calls'],"KS, 5H, 7C, 6H, 9D","{'Madi': Hand([Card(""K"", ""Spades""), Card(""5"", ""Hearts""), Card(""7"", ""Clubs""), Card(""6"", ""Hearts""), Card(""9"", ""Diamonds"")])}",17
18,6,['Madi'],['Callie Calls'],"QD, JH, 8D, QC, QH","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""Q"", ""Hearts"")])}",18
19,6,['Madi'],['Callie Calls'],"JS, KS, JD, QC, KH","{'Madi': Hand([Card(""J"", ""Spades""), Card(""K"", ""Spades""), Card(""J"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""K"", ""Hearts"")])}",19
20,6,['Madi'],['Callie Calls'],"8H, QC, 3S, AS, 3C","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""3"", ""Spades""), Card(""A"", ""Spades""), Card(""3"", ""Clubs"")])}",20
21,12,['Madi'],['Callie Calls'],"KC, JD, 7C, 10C, 7S","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""10"", ""Clubs""), Card(""7"", ""Spades"")])}",21
22,12,['Madi'],['Callie Calls'],"3S, KS, AS, 8D, 3C","{'Madi': Hand([Card(""3"", ""Spades""), Card(""K"", ""Spades""), Card(""A"", ""Spades""), Card(""8"", ""Diamonds""), Card(""3"", ""Clubs"")])}",22
