,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,682,['Madi'],['Callie Calls'],"7D, 7C, 3S, KS, 3H","{'Cody': Hand([Card(""10"", ""Diamonds""), Card(""3"", ""Spades""), Card(""K"", ""Spades""), Card(""10"", ""Clubs""), Card(""3"", ""Hearts"")]), 'Madi': Hand([Card(""7"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""3"", ""Spades""), Card(""K"", ""Spades""), Card(""3"", ""Hearts"")]), 'Michelle': Hand([Card(""3"", ""Spades""), Card(""K"", ""Spades""), Card(""J"", ""Clubs""), Card(""10"", ""Clubs""), Card(""3"", ""Hearts"")]), 'Sophia': Hand([Card(""3"", ""Spades""), Card(""K"", ""Spades""), Card(""J"", ""Clubs""), Card(""10"", ""Clubs""), Card(""3"", ""Hearts"")])}",0
1,21,['Madi'],['Callie Calls'],"6S, 5C, JC, 6C, 5H","{'Madi': Hand([Card(""6"", ""Spades""), Card(""5"", ""Clubs""), Card(""J"", ""Clubs""), Card(""6"", ""Clubs""), Card(""5"", ""Hearts"")])}",1
2,16,['Madi'],['Callie Calls'],"10C, QD, KD, JS, 9C","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""J"", ""Spades""), Card(""9"", ""Clubs"")])}",2
3,4,['Madi'],['Callie Calls'],"AS, AD, JH, AH, 2C","{'Madi': Hand([Card(""A"", ""Spades""), Card(""A"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""A"", ""Hearts""), Card(""2"", ""Clubs"")])}",3
4,3,['Madi'],['Callie Calls'],"AC, AS, 9S, 9D, 8H","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""A"", ""Spades""), Card(""9"", ""Spades""), Card(""9"", ""Diamonds""), Card(""8"", ""Hearts"")])}",4
5,3,['Madi'],['Callie Calls'],"4D, 5D, KS, 9D, QS","{'Madi': Hand([Card(""4"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""K"", ""Spades""), Card(""9"", ""Diamonds""), Card(""Q"", ""Spades"")])}",5
6,3,['Madi'],['Callie Calls'],"JD, KC, 8S, 5C, KH","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""8"", ""Spades""), Card(""5"", ""Clubs""), Card(""K"", ""Hearts"")])}",6
7,3,['Madi'],['Callie Calls'],"8H, KD, JS, QD, 10S","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""J"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""10"", ""Spades"")])}",7
8,3,['Madi'],['Callie Calls'],"6S, QC, JC, QS, KH","{'Madi': Hand([Card(""6"", ""Spades""), Card(""Q"", ""Clubs""), Card(""J"", ""Clubs""), Card(""Q"", ""Spades""), Card(""K"", ""Hearts"")])}",8
9,3,['Madi'],['Callie Calls'],"AC, 10D, 9C, KS, JD","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""K"", ""Spades""), Card(""J"", ""Diamonds"")])}",9
10,3,['Madi'],['Callie Calls'],"KS, 9H, 8S, 9C, KD","{'Madi': Hand([Card(""K"", ""Spades""), Card(""9"", ""Hearts""), Card(""8"", ""Spades""), Card(""9"", ""Clubs""), Card(""K"", ""Diamonds"")])}",10
