,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,520,['Sophia'],['Callie Calls'],"4C, 5H, KD, 4H, 8D","{'Cody': Hand([Card(""Q"", ""Hearts""), Card(""2"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""2"", ""Diamonds""), Card(""8"", ""Diamonds"")]), 'Madi': Hand([Card(""10"", ""Spades""), Card(""J"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""4"", ""Hearts""), Card(""8"", ""Diamonds"")]), 'Sophia': Hand([Card(""4"", ""Clubs""), Card(""5"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""4"", ""Hearts""), Card(""8"", ""Diamonds"")])}",0
1,182,['Sophia'],['Callie Calls'],"5H, 10D, 8H, KH, 10S","{'Sophia': Hand([Card(""5"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""K"", ""Hearts""), Card(""10"", ""Spades"")])}",1
2,115,['Sophia'],['Callie Calls'],"KD, QS, 7D, JC, 10H","{'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""7"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""10"", ""Hearts"")])}",2
3,13,['Sophia'],['Callie Calls'],"QD, 6H, 8D, 6D, 8H","{'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""8"", ""Hearts"")])}",3
4,26,['Sophia'],['Callie Calls'],"5S, 9C, AH, 6H, 8D","{'Sophia': Hand([Card(""5"", ""Spades""), Card(""9"", ""Clubs""), Card(""A"", ""Hearts""), Card(""6"", ""Hearts""), Card(""8"", ""Diamonds"")])}",4
5,3,['Sophia'],['Callie Calls'],"7S, QC, 6C, 9D, AC","{'Sophia': Hand([Card(""7"", ""Spades""), Card(""Q"", ""Clubs""), Card(""6"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""A"", ""Clubs"")])}",5
6,3,['Sophia'],['Callie Calls'],"10D, KH, AD, 6H, 6C","{'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""6"", ""Clubs"")])}",6
7,3,['Sophia'],['Callie Calls'],"10H, 8H, 7C, 9H, AC","{'Sophia': Hand([Card(""10"", ""Hearts""), Card(""8"", ""Hearts""), Card(""7"", ""Clubs""), Card(""9"", ""Hearts""), Card(""A"", ""Clubs"")])}",7
8,3,['Sophia'],['Callie Calls'],"JC, 7D, 10S, JD, AS","{'Sophia': Hand([Card(""J"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""10"", ""Spades""), Card(""J"", ""Diamonds""), Card(""A"", ""Spades"")])}",8
9,3,['Sophia'],['Callie Calls'],"6C, 9S, 4D, 4S, 7D","{'Sophia': Hand([Card(""6"", ""Clubs""), Card(""9"", ""Spades""), Card(""4"", ""Diamonds""), Card(""4"", ""Spades""), Card(""7"", ""Diamonds"")])}",9
10,3,['Sophia'],['Callie Calls'],"7S, 7H, 5H, 5D, 5S","{'Sophia': Hand([Card(""7"", ""Spades""), Card(""7"", ""Hearts""), Card(""5"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""5"", ""Spades"")])}",10
11,6,['Sophia'],['Callie Calls'],"7S, 5C, 8H, 10D, 10S","{'Sophia': Hand([Card(""7"", ""Spades""), Card(""5"", ""Clubs""), Card(""8"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""10"", ""Spades"")])}",11
12,6,['Sophia'],['Callie Calls'],"KD, 10S, 9H, 10C, 10D","{'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""10"", ""Spades""), Card(""9"", ""Hearts""), Card(""10"", ""Clubs""), Card(""10"", ""Diamonds"")])}",12
13,6,['Sophia'],['Callie Calls'],"KS, 10D, 10C, 10S, KD","{'Sophia': Hand([Card(""K"", ""Spades""), Card(""10"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""10"", ""Spades""), Card(""K"", ""Diamonds"")])}",13
14,6,['Sophia'],['Callie Calls'],"5H, KS, 10S, 8S, 7H","{'Sophia': Hand([Card(""5"", ""Hearts""), Card(""K"", ""Spades""), Card(""10"", ""Spades""), Card(""8"", ""Spades""), Card(""7"", ""Hearts"")])}",14
15,6,['Sophia'],['Callie Calls'],"JD, KH, 10S, JH, 10H","{'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""10"", ""Spades""), Card(""J"", ""Hearts""), Card(""10"", ""Hearts"")])}",15
16,6,['Sophia'],['Callie Calls'],"7H, AC, QD, 6C, JS","{'Sophia': Hand([Card(""7"", ""Hearts""), Card(""A"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""J"", ""Spades"")])}",16
17,6,['Sophia'],['Callie Calls'],"KH, KD, QS, 6C, JS","{'Sophia': Hand([Card(""K"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""6"", ""Clubs""), Card(""J"", ""Spades"")])}",17
18,6,['Sophia'],['Callie Calls'],"KH, AC, AS, KC, QH","{'Sophia': Hand([Card(""K"", ""Hearts""), Card(""A"", ""Clubs""), Card(""A"", ""Spades""), Card(""K"", ""Clubs""), Card(""Q"", ""Hearts"")])}",18
19,6,['Sophia'],['Callie Calls'],"7S, JH, 3D, JS, 7D","{'Sophia': Hand([Card(""7"", ""Spades""), Card(""J"", ""Hearts""), Card(""3"", ""Diamonds""), Card(""J"", ""Spades""), Card(""7"", ""Diamonds"")])}",19
20,6,['Sophia'],['Callie Calls'],"KS, 6C, JD, 8H, 8C","{'Sophia': Hand([Card(""K"", ""Spades""), Card(""6"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""8"", ""Clubs"")])}",20
21,12,['Sophia'],['Callie Calls'],"8S, JS, JH, KS, 6H","{'Sophia': Hand([Card(""8"", ""Spades""), Card(""J"", ""Spades""), Card(""J"", ""Hearts""), Card(""K"", ""Spades""), Card(""6"", ""Hearts"")])}",21
22,12,['Sophia'],['Callie Calls'],"2D, 10C, 2H, QH, AC","{'Sophia': Hand([Card(""2"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""2"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""A"", ""Clubs"")])}",22
23,12,['Sophia'],['Callie Calls'],"JD, 7S, 6D, KC, 8S","{'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""7"", ""Spades""), Card(""6"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""8"", ""Spades"")])}",23
24,12,['Sophia'],['Callie Calls'],"6H, AH, KD, 8H, AD","{'Sophia': Hand([Card(""6"", ""Hearts""), Card(""A"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""A"", ""Diamonds"")])}",24
25,12,['Sophia'],['Callie Calls'],"JH, 9S, AS, JC, 10D","{'Sophia': Hand([Card(""J"", ""Hearts""), Card(""9"", ""Spades""), Card(""A"", ""Spades""), Card(""J"", ""Clubs""), Card(""10"", ""Diamonds"")])}",25
26,12,['Sophia'],['Callie Calls'],"AC, 3C, 2C, 8C, QC","{'Sophia': Hand([Card(""A"", ""Clubs""), Card(""3"", ""Clubs""), Card(""2"", ""Clubs""), Card(""8"", ""Clubs""), Card(""Q"", ""Clubs"")])}",26
27,12,['Sophia'],['Callie Calls'],"JS, 9C, 9H, KH, 10S","{'Sophia': Hand([Card(""J"", ""Spades""), Card(""9"", ""Clubs""), Card(""9"", ""Hearts""), Card(""K"", ""Hearts""), Card(""10"", ""Spades"")])}",27
28,12,['Sophia'],['Callie Calls'],"7S, 8C, 7D, AD, JS","{'Sophia': Hand([Card(""7"", ""Spades""), Card(""8"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""J"", ""Spades"")])}",28
29,12,['Sophia'],['Callie Calls'],"KH, AC, JH, 6H, 7C","{'Sophia': Hand([Card(""K"", ""Hearts""), Card(""A"", ""Clubs""), Card(""J"", ""Hearts""), Card(""6"", ""Hearts""), Card(""7"", ""Clubs"")])}",29
