,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,323,['Sophia'],['Callie Calls'],"9C, KH, 3C, 8S, 3H","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""5"", ""Spades""), Card(""3"", ""Clubs""), Card(""8"", ""Spades""), Card(""3"", ""Hearts"")]), 'Sophia': Hand([Card(""9"", ""Clubs""), Card(""K"", ""Hearts""), Card(""3"", ""Clubs""), Card(""8"", ""Spades""), Card(""3"", ""Hearts"")])}",0
1,150,['Madi'],['Callie Calls'],"10S, 8C, 10C, QS, 9S","{'Madi': Hand([Card(""10"", ""Spades""), Card(""8"", ""Clubs""), Card(""10"", ""Clubs""), Card(""Q"", ""Spades""), Card(""9"", ""Spades"")]), 'Sophia': Hand([Card(""6"", ""Clubs""), Card(""8"", ""Clubs""), Card(""10"", ""Clubs""), Card(""Q"", ""Spades""), Card(""9"", ""Spades"")])}",1
2,59,['Madi'],['Callie Calls'],"QS, 6S, AC, 9H, 9C","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""6"", ""Spades""), Card(""A"", ""Clubs""), Card(""9"", ""Hearts""), Card(""9"", ""Clubs"")]), 'Sophia': Hand([Card(""10"", ""Spades""), Card(""4"", ""Hearts""), Card(""A"", ""Clubs""), Card(""9"", ""Hearts""), Card(""9"", ""Clubs"")])}",2
3,294,['Steve'],['Robbie Random'],"QD, 9S, QS, 8C, 4D","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""9"", ""Spades""), Card(""Q"", ""Spades""), Card(""8"", ""Clubs"")]), 'Steve': Hand([Card(""Q"", ""Diamonds""), Card(""9"", ""Spades""), Card(""Q"", ""Spades""), Card(""8"", ""Clubs""), Card(""4"", ""Diamonds"")]), 'Sophia': Hand([Card(""2"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""9"", ""Spades""), Card(""Q"", ""Spades""), Card(""2"", ""Spades"")])}",3
4,263,['Sophia'],['Callie Calls'],"AH, QC, JD, 10D, KH","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""10"", ""Hearts"")]), 'Sophia': Hand([Card(""A"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""K"", ""Hearts"")])}",4
5,498,['Sophia'],['Callie Calls'],"JC, 9D, QH, 10D, KD","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""Q"", ""Clubs"")]), 'Sophia': Hand([Card(""J"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""K"", ""Diamonds"")])}",5
6,3,['Sophia'],['Callie Calls'],"8D, 10S, JC, 10D, 7C","{'Sophia': Hand([Card(""8"", ""Diamonds""), Card(""10"", ""Spades""), Card(""J"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""7"", ""Clubs"")])}",6
7,3,['Sophia'],['Callie Calls'],"KC, 2D, QH, 10D, 2C","{'Sophia': Hand([Card(""K"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""2"", ""Clubs"")])}",7
8,6,['Sophia'],['Callie Calls'],"AH, 2S, 5H, 3D, 4D","{'Sophia': Hand([Card(""A"", ""Hearts""), Card(""2"", ""Spades""), Card(""5"", ""Hearts""), Card(""3"", ""Diamonds""), Card(""4"", ""Diamonds"")])}",8
9,3,['Sophia'],['Callie Calls'],"QD, 5H, 5C, 10H, JH","{'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""5"", ""Clubs""), Card(""10"", ""Hearts""), Card(""J"", ""Hearts"")])}",9
10,3,['Sophia'],['Callie Calls'],"AS, 5H, 5D, QS, JD","{'Sophia': Hand([Card(""A"", ""Spades""), Card(""5"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""J"", ""Diamonds"")])}",10
11,6,['Sophia'],['Callie Calls'],"3D, 3S, 3C, 4S, AS","{'Sophia': Hand([Card(""3"", ""Diamonds""), Card(""3"", ""Spades""), Card(""3"", ""Clubs""), Card(""4"", ""Spades""), Card(""A"", ""Spades"")])}",11
12,6,['Sophia'],['Callie Calls'],"QS, 8D, KS, JC, 8C","{'Sophia': Hand([Card(""Q"", ""Spades""), Card(""8"", ""Diamonds""), Card(""K"", ""Spades""), Card(""J"", ""Clubs""), Card(""8"", ""Clubs"")])}",12
13,6,['Sophia'],['Callie Calls'],"8S, AS, 9D, 7C, KS","{'Sophia': Hand([Card(""8"", ""Spades""), Card(""A"", ""Spades""), Card(""9"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""K"", ""Spades"")])}",13
14,6,['Sophia'],['Callie Calls'],"2C, 3C, 2S, 2D, 3H","{'Sophia': Hand([Card(""2"", ""Clubs""), Card(""3"", ""Clubs""), Card(""2"", ""Spades""), Card(""2"", ""Diamonds""), Card(""3"", ""Hearts"")])}",14
15,6,['Sophia'],['Callie Calls'],"KH, 8D, 7C, 6S, 4C","{'Sophia': Hand([Card(""K"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""6"", ""Spades""), Card(""4"", ""Clubs"")])}",15
16,6,['Sophia'],['Callie Calls'],"JS, 6C, KD, AS, QH","{'Sophia': Hand([Card(""J"", ""Spades""), Card(""6"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""A"", ""Spades""), Card(""Q"", ""Hearts"")])}",16
17,6,['Sophia'],['Callie Calls'],"KH, KC, 3H, JS, 3D","{'Sophia': Hand([Card(""K"", ""Hearts""), Card(""K"", ""Clubs""), Card(""3"", ""Hearts""), Card(""J"", ""Spades""), Card(""3"", ""Diamonds"")])}",17
18,6,['Sophia'],['Callie Calls'],"6H, 6D, KD, JD, KC","{'Sophia': Hand([Card(""6"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""K"", ""Clubs"")])}",18
19,6,['Sophia'],['Callie Calls'],"9C, 5S, JC, 10H, QD","{'Sophia': Hand([Card(""9"", ""Clubs""), Card(""5"", ""Spades""), Card(""J"", ""Clubs""), Card(""10"", ""Hearts""), Card(""Q"", ""Diamonds"")])}",19
20,6,['Sophia'],['Callie Calls'],"10C, AS, 10H, 6C, AC","{'Sophia': Hand([Card(""10"", ""Clubs""), Card(""A"", ""Spades""), Card(""10"", ""Hearts""), Card(""6"", ""Clubs""), Card(""A"", ""Clubs"")])}",20
21,12,['Sophia'],['Callie Calls'],"QH, 8D, 10H, 9C, QS","{'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""9"", ""Clubs""), Card(""Q"", ""Spades"")])}",21
22,12,['Sophia'],['Callie Calls'],"6D, 7C, 7H, 9S, 9C","{'Sophia': Hand([Card(""6"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""7"", ""Hearts""), Card(""9"", ""Spades""), Card(""9"", ""Clubs"")])}",22
23,12,['Sophia'],['Callie Calls'],"AS, 5D, 5H, KC, AH","{'Sophia': Hand([Card(""A"", ""Spades""), Card(""5"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""K"", ""Clubs""), Card(""A"", ""Hearts"")])}",23
24,12,['Sophia'],['Callie Calls'],"5C, QC, 2S, 2C, 7D","{'Sophia': Hand([Card(""5"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""2"", ""Spades""), Card(""2"", ""Clubs""), Card(""7"", ""Diamonds"")])}",24
