,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,668,['Madi'],['Callie Calls'],"8H, 3H, JH, 3D, 8D","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""3"", ""Hearts""), Card(""J"", ""Hearts""), Card(""3"", ""Diamonds""), Card(""8"", ""Diamonds"")]), 'Michelle': Hand([Card(""Q"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""J"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""5"", ""Hearts"")]), 'Sophia': Hand([Card(""7"", ""Clubs""), Card(""10"", ""Clubs""), Card(""J"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""5"", ""Hearts"")])}",0
1,46,['Madi'],['Callie Calls'],"10D, KD, 9C, JH, QS","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""J"", ""Hearts""), Card(""Q"", ""Spades"")])}",1
2,10,['Madi'],['Callie Calls'],"QS, KD, 7H, JD, 7C","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""K"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""7"", ""Clubs"")])}",2
3,8,['Madi'],['Callie Calls'],"QS, 6C, QH, 9C, KD","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""6"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""9"", ""Clubs""), Card(""K"", ""Diamonds"")])}",3
4,3,['Madi'],['Callie Calls'],"9D, 8D, 8H, 6H, 9C","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""6"", ""Hearts""), Card(""9"", ""Clubs"")])}",4
5,3,['Madi'],['Callie Calls'],"10H, JS, QS, 7D, AD","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""J"", ""Spades""), Card(""Q"", ""Spades""), Card(""7"", ""Diamonds""), Card(""A"", ""Diamonds"")])}",5
6,3,['Madi'],['Callie Calls'],"7D, JD, AC, 9C, 8D","{'Madi': Hand([Card(""7"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""9"", ""Clubs""), Card(""8"", ""Diamonds"")])}",6
7,3,['Madi'],['Callie Calls'],"AC, 9S, 8D, 9C, 5H","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""9"", ""Spades""), Card(""8"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""5"", ""Hearts"")])}",7
8,3,['Madi'],['Callie Calls'],"KH, JH, JD, KC, 6S","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""J"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""6"", ""Spades"")])}",8
9,3,['Madi'],['Callie Calls'],"4H, 8C, 10D, 6D, AS","{'Madi': Hand([Card(""4"", ""Hearts""), Card(""8"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""A"", ""Spades"")])}",9
