,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,514,['Sophia'],['Callie Calls'],"8S, 10S, 10D, AH, 9C","{'Madi': Hand([Card(""J"", ""Spades""), Card(""8"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""9"", ""Clubs"")]), 'Sophia': Hand([Card(""8"", ""Spades""), Card(""10"", ""Spades""), Card(""10"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""9"", ""Clubs"")])}",0
1,163,['Sophia'],['Callie Calls'],"9D, 4H, 10C, JC, 4D","{'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""4"", ""Hearts""), Card(""10"", ""Clubs""), Card(""J"", ""Clubs""), Card(""4"", ""Diamonds"")])}",1
2,46,['Sophia'],['Callie Calls'],"9H, 2C, KD, JC, 2H","{'Sophia': Hand([Card(""9"", ""Hearts""), Card(""2"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""2"", ""Hearts"")])}",2
3,81,['Sophia'],['Callie Calls'],"8C, 3D, 3S, QD, AH","{'Sophia': Hand([Card(""8"", ""Clubs""), Card(""3"", ""Diamonds""), Card(""3"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""A"", ""Hearts"")])}",3
4,9,['Sophia'],['Callie Calls'],"JC, 9D, 9H, 4D, 8C","{'Sophia': Hand([Card(""J"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""8"", ""Clubs"")])}",4
5,5,['Sophia'],['Callie Calls'],"QC, 10H, KS, KC, 8S","{'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""10"", ""Hearts""), Card(""K"", ""Spades""), Card(""K"", ""Clubs""), Card(""8"", ""Spades"")])}",5
6,4,['Sophia'],['Callie Calls'],"7H, JH, KC, 7D, QD","{'Sophia': Hand([Card(""7"", ""Hearts""), Card(""J"", ""Hearts""), Card(""K"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""Q"", ""Diamonds"")])}",6
7,4,['Sophia'],['Callie Calls'],"5S, KD, 6C, 6S, 5D","{'Sophia': Hand([Card(""5"", ""Spades""), Card(""K"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""6"", ""Spades""), Card(""5"", ""Diamonds"")])}",7
8,5,['Sophia'],['Callie Calls'],"AD, QD, 9S, 6H, 4S","{'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""9"", ""Spades""), Card(""6"", ""Hearts""), Card(""4"", ""Spades"")])}",8
9,3,['Sophia'],['Callie Calls'],"AC, QC, JD, 7H, 8D","{'Sophia': Hand([Card(""A"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""8"", ""Diamonds"")])}",9
10,3,['Sophia'],['Callie Calls'],"2H, 3D, 3C, 2C, JH","{'Sophia': Hand([Card(""2"", ""Hearts""), Card(""3"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""2"", ""Clubs""), Card(""J"", ""Hearts"")])}",10
11,6,['Sophia'],['Callie Calls'],"7D, 5C, 6D, 8H, 4H","{'Sophia': Hand([Card(""7"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""4"", ""Hearts"")])}",11
12,6,['Sophia'],['Callie Calls'],"QS, KD, 8D, AD, 10C","{'Sophia': Hand([Card(""Q"", ""Spades""), Card(""K"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""10"", ""Clubs"")])}",12
13,6,['Sophia'],['Callie Calls'],"6S, 8D, 4S, 7C, 5S","{'Sophia': Hand([Card(""6"", ""Spades""), Card(""8"", ""Diamonds""), Card(""4"", ""Spades""), Card(""7"", ""Clubs""), Card(""5"", ""Spades"")])}",13
14,6,['Sophia'],['Callie Calls'],"JD, 9D, 9H, JS, QC","{'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""J"", ""Spades""), Card(""Q"", ""Clubs"")])}",14
15,6,['Sophia'],['Callie Calls'],"QD, AD, 6D, 9D, 2D","{'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""2"", ""Diamonds"")])}",15
16,6,['Sophia'],['Callie Calls'],"7D, KS, 4H, 4D, JS","{'Sophia': Hand([Card(""7"", ""Diamonds""), Card(""K"", ""Spades""), Card(""4"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""J"", ""Spades"")])}",16
17,6,['Sophia'],['Callie Calls'],"4C, QH, 4H, 3D, 3H","{'Sophia': Hand([Card(""4"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""4"", ""Hearts""), Card(""3"", ""Diamonds""), Card(""3"", ""Hearts"")])}",17
18,6,['Sophia'],['Callie Calls'],"QD, AS, JH, JC, 9D","{'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""A"", ""Spades""), Card(""J"", ""Hearts""), Card(""J"", ""Clubs""), Card(""9"", ""Diamonds"")])}",18
19,6,['Sophia'],['Callie Calls'],"JH, 8H, 8C, 9C, KD","{'Sophia': Hand([Card(""J"", ""Hearts""), Card(""8"", ""Hearts""), Card(""8"", ""Clubs""), Card(""9"", ""Clubs""), Card(""K"", ""Diamonds"")])}",19
20,6,['Sophia'],['Callie Calls'],"QH, AH, AC, JC, 10D","{'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""A"", ""Hearts""), Card(""A"", ""Clubs""), Card(""J"", ""Clubs""), Card(""10"", ""Diamonds"")])}",20
21,12,['Sophia'],['Callie Calls'],"AD, QS, KC, KH, QD","{'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""K"", ""Clubs""), Card(""K"", ""Hearts""), Card(""Q"", ""Diamonds"")])}",21
22,12,['Sophia'],['Callie Calls'],"JH, JS, 10S, 7H, AH","{'Sophia': Hand([Card(""J"", ""Hearts""), Card(""J"", ""Spades""), Card(""10"", ""Spades""), Card(""7"", ""Hearts""), Card(""A"", ""Hearts"")])}",22
23,12,['Sophia'],['Callie Calls'],"JH, 6H, AH, 5H, QS","{'Sophia': Hand([Card(""J"", ""Hearts""), Card(""6"", ""Hearts""), Card(""A"", ""Hearts""), Card(""5"", ""Hearts""), Card(""Q"", ""Spades"")])}",23
24,12,['Sophia'],['Callie Calls'],"7D, 2S, 2D, 7H, AS","{'Sophia': Hand([Card(""7"", ""Diamonds""), Card(""2"", ""Spades""), Card(""2"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""A"", ""Spades"")])}",24
25,12,['Sophia'],['Callie Calls'],"9H, 8D, 7S, 5C, 5S","{'Sophia': Hand([Card(""9"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""7"", ""Spades""), Card(""5"", ""Clubs""), Card(""5"", ""Spades"")])}",25
26,12,['Sophia'],['Callie Calls'],"7S, QH, 8C, JC, 8D","{'Sophia': Hand([Card(""7"", ""Spades""), Card(""Q"", ""Hearts""), Card(""8"", ""Clubs""), Card(""J"", ""Clubs""), Card(""8"", ""Diamonds"")])}",26
27,12,['Sophia'],['Callie Calls'],"5H, JD, 6C, 6D, 5S","{'Sophia': Hand([Card(""5"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""5"", ""Spades"")])}",27
28,12,['Sophia'],['Callie Calls'],"9C, AH, JH, 8D, KS","{'Sophia': Hand([Card(""9"", ""Clubs""), Card(""A"", ""Hearts""), Card(""J"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""K"", ""Spades"")])}",28
29,12,['Sophia'],['Callie Calls'],"JC, QS, KC, 8S, 8C","{'Sophia': Hand([Card(""J"", ""Clubs""), Card(""Q"", ""Spades""), Card(""K"", ""Clubs""), Card(""8"", ""Spades""), Card(""8"", ""Clubs"")])}",29
