,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,450,"['Madi', 'Sophia']","['Callie Calls', 'Callie Calls']","2H, KD, 2S, AS, KH","{'Madi': Hand([Card(""2"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""2"", ""Spades""), Card(""A"", ""Spades""), Card(""K"", ""Hearts"")]), 'Sophia': Hand([Card(""2"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""2"", ""Spades""), Card(""A"", ""Spades""), Card(""K"", ""Hearts"")])}",0
1,147,['Madi'],['Callie Calls'],"9C, AC, KC, 4C, 3C","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""A"", ""Clubs""), Card(""K"", ""Clubs""), Card(""4"", ""Clubs""), Card(""3"", ""Clubs"")]), 'Michelle': Hand([Card(""8"", ""Clubs""), Card(""A"", ""Clubs""), Card(""K"", ""Clubs""), Card(""4"", ""Clubs""), Card(""3"", ""Clubs"")]), 'Sophia': Hand([Card(""2"", ""Clubs""), Card(""A"", ""Clubs""), Card(""K"", ""Clubs""), Card(""4"", ""Clubs""), Card(""3"", ""Clubs"")])}",1
2,317,['Sophia'],['Callie Calls'],"3H, 3D, 4C, 4H, AD","{'Cody': Hand([Card(""10"", ""Clubs""), Card(""4"", ""Clubs""), Card(""4"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""8"", ""Spades"")]), 'Madi': Hand([Card(""9"", ""Hearts""), Card(""4"", ""Clubs""), Card(""4"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""8"", ""Spades"")]), 'Sophia': Hand([Card(""3"", ""Hearts""), Card(""3"", ""Diamonds""), Card(""4"", ""Clubs""), Card(""4"", ""Hearts""), Card(""A"", ""Diamonds"")])}",2
3,148,['Madi'],['Callie Calls'],"8S, JH, 7D, 9C, 10C","{'Madi': Hand([Card(""8"", ""Spades""), Card(""J"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""10"", ""Clubs"")]), 'Sophia': Hand([Card(""K"", ""Clubs""), Card(""J"", ""Spades""), Card(""K"", ""Hearts""), Card(""9"", ""Clubs""), Card(""10"", ""Clubs"")])}",3
4,6,['Sophia'],['Callie Calls'],"AC, JH, 7H, AD, QD","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""7"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""Q"", ""Diamonds"")]), 'Sophia': Hand([Card(""A"", ""Clubs""), Card(""J"", ""Hearts""), Card(""7"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""Q"", ""Diamonds"")])}",4
5,7,['Madi'],['Callie Calls'],"2D, AD, 2C, QH, QS","{'Madi': Hand([Card(""2"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""2"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""Q"", ""Spades"")]), 'Sophia': Hand([Card(""K"", ""Hearts""), Card(""J"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""Q"", ""Spades"")])}",5
6,15,['Michelle'],['Robbie Random'],"KH, 7D, 6S, 7S, 8H","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""6"", ""Spades""), Card(""7"", ""Spades""), Card(""8"", ""Hearts"")]), 'Michelle': Hand([Card(""K"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""6"", ""Spades""), Card(""7"", ""Spades""), Card(""8"", ""Hearts"")]), 'Sophia': Hand([Card(""9"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""6"", ""Spades""), Card(""7"", ""Spades""), Card(""8"", ""Hearts"")])}",6
7,18,['Sophia'],['Callie Calls'],"2S, 3D, 3H, 3C, 2H","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""J"", ""Clubs""), Card(""3"", ""Hearts""), Card(""3"", ""Clubs""), Card(""9"", ""Diamonds"")]), 'Sophia': Hand([Card(""2"", ""Spades""), Card(""3"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""3"", ""Clubs""), Card(""2"", ""Hearts"")])}",7
8,29,['Sophia'],['Callie Calls'],"9S, AH, JC, 9H, KD","{'Madi': Hand([Card(""6"", ""Hearts""), Card(""A"", ""Hearts""), Card(""J"", ""Clubs""), Card(""9"", ""Hearts""), Card(""K"", ""Diamonds"")]), 'Sophia': Hand([Card(""9"", ""Spades""), Card(""A"", ""Hearts""), Card(""J"", ""Clubs""), Card(""9"", ""Hearts""), Card(""K"", ""Diamonds"")])}",8
9,5,['Madi'],['Callie Calls'],"7D, KS, AD, 8S, KD","{'Madi': Hand([Card(""7"", ""Diamonds""), Card(""K"", ""Spades""), Card(""A"", ""Diamonds""), Card(""8"", ""Spades""), Card(""K"", ""Diamonds"")]), 'Sophia': Hand([Card(""J"", ""Hearts""), Card(""A"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""8"", ""Spades""), Card(""K"", ""Diamonds"")])}",9
