,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,670,['Madi'],['Callie Calls'],"5D, 5C, KC, 5S, 4C","{'Madi': Hand([Card(""5"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""K"", ""Clubs""), Card(""5"", ""Spades""), Card(""4"", ""Clubs"")]), 'Sophia': Hand([Card(""7"", ""Spades""), Card(""Q"", ""Clubs""), Card(""K"", ""Clubs""), Card(""10"", ""Hearts""), Card(""6"", ""Diamonds"")])}",0
1,20,['Madi'],['Callie Calls'],"9H, 2S, 10C, KD, 2H","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""2"", ""Spades""), Card(""10"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""2"", ""Hearts"")])}",1
2,6,['Madi'],['Callie Calls'],"AS, 5S, 10S, AC, 5C","{'Madi': Hand([Card(""A"", ""Spades""), Card(""5"", ""Spades""), Card(""10"", ""Spades""), Card(""A"", ""Clubs""), Card(""5"", ""Clubs"")])}",2
3,18,['Cody'],['Robbie Random'],"8H, QD, JH, 9C, 10H","{'Cody': Hand([Card(""8"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""9"", ""Clubs""), Card(""10"", ""Hearts"")]), 'Madi': Hand([Card(""9"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""9"", ""Clubs""), Card(""7"", ""Clubs""), Card(""10"", ""Hearts"")])}",3
4,5,['Madi'],['Callie Calls'],"10C, AD, 8C, JH, JC","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""J"", ""Hearts""), Card(""J"", ""Clubs"")])}",4
5,23,['Madi'],['Callie Calls'],"3S, 3C, 8S, AS, AD","{'Madi': Hand([Card(""3"", ""Spades""), Card(""3"", ""Clubs""), Card(""8"", ""Spades""), Card(""A"", ""Spades""), Card(""A"", ""Diamonds"")])}",5
6,3,['Madi'],['Callie Calls'],"2H, 2D, 6D, 7C, JC","{'Madi': Hand([Card(""2"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""J"", ""Clubs"")])}",6
7,14,['Madi'],['Callie Calls'],"5S, 5C, 9S, 10D, KH","{'Cody': Hand([Card(""6"", ""Spades""), Card(""9"", ""Spades""), Card(""10"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""7"", ""Hearts"")]), 'Madi': Hand([Card(""5"", ""Spades""), Card(""5"", ""Clubs""), Card(""9"", ""Spades""), Card(""10"", ""Diamonds""), Card(""K"", ""Hearts"")])}",7
8,3,['Madi'],['Callie Calls'],"JH, 3S, 3D, AH, 7H","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""3"", ""Spades""), Card(""3"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""7"", ""Hearts"")])}",8
9,3,['Madi'],['Callie Calls'],"9C, JS, 10H, 10S, 6H","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""J"", ""Spades""), Card(""10"", ""Hearts""), Card(""10"", ""Spades""), Card(""6"", ""Hearts"")])}",9
10,3,['Madi'],['Callie Calls'],"9S, 9D, 3D, AC, 3H","{'Madi': Hand([Card(""9"", ""Spades""), Card(""9"", ""Diamonds""), Card(""3"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""3"", ""Hearts"")])}",10
