,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,602,['Madi'],['Callie Calls'],"10S, 10D, 8C, KS, JS","{'Madi': Hand([Card(""10"", ""Spades""), Card(""10"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""K"", ""Spades""), Card(""J"", ""Spades"")]), 'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""8"", ""Clubs""), Card(""K"", ""Spades""), Card(""J"", ""Spades"")])}",0
1,147,['Madi'],['Callie Calls'],"JS, 8C, 4D, 9D, 4C","{'Madi': Hand([Card(""J"", ""Spades""), Card(""8"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""4"", ""Clubs"")])}",1
2,30,['Madi'],['Callie Calls'],"JS, JC, AC, 2H, JD","{'Madi': Hand([Card(""J"", ""Spades""), Card(""J"", ""Clubs""), Card(""A"", ""Clubs""), Card(""2"", ""Hearts""), Card(""J"", ""Diamonds"")])}",2
3,24,['Madi'],['Callie Calls'],"5C, 4S, 3D, 2H, AS","{'Madi': Hand([Card(""5"", ""Clubs""), Card(""4"", ""Spades""), Card(""3"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""A"", ""Spades"")])}",3
4,3,['Madi'],['Callie Calls'],"5H, 8S, 7C, 9H, QC","{'Madi': Hand([Card(""5"", ""Hearts""), Card(""8"", ""Spades""), Card(""7"", ""Clubs""), Card(""9"", ""Hearts""), Card(""Q"", ""Clubs"")])}",4
5,3,['Madi'],['Callie Calls'],"10H, AH, 10S, QS, KS","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""A"", ""Hearts""), Card(""10"", ""Spades""), Card(""Q"", ""Spades""), Card(""K"", ""Spades"")])}",5
6,3,['Madi'],['Callie Calls'],"4S, QS, 4D, 9C, 9D","{'Madi': Hand([Card(""4"", ""Spades""), Card(""Q"", ""Spades""), Card(""4"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""9"", ""Diamonds"")])}",6
7,3,['Madi'],['Callie Calls'],"QH, 3H, QD, 3C, JD","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""3"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""J"", ""Diamonds"")])}",7
8,3,['Madi'],['Callie Calls'],"7S, 4D, 5H, 9C, 8C","{'Madi': Hand([Card(""7"", ""Spades""), Card(""4"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""9"", ""Clubs""), Card(""8"", ""Clubs"")])}",8
9,3,['Madi'],['Callie Calls'],"10H, JC, 5S, 7D, 6C","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""J"", ""Clubs""), Card(""5"", ""Spades""), Card(""7"", ""Diamonds""), Card(""6"", ""Clubs"")])}",9
10,3,['Madi'],['Callie Calls'],"KC, 9D, JD, 5C, 6D","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""6"", ""Diamonds"")])}",10
11,6,['Madi'],['Callie Calls'],"7C, KC, KD, 10D, QC","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""K"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""Q"", ""Clubs"")])}",11
12,6,['Madi'],['Callie Calls'],"4S, 5C, 7D, 3H, 6S","{'Madi': Hand([Card(""4"", ""Spades""), Card(""5"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""6"", ""Spades"")])}",12
13,6,['Madi'],['Callie Calls'],"KH, 3H, JS, 3S, KS","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""3"", ""Hearts""), Card(""J"", ""Spades""), Card(""3"", ""Spades""), Card(""K"", ""Spades"")])}",13
14,6,['Madi'],['Callie Calls'],"5S, QS, QH, 5C, AS","{'Madi': Hand([Card(""5"", ""Spades""), Card(""Q"", ""Spades""), Card(""Q"", ""Hearts""), Card(""5"", ""Clubs""), Card(""A"", ""Spades"")])}",14
15,6,['Madi'],['Callie Calls'],"7H, 8C, JS, 10C, 5D","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""8"", ""Clubs""), Card(""J"", ""Spades""), Card(""10"", ""Clubs""), Card(""5"", ""Diamonds"")])}",15
