,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,494,['Sophia'],['Callie Calls'],"AD, QH, QD, 9C, 9D","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""9"", ""Diamonds"")]), 'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""9"", ""Diamonds"")])}",0
1,176,['Sophia'],['Callie Calls'],"AS, KH, 7C, 7D, AH","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""K"", ""Hearts""), Card(""7"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""A"", ""Hearts"")]), 'Sophia': Hand([Card(""A"", ""Spades""), Card(""K"", ""Hearts""), Card(""7"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""A"", ""Hearts"")])}",1
2,80,['Sophia'],['Callie Calls'],"AC, 8S, KH, JH, QH","{'Sophia': Hand([Card(""A"", ""Clubs""), Card(""8"", ""Spades""), Card(""K"", ""Hearts""), Card(""J"", ""Hearts""), Card(""Q"", ""Hearts"")])}",2
3,49,['Michelle'],['Robbie Random'],"2H, JH, 2C, 6C, 9S","{'Michelle': Hand([Card(""2"", ""Hearts""), Card(""J"", ""Hearts""), Card(""2"", ""Clubs""), Card(""6"", ""Clubs""), Card(""9"", ""Spades"")]), 'Sophia': Hand([Card(""5"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""J"", ""Hearts""), Card(""6"", ""Clubs""), Card(""9"", ""Spades"")])}",3
4,45,['Sophia'],['Callie Calls'],"4D, QH, 10H, 4H, 10D","{'Sophia': Hand([Card(""4"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""10"", ""Hearts""), Card(""4"", ""Hearts""), Card(""10"", ""Diamonds"")])}",4
5,56,['Michelle'],['Robbie Random'],"10H, 9D, JH, AD, KD","{'Michelle': Hand([Card(""10"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""K"", ""Diamonds"")]), 'Sophia': Hand([Card(""8"", ""Spades""), Card(""J"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""6"", ""Diamonds"")])}",5
6,4,['Sophia'],['Callie Calls'],"QD, AH, 8D, 6D, JH","{'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""J"", ""Hearts"")])}",6
7,43,['Sophia'],['Callie Calls'],"6C, KH, KS, 6H, QC","{'Sophia': Hand([Card(""6"", ""Clubs""), Card(""K"", ""Hearts""), Card(""K"", ""Spades""), Card(""6"", ""Hearts""), Card(""Q"", ""Clubs"")])}",7
8,4,['Sophia'],['Callie Calls'],"KH, 8S, KS, 7D, 6S","{'Sophia': Hand([Card(""K"", ""Hearts""), Card(""8"", ""Spades""), Card(""K"", ""Spades""), Card(""7"", ""Diamonds""), Card(""6"", ""Spades"")])}",8
9,30,['Sophia'],['Callie Calls'],"8H, 7C, JC, 8S, 6D","{'Sophia': Hand([Card(""8"", ""Hearts""), Card(""7"", ""Clubs""), Card(""J"", ""Clubs""), Card(""8"", ""Spades""), Card(""6"", ""Diamonds"")])}",9
