,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,568,['Sophia'],['Callie Calls'],"9D, 5C, 10S, 5H, AS","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""10"", ""Spades""), Card(""5"", ""Hearts""), Card(""7"", ""Clubs""), Card(""A"", ""Spades"")]), 'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""10"", ""Spades""), Card(""5"", ""Hearts""), Card(""A"", ""Spades"")])}",0
1,101,['Sophia'],['Callie Calls'],"10S, KD, 10H, AH, 8D","{'Sophia': Hand([Card(""10"", ""Spades""), Card(""K"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""A"", ""Hearts""), Card(""8"", ""Diamonds"")])}",1
2,100,['Sophia'],['Callie Calls'],"7C, 8C, KC, 6C, AC","{'Sophia': Hand([Card(""7"", ""Clubs""), Card(""8"", ""Clubs""), Card(""K"", ""Clubs""), Card(""6"", ""Clubs""), Card(""A"", ""Clubs"")])}",2
3,27,['Sophia'],['Callie Calls'],"8C, QD, AH, 8H, JS","{'Sophia': Hand([Card(""8"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""8"", ""Hearts""), Card(""J"", ""Spades"")])}",3
4,3,['Sophia'],['Callie Calls'],"JC, 4C, AH, JH, 4S","{'Sophia': Hand([Card(""J"", ""Clubs""), Card(""4"", ""Clubs""), Card(""A"", ""Hearts""), Card(""J"", ""Hearts""), Card(""4"", ""Spades"")])}",4
5,3,['Sophia'],['Callie Calls'],"9H, 10S, 6C, QH, KH","{'Sophia': Hand([Card(""9"", ""Hearts""), Card(""10"", ""Spades""), Card(""6"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""K"", ""Hearts"")])}",5
6,3,['Sophia'],['Callie Calls'],"3H, 3D, AC, KS, 8H","{'Sophia': Hand([Card(""3"", ""Hearts""), Card(""3"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""K"", ""Spades""), Card(""8"", ""Hearts"")])}",6
7,3,['Sophia'],['Callie Calls'],"5C, 9H, 9D, 10S, 6D","{'Sophia': Hand([Card(""5"", ""Clubs""), Card(""9"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""10"", ""Spades""), Card(""6"", ""Diamonds"")])}",7
8,3,['Sophia'],['Callie Calls'],"3S, QS, 3D, 3C, 6S","{'Sophia': Hand([Card(""3"", ""Spades""), Card(""Q"", ""Spades""), Card(""3"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""6"", ""Spades"")])}",8
9,3,['Sophia'],['Callie Calls'],"JD, 9C, 7D, 10D, 7S","{'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""7"", ""Spades"")])}",9
10,3,['Sophia'],['Callie Calls'],"2H, KC, 2D, QC, QD","{'Sophia': Hand([Card(""2"", ""Hearts""), Card(""K"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""Q"", ""Diamonds"")])}",10
11,6,['Sophia'],['Callie Calls'],"10C, JS, 7C, QH, KH","{'Sophia': Hand([Card(""10"", ""Clubs""), Card(""J"", ""Spades""), Card(""7"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""K"", ""Hearts"")])}",11
12,6,['Sophia'],['Callie Calls'],"QS, KS, KD, 7H, KC","{'Sophia': Hand([Card(""Q"", ""Spades""), Card(""K"", ""Spades""), Card(""K"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""K"", ""Clubs"")])}",12
13,6,['Sophia'],['Callie Calls'],"KS, QC, KH, 10D, JS","{'Sophia': Hand([Card(""K"", ""Spades""), Card(""Q"", ""Clubs""), Card(""K"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""J"", ""Spades"")])}",13
14,6,['Sophia'],['Callie Calls'],"6H, 10H, KD, QD, 6C","{'Sophia': Hand([Card(""6"", ""Hearts""), Card(""10"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""6"", ""Clubs"")])}",14
15,6,['Sophia'],['Callie Calls'],"AC, 5S, AH, 9D, 10H","{'Sophia': Hand([Card(""A"", ""Clubs""), Card(""5"", ""Spades""), Card(""A"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""10"", ""Hearts"")])}",15
16,6,['Sophia'],['Callie Calls'],"JS, JH, 10C, 4S, JC","{'Sophia': Hand([Card(""J"", ""Spades""), Card(""J"", ""Hearts""), Card(""10"", ""Clubs""), Card(""4"", ""Spades""), Card(""J"", ""Clubs"")])}",16
17,6,['Sophia'],['Callie Calls'],"9D, 9H, 6S, AC, 6H","{'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""6"", ""Spades""), Card(""A"", ""Clubs""), Card(""6"", ""Hearts"")])}",17
18,6,['Sophia'],['Callie Calls'],"AS, KC, AH, 3D, 3H","{'Sophia': Hand([Card(""A"", ""Spades""), Card(""K"", ""Clubs""), Card(""A"", ""Hearts""), Card(""3"", ""Diamonds""), Card(""3"", ""Hearts"")])}",18
19,6,['Sophia'],['Callie Calls'],"7D, KS, 5D, QD, AS","{'Sophia': Hand([Card(""7"", ""Diamonds""), Card(""K"", ""Spades""), Card(""5"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""A"", ""Spades"")])}",19
20,6,['Sophia'],['Callie Calls'],"9D, 10S, JS, QD, KC","{'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""10"", ""Spades""), Card(""J"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""K"", ""Clubs"")])}",20
21,12,['Sophia'],['Callie Calls'],"QD, KS, AD, 7C, 7H","{'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""K"", ""Spades""), Card(""A"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""7"", ""Hearts"")])}",21
22,12,['Sophia'],['Callie Calls'],"7C, 7D, QC, 10S, 9C","{'Sophia': Hand([Card(""7"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""10"", ""Spades""), Card(""9"", ""Clubs"")])}",22
