,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,548,['Madi'],['Callie Calls'],"QS, KS, 10H, JH, 9D","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""K"", ""Spades""), Card(""10"", ""Hearts""), Card(""J"", ""Hearts""), Card(""9"", ""Diamonds"")]), 'Michelle': Hand([Card(""10"", ""Spades""), Card(""A"", ""Hearts""), Card(""10"", ""Hearts""), Card(""J"", ""Hearts""), Card(""9"", ""Diamonds"")]), 'Sophia': Hand([Card(""6"", ""Hearts""), Card(""10"", ""Hearts""), Card(""J"", ""Hearts""), Card(""6"", ""Clubs""), Card(""9"", ""Diamonds"")])}",0
1,53,['Madi'],['Callie Calls'],"10H, 9C, 8S, 9H, 8H","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""9"", ""Clubs""), Card(""8"", ""Spades""), Card(""9"", ""Hearts""), Card(""8"", ""Hearts"")])}",1
2,32,"['Cody', 'Madi']","['Robbie Random', 'Callie Calls']","KH, 8D, JD, 8S, QD","{'Cody': Hand([Card(""K"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""8"", ""Spades""), Card(""Q"", ""Diamonds"")]), 'Madi': Hand([Card(""K"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""8"", ""Spades""), Card(""Q"", ""Diamonds"")])}",2
3,30,['Madi'],['Callie Calls'],"7S, QH, JD, 7D, QD","{'Madi': Hand([Card(""7"", ""Spades""), Card(""Q"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""Q"", ""Diamonds"")])}",3
4,180,['Madi'],['Callie Calls'],"4H, 4C, 4S, 5S, AC","{'Madi': Hand([Card(""4"", ""Hearts""), Card(""4"", ""Clubs""), Card(""4"", ""Spades""), Card(""5"", ""Spades""), Card(""A"", ""Clubs"")]), 'Steve': Hand([Card(""10"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""2"", ""Spades""), Card(""Q"", ""Spades""), Card(""A"", ""Clubs"")])}",4
5,21,['Cody'],['Robbie Random'],"AD, 4H, QD, QC, 4S","{'Cody': Hand([Card(""A"", ""Diamonds""), Card(""4"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""4"", ""Spades"")]), 'Madi': Hand([Card(""J"", ""Spades""), Card(""4"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""4"", ""Spades"")])}",5
6,4,['Cody'],['Robbie Random'],"9D, 2H, 2D, AS, AD","{'Cody': Hand([Card(""9"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""A"", ""Spades""), Card(""A"", ""Diamonds"")]), 'Madi': Hand([Card(""8"", ""Hearts""), Card(""2"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""A"", ""Spades""), Card(""A"", ""Diamonds"")])}",6
7,14,['Madi'],['Callie Calls'],"10S, KS, 10C, 10D, QS","{'Madi': Hand([Card(""10"", ""Spades""), Card(""K"", ""Spades""), Card(""10"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""Q"", ""Spades"")])}",7
8,3,['Madi'],['Callie Calls'],"QC, 10S, 8D, QS, AC","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""10"", ""Spades""), Card(""8"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""A"", ""Clubs"")])}",8
9,4,['Madi'],['Callie Calls'],"10C, 9D, QD, 8C, AD","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""A"", ""Diamonds"")])}",9
10,28,['Madi'],['Callie Calls'],"KD, 9H, 8S, JC, 9D","{'Cody': Hand([Card(""4"", ""Diamonds""), Card(""5"", ""Spades""), Card(""8"", ""Spades""), Card(""J"", ""Clubs""), Card(""9"", ""Diamonds"")]), 'Madi': Hand([Card(""K"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""8"", ""Spades""), Card(""J"", ""Clubs""), Card(""9"", ""Diamonds"")])}",10
11,6,['Madi'],['Callie Calls'],"JH, JC, KS, 6C, 6S","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""J"", ""Clubs""), Card(""K"", ""Spades""), Card(""6"", ""Clubs""), Card(""6"", ""Spades"")])}",11
12,6,['Madi'],['Callie Calls'],"AD, 10H, 4H, 4D, 10S","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""4"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""10"", ""Spades"")])}",12
13,6,['Madi'],['Callie Calls'],"10C, 7S, 8C, 7D, QC","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""7"", ""Spades""), Card(""8"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""Q"", ""Clubs"")])}",13
14,6,['Madi'],['Callie Calls'],"8C, 9H, AC, 6C, 8S","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""9"", ""Hearts""), Card(""A"", ""Clubs""), Card(""6"", ""Clubs""), Card(""8"", ""Spades"")])}",14
15,6,['Madi'],['Callie Calls'],"10S, KH, AH, AC, JH","{'Madi': Hand([Card(""10"", ""Spades""), Card(""K"", ""Hearts""), Card(""A"", ""Hearts""), Card(""A"", ""Clubs""), Card(""J"", ""Hearts"")])}",15
16,6,['Madi'],['Callie Calls'],"AD, KC, 5H, JD, JS","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""5"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""J"", ""Spades"")])}",16
17,6,['Madi'],['Callie Calls'],"5C, 5D, 7S, QH, 7H","{'Madi': Hand([Card(""5"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""7"", ""Spades""), Card(""Q"", ""Hearts""), Card(""7"", ""Hearts"")])}",17
