,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,429,['Michelle'],['Robbie Random'],"7H, KH, 4S, 9C, 4H","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""4"", ""Spades""), Card(""9"", ""Clubs""), Card(""4"", ""Hearts"")]), 'Michelle': Hand([Card(""7"", ""Hearts""), Card(""K"", ""Hearts""), Card(""4"", ""Spades""), Card(""9"", ""Clubs""), Card(""4"", ""Hearts"")]), 'Sophia': Hand([Card(""8"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""4"", ""Spades""), Card(""9"", ""Clubs""), Card(""4"", ""Hearts"")])}",0
1,348,['Sophia'],['Callie Calls'],"JD, 4S, 6S, 4H, 6D","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""4"", ""Spades""), Card(""6"", ""Spades""), Card(""4"", ""Hearts""), Card(""6"", ""Diamonds"")]), 'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""4"", ""Spades""), Card(""6"", ""Spades""), Card(""4"", ""Hearts""), Card(""6"", ""Diamonds"")])}",1
2,30,['Sophia'],['Callie Calls'],"AS, 6S, 9H, 7D, 7H","{'Sophia': Hand([Card(""A"", ""Spades""), Card(""6"", ""Spades""), Card(""9"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""7"", ""Hearts"")])}",2
3,3,['Sophia'],['Callie Calls'],"6S, 8D, JH, JS, 8S","{'Sophia': Hand([Card(""6"", ""Spades""), Card(""8"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""J"", ""Spades""), Card(""8"", ""Spades"")])}",3
4,197,['Sophia'],['Callie Calls'],"9H, 7S, 10C, 10S, 6S","{'Sophia': Hand([Card(""9"", ""Hearts""), Card(""7"", ""Spades""), Card(""10"", ""Clubs""), Card(""10"", ""Spades""), Card(""6"", ""Spades"")])}",4
5,5,['Sophia'],['Callie Calls'],"4S, 4H, 6C, AH, 6D","{'Sophia': Hand([Card(""4"", ""Spades""), Card(""4"", ""Hearts""), Card(""6"", ""Clubs""), Card(""A"", ""Hearts""), Card(""6"", ""Diamonds"")])}",5
6,45,['Sophia'],['Callie Calls'],"AH, 8C, AC, 8H, 8D","{'Sophia': Hand([Card(""A"", ""Hearts""), Card(""8"", ""Clubs""), Card(""A"", ""Clubs""), Card(""8"", ""Hearts""), Card(""8"", ""Diamonds"")])}",6
7,3,['Sophia'],['Callie Calls'],"KD, 9S, QS, 10D, KS","{'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""9"", ""Spades""), Card(""Q"", ""Spades""), Card(""10"", ""Diamonds""), Card(""K"", ""Spades"")])}",7
8,320,['Sophia'],['Callie Calls'],"9C, 10C, 10S, 10H, 6D","{'Sophia': Hand([Card(""9"", ""Clubs""), Card(""10"", ""Clubs""), Card(""10"", ""Spades""), Card(""10"", ""Hearts""), Card(""6"", ""Diamonds"")])}",8
9,3,['Sophia'],['Callie Calls'],"QH, 6D, 4S, 9S, 8H","{'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""4"", ""Spades""), Card(""9"", ""Spades""), Card(""8"", ""Hearts"")])}",9
10,6,['Sophia'],['Callie Calls'],"JD, 4H, 7C, 4D, 7H","{'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""4"", ""Hearts""), Card(""7"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""7"", ""Hearts"")])}",10
11,6,['Sophia'],['Callie Calls'],"5H, 9D, KS, AH, 6H","{'Sophia': Hand([Card(""5"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""K"", ""Spades""), Card(""A"", ""Hearts""), Card(""6"", ""Hearts"")])}",11
12,6,['Sophia'],['Callie Calls'],"8C, 6C, JH, QS, KH","{'Sophia': Hand([Card(""8"", ""Clubs""), Card(""6"", ""Clubs""), Card(""J"", ""Hearts""), Card(""Q"", ""Spades""), Card(""K"", ""Hearts"")])}",12
13,6,['Sophia'],['Callie Calls'],"9D, KD, 5D, AD, 4D","{'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""4"", ""Diamonds"")])}",13
14,6,['Sophia'],['Callie Calls'],"7C, 9C, 7H, 6H, AD","{'Sophia': Hand([Card(""7"", ""Clubs""), Card(""9"", ""Clubs""), Card(""7"", ""Hearts""), Card(""6"", ""Hearts""), Card(""A"", ""Diamonds"")])}",14
15,6,['Sophia'],['Callie Calls'],"KS, 3D, 3S, JC, AS","{'Sophia': Hand([Card(""K"", ""Spades""), Card(""3"", ""Diamonds""), Card(""3"", ""Spades""), Card(""J"", ""Clubs""), Card(""A"", ""Spades"")])}",15
16,6,['Sophia'],['Callie Calls'],"7S, 5S, JC, KH, 8D","{'Sophia': Hand([Card(""7"", ""Spades""), Card(""5"", ""Spades""), Card(""J"", ""Clubs""), Card(""K"", ""Hearts""), Card(""8"", ""Diamonds"")])}",16
17,6,['Sophia'],['Callie Calls'],"KH, QS, AS, 9S, QH","{'Sophia': Hand([Card(""K"", ""Hearts""), Card(""Q"", ""Spades""), Card(""A"", ""Spades""), Card(""9"", ""Spades""), Card(""Q"", ""Hearts"")])}",17
18,6,['Sophia'],['Callie Calls'],"6H, 6S, 6C, 2S, 2H","{'Sophia': Hand([Card(""6"", ""Hearts""), Card(""6"", ""Spades""), Card(""6"", ""Clubs""), Card(""2"", ""Spades""), Card(""2"", ""Hearts"")])}",18
19,6,['Sophia'],['Callie Calls'],"JD, QD, 10D, 7C, KS","{'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""K"", ""Spades"")])}",19
20,6,['Sophia'],['Callie Calls'],"QS, JC, AH, 9H, AS","{'Sophia': Hand([Card(""Q"", ""Spades""), Card(""J"", ""Clubs""), Card(""A"", ""Hearts""), Card(""9"", ""Hearts""), Card(""A"", ""Spades"")])}",20
21,12,['Sophia'],['Callie Calls'],"10H, 7S, 10C, AS, KH","{'Sophia': Hand([Card(""10"", ""Hearts""), Card(""7"", ""Spades""), Card(""10"", ""Clubs""), Card(""A"", ""Spades""), Card(""K"", ""Hearts"")])}",21
22,12,['Sophia'],['Callie Calls'],"AD, 8C, KC, 10D, 7H","{'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""K"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""7"", ""Hearts"")])}",22
23,12,['Sophia'],['Callie Calls'],"QD, AD, 5H, 10D, 5D","{'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""5"", ""Diamonds"")])}",23
24,12,['Sophia'],['Callie Calls'],"7S, 8C, 7D, 8S, 10S","{'Sophia': Hand([Card(""7"", ""Spades""), Card(""8"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""8"", ""Spades""), Card(""10"", ""Spades"")])}",24
25,12,['Sophia'],['Callie Calls'],"AD, QS, QH, AS, QC","{'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""Q"", ""Hearts""), Card(""A"", ""Spades""), Card(""Q"", ""Clubs"")])}",25
26,12,['Sophia'],['Callie Calls'],"5D, 5C, 5S, JC, 7D","{'Sophia': Hand([Card(""5"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""5"", ""Spades""), Card(""J"", ""Clubs""), Card(""7"", ""Diamonds"")])}",26
27,12,['Sophia'],['Callie Calls'],"KS, 7S, 10D, JS, 7C","{'Sophia': Hand([Card(""K"", ""Spades""), Card(""7"", ""Spades""), Card(""10"", ""Diamonds""), Card(""J"", ""Spades""), Card(""7"", ""Clubs"")])}",27
28,12,['Sophia'],['Callie Calls'],"2C, 9S, AS, JH, 2H","{'Sophia': Hand([Card(""2"", ""Clubs""), Card(""9"", ""Spades""), Card(""A"", ""Spades""), Card(""J"", ""Hearts""), Card(""2"", ""Hearts"")])}",28
29,12,['Sophia'],['Callie Calls'],"10D, 8D, 8C, QS, QD","{'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""Q"", ""Spades""), Card(""Q"", ""Diamonds"")])}",29
30,12,['Sophia'],['Callie Calls'],"8S, 4H, AH, 4C, 10S","{'Sophia': Hand([Card(""8"", ""Spades""), Card(""4"", ""Hearts""), Card(""A"", ""Hearts""), Card(""4"", ""Clubs""), Card(""10"", ""Spades"")])}",30
