,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,276,['Madi'],['Callie Calls'],"9S, 7C, 10C, AS, JH","{'Madi': Hand([Card(""9"", ""Spades""), Card(""7"", ""Clubs""), Card(""10"", ""Clubs""), Card(""A"", ""Spades""), Card(""J"", ""Hearts"")]), 'Sophia': Hand([Card(""8"", ""Hearts""), Card(""10"", ""Clubs""), Card(""A"", ""Spades""), Card(""6"", ""Clubs""), Card(""J"", ""Hearts"")])}",0
1,232,['Madi'],['Callie Calls'],"3D, AH, 3S, 7S, 7H","{'Madi': Hand([Card(""3"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""3"", ""Spades""), Card(""7"", ""Spades""), Card(""7"", ""Hearts"")]), 'Sophia': Hand([Card(""9"", ""Clubs""), Card(""10"", ""Spades""), Card(""7"", ""Spades""), Card(""7"", ""Hearts""), Card(""5"", ""Spades"")])}",1
2,232,['Madi'],['Callie Calls'],"10S, 7C, 7H, 6C, JC","{'Madi': Hand([Card(""10"", ""Spades""), Card(""7"", ""Clubs""), Card(""7"", ""Hearts""), Card(""6"", ""Clubs""), Card(""J"", ""Clubs"")])}",2
3,102,['Steve'],['Robbie Random'],"AD, KC, 9C, AS, 9H","{'Madi': Hand([Card(""10"", ""Spades""), Card(""10"", ""Clubs""), Card(""9"", ""Clubs""), Card(""A"", ""Spades""), Card(""9"", ""Hearts"")]), 'Steve': Hand([Card(""A"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""9"", ""Clubs""), Card(""A"", ""Spades""), Card(""9"", ""Hearts"")])}",3
4,190,['Madi'],['Callie Calls'],"7S, 7H, 10H, QD, 9C","{'Madi': Hand([Card(""7"", ""Spades""), Card(""7"", ""Hearts""), Card(""10"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""9"", ""Clubs"")]), 'Steve': Hand([Card(""J"", ""Diamonds""), Card(""6"", ""Spades""), Card(""10"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""9"", ""Clubs"")])}",4
5,31,['Madi'],['Callie Calls'],"7C, 2D, 10H, 2H, 7S","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""2"", ""Hearts""), Card(""7"", ""Spades"")])}",5
6,6,['Madi'],['Callie Calls'],"10D, 6D, QC, 7S, QS","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""7"", ""Spades""), Card(""Q"", ""Spades"")])}",6
7,6,['Madi'],['Callie Calls'],"5D, 5H, 5C, 4C, JH","{'Madi': Hand([Card(""5"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""5"", ""Clubs""), Card(""4"", ""Clubs""), Card(""J"", ""Hearts"")])}",7
8,3,['Madi'],['Callie Calls'],"4C, 8D, 5D, 6D, 7C","{'Madi': Hand([Card(""4"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""7"", ""Clubs"")])}",8
9,3,['Madi'],['Callie Calls'],"QD, 9C, JS, AD, 8H","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""J"", ""Spades""), Card(""A"", ""Diamonds""), Card(""8"", ""Hearts"")])}",9
10,3,['Madi'],['Callie Calls'],"KD, JS, 8S, KH, QS","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""J"", ""Spades""), Card(""8"", ""Spades""), Card(""K"", ""Hearts""), Card(""Q"", ""Spades"")])}",10
