,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,380,['Madi'],['Callie Calls'],"10C, 5C, 9C, KC, 4C","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""5"", ""Clubs""), Card(""9"", ""Clubs""), Card(""K"", ""Clubs""), Card(""4"", ""Clubs"")]), 'Sophia': Hand([Card(""7"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""9"", ""Clubs""), Card(""K"", ""Clubs""), Card(""8"", ""Hearts"")])}",0
1,149,['Madi'],['Callie Calls'],"5D, 9D, AS, 5S, 8D","{'Madi': Hand([Card(""5"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""A"", ""Spades""), Card(""5"", ""Spades""), Card(""8"", ""Diamonds"")]), 'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""10"", ""Spades""), Card(""9"", ""Diamonds""), Card(""A"", ""Spades""), Card(""8"", ""Diamonds"")])}",1
2,142,['Madi'],['Callie Calls'],"9D, 9S, JD, QH, JC","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""9"", ""Spades""), Card(""J"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""J"", ""Clubs"")])}",2
3,107,"['Madi', 'Steve']","['Callie Calls', 'Robbie Random']","JD, AS, 2C, 2D, JC","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""A"", ""Spades""), Card(""2"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""J"", ""Clubs"")]), 'Steve': Hand([Card(""J"", ""Diamonds""), Card(""A"", ""Spades""), Card(""2"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""J"", ""Clubs"")])}",3
4,50,['Madi'],['Callie Calls'],"5C, 5H, AS, JH, QC","{'Madi': Hand([Card(""5"", ""Clubs""), Card(""5"", ""Hearts""), Card(""A"", ""Spades""), Card(""J"", ""Hearts""), Card(""Q"", ""Clubs"")])}",4
5,100,['Madi'],['Callie Calls'],"KH, 10S, 10C, AC, KC","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""10"", ""Spades""), Card(""10"", ""Clubs""), Card(""A"", ""Clubs""), Card(""K"", ""Clubs"")]), 'Steve': Hand([Card(""J"", ""Spades""), Card(""10"", ""Spades""), Card(""10"", ""Clubs""), Card(""A"", ""Clubs""), Card(""K"", ""Clubs"")])}",5
6,58,['Steve'],['Robbie Random'],"8S, 8D, 5D, 8C, JC","{'Madi': Hand([Card(""K"", ""Spades""), Card(""8"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""J"", ""Clubs"")]), 'Steve': Hand([Card(""8"", ""Spades""), Card(""8"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""J"", ""Clubs"")])}",6
7,49,['Madi'],['Callie Calls'],"KH, KC, 7D, JD, 7H","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""K"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""7"", ""Hearts"")])}",7
8,12,['Madi'],['Callie Calls'],"9H, JS, AC, JC, 9D","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""J"", ""Spades""), Card(""A"", ""Clubs""), Card(""J"", ""Clubs""), Card(""9"", ""Diamonds"")])}",8
9,65,['Madi'],['Callie Calls'],"JC, 10S, 8H, 10C, AS","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""10"", ""Spades""), Card(""8"", ""Hearts""), Card(""10"", ""Clubs""), Card(""A"", ""Spades"")])}",9
10,7,['Madi'],['Callie Calls'],"AS, AC, KD, JS, JD","{'Madi': Hand([Card(""A"", ""Spades""), Card(""A"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""J"", ""Spades""), Card(""J"", ""Diamonds"")])}",10
11,6,['Madi'],['Callie Calls'],"7S, JD, 10S, AH, 7D","{'Madi': Hand([Card(""7"", ""Spades""), Card(""J"", ""Diamonds""), Card(""10"", ""Spades""), Card(""A"", ""Hearts""), Card(""7"", ""Diamonds"")])}",11
12,6,['Madi'],['Callie Calls'],"JS, JH, KD, 9H, 9S","{'Madi': Hand([Card(""J"", ""Spades""), Card(""J"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""9"", ""Spades"")])}",12
13,6,['Madi'],['Callie Calls'],"3H, 7D, 3S, KS, 7H","{'Madi': Hand([Card(""3"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""3"", ""Spades""), Card(""K"", ""Spades""), Card(""7"", ""Hearts"")])}",13
14,6,['Madi'],['Callie Calls'],"5C, JS, 5D, AC, KH","{'Madi': Hand([Card(""5"", ""Clubs""), Card(""J"", ""Spades""), Card(""5"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""K"", ""Hearts"")])}",14
15,6,['Madi'],['Callie Calls'],"5S, 10S, 5D, AS, AC","{'Madi': Hand([Card(""5"", ""Spades""), Card(""10"", ""Spades""), Card(""5"", ""Diamonds""), Card(""A"", ""Spades""), Card(""A"", ""Clubs"")])}",15
16,6,['Madi'],['Callie Calls'],"KD, 5S, 5D, 5C, 8C","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""5"", ""Spades""), Card(""5"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""8"", ""Clubs"")])}",16
17,6,['Madi'],['Callie Calls'],"AD, KH, JD, 10D, 10S","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""10"", ""Spades"")])}",17
18,6,['Madi'],['Callie Calls'],"5S, 10S, 9C, 8D, AH","{'Madi': Hand([Card(""5"", ""Spades""), Card(""10"", ""Spades""), Card(""9"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""A"", ""Hearts"")])}",18
19,6,['Madi'],['Callie Calls'],"9C, QS, 10S, KC, JC","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""Q"", ""Spades""), Card(""10"", ""Spades""), Card(""K"", ""Clubs""), Card(""J"", ""Clubs"")])}",19
20,6,['Madi'],['Callie Calls'],"8H, AC, 10S, 6H, JC","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""A"", ""Clubs""), Card(""10"", ""Spades""), Card(""6"", ""Hearts""), Card(""J"", ""Clubs"")])}",20
21,12,['Madi'],['Callie Calls'],"8H, QC, AD, 7D, QD","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""Q"", ""Diamonds"")])}",21
22,12,['Madi'],['Callie Calls'],"JS, QH, QC, QS, QD","{'Madi': Hand([Card(""J"", ""Spades""), Card(""Q"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""Q"", ""Spades""), Card(""Q"", ""Diamonds"")])}",22
23,12,['Madi'],['Callie Calls'],"KS, AC, 10C, JC, 9D","{'Madi': Hand([Card(""K"", ""Spades""), Card(""A"", ""Clubs""), Card(""10"", ""Clubs""), Card(""J"", ""Clubs""), Card(""9"", ""Diamonds"")])}",23
24,12,['Madi'],['Callie Calls'],"9D, 7C, 8C, 10S, QH","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""8"", ""Clubs""), Card(""10"", ""Spades""), Card(""Q"", ""Hearts"")])}",24
25,12,['Madi'],['Callie Calls'],"JC, QS, 6D, AD, 6S","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""Q"", ""Spades""), Card(""6"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""6"", ""Spades"")])}",25
26,12,['Madi'],['Callie Calls'],"9C, 10D, 7C, KH, 7H","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""K"", ""Hearts""), Card(""7"", ""Hearts"")])}",26
27,12,['Madi'],['Callie Calls'],"QD, 6D, 7S, 7H, AD","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""7"", ""Spades""), Card(""7"", ""Hearts""), Card(""A"", ""Diamonds"")])}",27
28,12,['Madi'],['Callie Calls'],"7S, 7D, AC, KH, AS","{'Madi': Hand([Card(""7"", ""Spades""), Card(""7"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""K"", ""Hearts""), Card(""A"", ""Spades"")])}",28
29,12,['Madi'],['Callie Calls'],"2C, 2S, 6S, 6H, QD","{'Madi': Hand([Card(""2"", ""Clubs""), Card(""2"", ""Spades""), Card(""6"", ""Spades""), Card(""6"", ""Hearts""), Card(""Q"", ""Diamonds"")])}",29
