,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,480,['Sophia'],['Callie Calls'],"5C, 7D, QS, 9S, 7C","{'Madi': Hand([Card(""6"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""Q"", ""Spades""), Card(""9"", ""Spades""), Card(""7"", ""Clubs"")]), 'Steve': Hand([Card(""3"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""Q"", ""Spades""), Card(""3"", ""Spades""), Card(""9"", ""Spades"")]), 'Sophia': Hand([Card(""5"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""9"", ""Spades""), Card(""7"", ""Clubs"")])}",0
1,196,['Michelle'],['Robbie Random'],"5H, 5D, KD, 8C, 8S","{'Michelle': Hand([Card(""5"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""8"", ""Spades"")]), 'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""8"", ""Spades"")])}",1
2,247,['Sophia'],['Callie Calls'],"6S, QH, 5S, QS, AD","{'Sophia': Hand([Card(""6"", ""Spades""), Card(""Q"", ""Hearts""), Card(""5"", ""Spades""), Card(""Q"", ""Spades""), Card(""A"", ""Diamonds"")])}",2
3,133,['Sophia'],['Callie Calls'],"10S, 8C, JH, 10C, 9S","{'Sophia': Hand([Card(""10"", ""Spades""), Card(""8"", ""Clubs""), Card(""J"", ""Hearts""), Card(""10"", ""Clubs""), Card(""9"", ""Spades"")])}",3
4,3,['Sophia'],['Callie Calls'],"10D, 6S, 9S, 8S, KD","{'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""6"", ""Spades""), Card(""9"", ""Spades""), Card(""8"", ""Spades""), Card(""K"", ""Diamonds"")])}",4
5,54,['Sophia'],['Callie Calls'],"8C, 2C, 2H, 6H, 9H","{'Sophia': Hand([Card(""8"", ""Clubs""), Card(""2"", ""Clubs""), Card(""2"", ""Hearts""), Card(""6"", ""Hearts""), Card(""9"", ""Hearts"")])}",5
6,70,['Michelle'],['Robbie Random'],"QC, KD, QS, 8S, JD","{'Michelle': Hand([Card(""Q"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""8"", ""Spades""), Card(""J"", ""Diamonds"")]), 'Sophia': Hand([Card(""A"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""8"", ""Spades""), Card(""J"", ""Diamonds"")])}",6
7,3,['Sophia'],['Callie Calls'],"7S, 5D, 8S, 6D, 9C","{'Sophia': Hand([Card(""7"", ""Spades""), Card(""5"", ""Diamonds""), Card(""8"", ""Spades""), Card(""6"", ""Diamonds""), Card(""9"", ""Clubs"")])}",7
8,3,['Sophia'],['Callie Calls'],"5C, 9S, AS, 5S, 9H","{'Sophia': Hand([Card(""5"", ""Clubs""), Card(""9"", ""Spades""), Card(""A"", ""Spades""), Card(""5"", ""Spades""), Card(""9"", ""Hearts"")])}",8
9,28,['Sophia'],['Callie Calls'],"3H, 3D, KC, KH, 9H","{'Sophia': Hand([Card(""3"", ""Hearts""), Card(""3"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""K"", ""Hearts""), Card(""9"", ""Hearts"")])}",9
10,39,['Sophia'],['Callie Calls'],"8H, 9D, QH, AH, KS","{'Sophia': Hand([Card(""8"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""A"", ""Hearts""), Card(""K"", ""Spades"")])}",10
11,78,['Sophia'],['Callie Calls'],"KC, AS, 10D, KH, AD","{'Sophia': Hand([Card(""K"", ""Clubs""), Card(""A"", ""Spades""), Card(""10"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""A"", ""Diamonds"")])}",11
12,6,['Sophia'],['Callie Calls'],"9S, 4H, 7D, 10C, 4C","{'Sophia': Hand([Card(""9"", ""Spades""), Card(""4"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""4"", ""Clubs"")])}",12
