,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,353,['Madi'],['Callie Calls'],"8C, 7C, 8D, 10D, 7D","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""7"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""7"", ""Diamonds"")]), 'Sophia': Hand([Card(""4"", ""Hearts""), Card(""7"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""7"", ""Diamonds"")])}",0
1,231,['Cody'],['Robbie Random'],"AH, 7D, 8C, 7H, 10S","{'Cody': Hand([Card(""A"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""7"", ""Hearts""), Card(""10"", ""Spades"")]), 'Madi': Hand([Card(""2"", ""Clubs""), Card(""2"", ""Spades""), Card(""8"", ""Clubs""), Card(""7"", ""Hearts""), Card(""10"", ""Spades"")]), 'Sophia': Hand([Card(""6"", ""Spades""), Card(""A"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""7"", ""Hearts""), Card(""10"", ""Spades"")])}",1
2,222,['Madi'],['Callie Calls'],"8D, QS, AH, JS, 8H","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""A"", ""Hearts""), Card(""J"", ""Spades""), Card(""8"", ""Hearts"")]), 'Steve': Hand([Card(""9"", ""Clubs""), Card(""Q"", ""Spades""), Card(""A"", ""Hearts""), Card(""J"", ""Spades""), Card(""8"", ""Hearts"")])}",2
3,14,['Madi'],['Callie Calls'],"4H, 4C, AC, 4S, 8D","{'Madi': Hand([Card(""4"", ""Hearts""), Card(""4"", ""Clubs""), Card(""A"", ""Clubs""), Card(""4"", ""Spades""), Card(""8"", ""Diamonds"")]), 'Steve': Hand([Card(""7"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""A"", ""Clubs""), Card(""8"", ""Diamonds"")])}",3
4,145,['Madi'],['Callie Calls'],"5D, KC, 5S, 10S, KS","{'Madi': Hand([Card(""5"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""5"", ""Spades""), Card(""10"", ""Spades""), Card(""K"", ""Spades"")])}",4
5,5,['Madi'],['Callie Calls'],"KD, 10D, 9D, 10H, AC","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""A"", ""Clubs"")])}",5
6,291,['Madi'],['Callie Calls'],"AS, 9C, 7D, 7S, JD","{'Madi': Hand([Card(""A"", ""Spades""), Card(""9"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""7"", ""Spades""), Card(""J"", ""Diamonds"")])}",6
7,4,['Madi'],['Callie Calls'],"2S, 2C, KD, 3C, 3S","{'Madi': Hand([Card(""2"", ""Spades""), Card(""2"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""3"", ""Spades"")])}",7
8,38,['Madi'],['Callie Calls'],"KH, 4H, 8H, 5D, KS","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""4"", ""Hearts""), Card(""8"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""K"", ""Spades"")])}",8
9,5,['Madi'],['Callie Calls'],"AH, AD, QD, 10H, KC","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""K"", ""Clubs"")])}",9
10,4,['Madi'],['Callie Calls'],"9D, 6C, KS, 8C, KC","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""K"", ""Spades""), Card(""8"", ""Clubs""), Card(""K"", ""Clubs"")])}",10
11,12,['Madi'],['Callie Calls'],"KD, 6C, 8H, 7D, 8C","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""8"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""8"", ""Clubs"")])}",11
12,6,['Madi'],['Callie Calls'],"10S, 9C, QD, 8S, 6S","{'Madi': Hand([Card(""10"", ""Spades""), Card(""9"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""8"", ""Spades""), Card(""6"", ""Spades"")])}",12
13,8,['Madi'],['Callie Calls'],"9D, 6S, QS, JD, 6C","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""6"", ""Spades""), Card(""Q"", ""Spades""), Card(""J"", ""Diamonds""), Card(""6"", ""Clubs"")])}",13
14,18,['Madi'],['Callie Calls'],"7C, JS, 10H, 7D, JH","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""J"", ""Spades""), Card(""10"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""J"", ""Hearts"")])}",14
15,6,['Madi'],['Callie Calls'],"10S, 5S, 5D, AD, 8S","{'Madi': Hand([Card(""10"", ""Spades""), Card(""5"", ""Spades""), Card(""5"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""8"", ""Spades"")])}",15
16,8,['Madi'],['Callie Calls'],"QS, KS, KC, 7C, JD","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""K"", ""Spades""), Card(""K"", ""Clubs""), Card(""7"", ""Clubs""), Card(""J"", ""Diamonds"")])}",16
17,6,['Madi'],['Callie Calls'],"AD, QH, QD, 10D, 8S","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""8"", ""Spades"")])}",17
18,6,['Madi'],['Callie Calls'],"JS, 10C, QS, KH, AC","{'Madi': Hand([Card(""J"", ""Spades""), Card(""10"", ""Clubs""), Card(""Q"", ""Spades""), Card(""K"", ""Hearts""), Card(""A"", ""Clubs"")])}",18
19,6,['Madi'],['Callie Calls'],"6D, KH, JH, KC, 7S","{'Madi': Hand([Card(""6"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""J"", ""Hearts""), Card(""K"", ""Clubs""), Card(""7"", ""Spades"")])}",19
20,6,['Madi'],['Callie Calls'],"6S, QS, 6H, 10H, JS","{'Madi': Hand([Card(""6"", ""Spades""), Card(""Q"", ""Spades""), Card(""6"", ""Hearts""), Card(""10"", ""Hearts""), Card(""J"", ""Spades"")])}",20
21,12,['Madi'],['Callie Calls'],"KS, KH, 7D, JS, QH","{'Madi': Hand([Card(""K"", ""Spades""), Card(""K"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""J"", ""Spades""), Card(""Q"", ""Hearts"")])}",21
22,12,['Madi'],['Callie Calls'],"6H, JH, KD, 7S, 8H","{'Madi': Hand([Card(""6"", ""Hearts""), Card(""J"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""7"", ""Spades""), Card(""8"", ""Hearts"")])}",22
23,12,['Madi'],['Callie Calls'],"9D, 10H, KS, QC, 6C","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""K"", ""Spades""), Card(""Q"", ""Clubs""), Card(""6"", ""Clubs"")])}",23
24,12,['Madi'],['Callie Calls'],"JD, 8C, QC, JS, 10C","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""J"", ""Spades""), Card(""10"", ""Clubs"")])}",24
25,12,['Madi'],['Callie Calls'],"QS, 10S, QH, QD, JD","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""10"", ""Spades""), Card(""Q"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""J"", ""Diamonds"")])}",25
26,12,['Madi'],['Callie Calls'],"10C, 9S, 6S, 5S, 7H","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""9"", ""Spades""), Card(""6"", ""Spades""), Card(""5"", ""Spades""), Card(""7"", ""Hearts"")])}",26
27,12,['Madi'],['Callie Calls'],"2S, 2C, JD, AC, JS","{'Madi': Hand([Card(""2"", ""Spades""), Card(""2"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""J"", ""Spades"")])}",27
28,12,['Madi'],['Callie Calls'],"4D, 9H, KS, 9D, 4H","{'Madi': Hand([Card(""4"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""K"", ""Spades""), Card(""9"", ""Diamonds""), Card(""4"", ""Hearts"")])}",28
29,12,['Madi'],['Callie Calls'],"10C, 6C, 6D, AH, JH","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""6"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""J"", ""Hearts"")])}",29
30,12,['Madi'],['Callie Calls'],"3S, 3C, 6H, KC, 6S","{'Madi': Hand([Card(""3"", ""Spades""), Card(""3"", ""Clubs""), Card(""6"", ""Hearts""), Card(""K"", ""Clubs""), Card(""6"", ""Spades"")])}",30
