,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,560,['Madi'],['Callie Calls'],"KD, 9C, KC, 8H, 7S","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""K"", ""Clubs""), Card(""8"", ""Hearts""), Card(""7"", ""Spades"")]), 'Michelle': Hand([Card(""A"", ""Spades""), Card(""J"", ""Clubs""), Card(""9"", ""Clubs""), Card(""K"", ""Clubs""), Card(""8"", ""Hearts"")]), 'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""9"", ""Clubs""), Card(""K"", ""Clubs""), Card(""8"", ""Hearts""), Card(""7"", ""Spades"")])}",0
1,89,['Madi'],['Callie Calls'],"2D, 5D, 5C, AD, 2C","{'Madi': Hand([Card(""2"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""2"", ""Clubs"")])}",1
2,90,['Madi'],['Callie Calls'],"10S, 8H, 9C, 9S, 5H","{'Madi': Hand([Card(""10"", ""Spades""), Card(""8"", ""Hearts""), Card(""9"", ""Clubs""), Card(""9"", ""Spades""), Card(""5"", ""Hearts"")])}",2
3,26,['Madi'],['Callie Calls'],"9D, AD, 10D, AS, 10C","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""A"", ""Spades""), Card(""10"", ""Clubs"")])}",3
4,3,['Madi'],['Callie Calls'],"AC, 6H, 8D, KC, AD","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""6"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""A"", ""Diamonds"")])}",4
5,34,['Cody'],['Robbie Random'],"KS, JC, KD, 7D, 7S","{'Cody': Hand([Card(""K"", ""Spades""), Card(""J"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""7"", ""Spades"")]), 'Madi': Hand([Card(""4"", ""Spades""), Card(""K"", ""Diamonds""), Card(""4"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""7"", ""Spades"")])}",5
6,4,['Madi'],['Callie Calls'],"9D, 8S, 5C, 6C, 10C","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""8"", ""Spades""), Card(""5"", ""Clubs""), Card(""6"", ""Clubs""), Card(""10"", ""Clubs"")])}",6
7,5,['Madi'],['Callie Calls'],"7H, 7C, JS, 6D, 8H","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""7"", ""Clubs""), Card(""J"", ""Spades""), Card(""6"", ""Diamonds""), Card(""8"", ""Hearts"")])}",7
8,68,['Madi'],['Callie Calls'],"8H, 8S, 9H, KC, 9S","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""8"", ""Spades""), Card(""9"", ""Hearts""), Card(""K"", ""Clubs""), Card(""9"", ""Spades"")])}",8
9,8,['Madi'],['Callie Calls'],"6D, 9D, QH, JD, AH","{'Madi': Hand([Card(""6"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""A"", ""Hearts"")])}",9
10,3,['Madi'],['Callie Calls'],"JS, KC, AC, QC, QH","{'Madi': Hand([Card(""J"", ""Spades""), Card(""K"", ""Clubs""), Card(""A"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""Q"", ""Hearts"")])}",10
11,6,['Madi'],['Callie Calls'],"9H, 5C, KH, KD, AD","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""5"", ""Clubs""), Card(""K"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""A"", ""Diamonds"")])}",11
12,6,['Madi'],['Callie Calls'],"QS, AD, KH, 9H, AH","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""A"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""9"", ""Hearts""), Card(""A"", ""Hearts"")])}",12
13,6,['Madi'],['Callie Calls'],"AS, AD, 10C, 8S, 8C","{'Madi': Hand([Card(""A"", ""Spades""), Card(""A"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""8"", ""Spades""), Card(""8"", ""Clubs"")])}",13
14,6,['Madi'],['Callie Calls'],"9S, 7S, 9D, QH, 8C","{'Madi': Hand([Card(""9"", ""Spades""), Card(""7"", ""Spades""), Card(""9"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""8"", ""Clubs"")])}",14
15,6,['Madi'],['Callie Calls'],"4C, KC, 6H, 9D, 8S","{'Madi': Hand([Card(""4"", ""Clubs""), Card(""K"", ""Clubs""), Card(""6"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""8"", ""Spades"")])}",15
16,6,['Madi'],['Callie Calls'],"7D, 4D, KD, QD, 6D","{'Madi': Hand([Card(""7"", ""Diamonds""), Card(""4"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""6"", ""Diamonds"")])}",16
17,6,['Madi'],['Callie Calls'],"AS, QC, 9C, QH, KH","{'Madi': Hand([Card(""A"", ""Spades""), Card(""Q"", ""Clubs""), Card(""9"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""K"", ""Hearts"")])}",17
18,6,['Madi'],['Callie Calls'],"9D, 6C, 8D, 6D, JH","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""J"", ""Hearts"")])}",18
19,6,['Madi'],['Callie Calls'],"AC, KH, JS, 6H, 6S","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""K"", ""Hearts""), Card(""J"", ""Spades""), Card(""6"", ""Hearts""), Card(""6"", ""Spades"")])}",19
20,6,['Madi'],['Callie Calls'],"KS, QC, KC, 8S, 7D","{'Madi': Hand([Card(""K"", ""Spades""), Card(""Q"", ""Clubs""), Card(""K"", ""Clubs""), Card(""8"", ""Spades""), Card(""7"", ""Diamonds"")])}",20
21,12,['Madi'],['Callie Calls'],"5C, QC, 6D, JC, KS","{'Madi': Hand([Card(""5"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""K"", ""Spades"")])}",21
22,12,['Madi'],['Callie Calls'],"6H, 8C, 8D, 6D, KC","{'Madi': Hand([Card(""6"", ""Hearts""), Card(""8"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""K"", ""Clubs"")])}",22
23,12,['Madi'],['Callie Calls'],"7H, KC, 6S, 7D, 6D","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""K"", ""Clubs""), Card(""6"", ""Spades""), Card(""7"", ""Diamonds""), Card(""6"", ""Diamonds"")])}",23
24,12,['Madi'],['Callie Calls'],"QH, AC, AD, 8C, 9H","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""A"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""9"", ""Hearts"")])}",24
25,12,['Madi'],['Callie Calls'],"KD, 9C, 10D, 9D, JD","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""J"", ""Diamonds"")])}",25
26,12,['Madi'],['Callie Calls'],"6C, 5C, 3D, 2H, 4S","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""5"", ""Clubs""), Card(""3"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""4"", ""Spades"")])}",26
27,12,['Madi'],['Callie Calls'],"3H, KH, KS, 3C, QS","{'Madi': Hand([Card(""3"", ""Hearts""), Card(""K"", ""Hearts""), Card(""K"", ""Spades""), Card(""3"", ""Clubs""), Card(""Q"", ""Spades"")])}",27
28,12,['Madi'],['Callie Calls'],"KH, 6D, 6S, QD, AH","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""6"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""A"", ""Hearts"")])}",28
29,12,['Madi'],['Callie Calls'],"4D, QC, 4C, 9S, QS","{'Madi': Hand([Card(""4"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""4"", ""Clubs""), Card(""9"", ""Spades""), Card(""Q"", ""Spades"")])}",29
