,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,435,"['Cody', 'Sophia']","['Robbie Random', 'Callie Calls']","4C, 3C, 7D, 6H, 5C","{'Cody': Hand([Card(""4"", ""Clubs""), Card(""3"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""5"", ""Clubs"")]), 'Madi': Hand([Card(""7"", ""Clubs""), Card(""A"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""5"", ""Clubs"")]), 'Sophia': Hand([Card(""4"", ""Diamonds""), Card(""3"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""5"", ""Clubs"")])}",0
1,341,['Steve'],['Robbie Random'],"10S, 6H, 6C, AH, 10H","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""J"", ""Spades""), Card(""9"", ""Hearts""), Card(""A"", ""Hearts""), Card(""10"", ""Hearts"")]), 'Steve': Hand([Card(""10"", ""Spades""), Card(""6"", ""Hearts""), Card(""6"", ""Clubs""), Card(""A"", ""Hearts""), Card(""10"", ""Hearts"")]), 'Sophia': Hand([Card(""5"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""A"", ""Hearts""), Card(""10"", ""Hearts""), Card(""5"", ""Spades"")])}",1
2,615,['Steve'],['Robbie Random'],"KD, 9S, 9H, KC, 9C","{'Steve': Hand([Card(""K"", ""Diamonds""), Card(""9"", ""Spades""), Card(""9"", ""Hearts""), Card(""K"", ""Clubs""), Card(""9"", ""Clubs"")]), 'Sophia': Hand([Card(""9"", ""Hearts""), Card(""6"", ""Spades""), Card(""K"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""9"", ""Clubs"")])}",2
3,49,['Steve'],['Robbie Random'],"QC, 10C, 7D, 7S, 10H","{'Steve': Hand([Card(""Q"", ""Clubs""), Card(""10"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""7"", ""Spades""), Card(""10"", ""Hearts"")])}",3
4,17,['Beezie'],['Ricky Raise'],"AD, 7C, 7H, 7D, 8C","{'Beezie': Hand([Card(""A"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""7"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""8"", ""Clubs"")])}",4
5,675,['Steve'],['Robbie Random'],"9H, 9D, 9S, AH, AS","{'Steve': Hand([Card(""9"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""9"", ""Spades""), Card(""A"", ""Hearts""), Card(""A"", ""Spades"")])}",5
6,667,['Steve'],['Robbie Random'],"4S, KD, 9D, 4D, 9C","{'Steve': Hand([Card(""4"", ""Spades""), Card(""K"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""4"", ""Diamonds""), Card(""9"", ""Clubs"")])}",6
7,563,['Steve'],['Robbie Random'],"7D, QD, QS, 7H, JD","{'Steve': Hand([Card(""7"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""7"", ""Hearts""), Card(""J"", ""Diamonds"")])}",7
8,9,['Steve'],['Robbie Random'],"AS, JD, KH, 8D, QC","{'Steve': Hand([Card(""A"", ""Spades""), Card(""J"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""Q"", ""Clubs"")])}",8
9,3,['Steve'],['Robbie Random'],"KD, 9D, JD, 8D, AD","{'Steve': Hand([Card(""K"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""A"", ""Diamonds"")])}",9
10,3,['Steve'],['Robbie Random'],"7D, QS, 9H, 6H, 7S","{'Steve': Hand([Card(""7"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""9"", ""Hearts""), Card(""6"", ""Hearts""), Card(""7"", ""Spades"")])}",10
11,6,['Steve'],['Robbie Random'],"KS, 10C, 6C, 10D, QH","{'Steve': Hand([Card(""K"", ""Spades""), Card(""10"", ""Clubs""), Card(""6"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""Q"", ""Hearts"")])}",11
12,6,['Bob'],['Floyd Folds'],"8D, QD, 9D, JC, QS","{'Bob': Hand([Card(""8"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""Q"", ""Spades"")])}",12
13,6,['Steve'],['Robbie Random'],"6H, 3D, 3S, 6C, AS","{'Steve': Hand([Card(""6"", ""Hearts""), Card(""3"", ""Diamonds""), Card(""3"", ""Spades""), Card(""6"", ""Clubs""), Card(""A"", ""Spades"")])}",13
14,6,['Bob'],['Floyd Folds'],"5H, 7S, 10D, 6C, KH","{'Bob': Hand([Card(""5"", ""Hearts""), Card(""7"", ""Spades""), Card(""10"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""K"", ""Hearts"")])}",14
15,6,['Steve'],['Robbie Random'],"9S, QC, AS, 10D, QS","{'Steve': Hand([Card(""9"", ""Spades""), Card(""Q"", ""Clubs""), Card(""A"", ""Spades""), Card(""10"", ""Diamonds""), Card(""Q"", ""Spades"")])}",15
16,6,['Bob'],['Floyd Folds'],"4C, JH, QD, 6S, AS","{'Bob': Hand([Card(""4"", ""Clubs""), Card(""J"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""6"", ""Spades""), Card(""A"", ""Spades"")])}",16
17,6,['Steve'],['Robbie Random'],"KS, 10H, 10D, QH, AS","{'Steve': Hand([Card(""K"", ""Spades""), Card(""10"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""A"", ""Spades"")])}",17
18,6,['Steve'],['Robbie Random'],"QC, AH, 10H, 6C, JS","{'Steve': Hand([Card(""Q"", ""Clubs""), Card(""A"", ""Hearts""), Card(""10"", ""Hearts""), Card(""6"", ""Clubs""), Card(""J"", ""Spades"")])}",18
19,6,['Steve'],['Robbie Random'],"AS, KD, 7C, QD, JD","{'Steve': Hand([Card(""A"", ""Spades""), Card(""K"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""J"", ""Diamonds"")])}",19
