,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,270,['Sophia'],['Callie Calls'],"2D, 7S, 2H, 7D, 2S","{'Madi': Hand([Card(""5"", ""Diamonds""), Card(""5"", ""Spades""), Card(""2"", ""Hearts""), Card(""8"", ""Spades""), Card(""2"", ""Spades"")]), 'Sophia': Hand([Card(""2"", ""Diamonds""), Card(""7"", ""Spades""), Card(""2"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""2"", ""Spades"")])}",0
1,459,['Sophia'],['Callie Calls'],"2C, 2H, AC, 2D, JS","{'Cody': Hand([Card(""7"", ""Clubs""), Card(""2"", ""Hearts""), Card(""A"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""J"", ""Spades"")]), 'Madi': Hand([Card(""K"", ""Clubs""), Card(""2"", ""Hearts""), Card(""A"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""J"", ""Spades"")]), 'Michelle': Hand([Card(""6"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""A"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""6"", ""Spades"")]), 'Sophia': Hand([Card(""2"", ""Clubs""), Card(""2"", ""Hearts""), Card(""A"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""J"", ""Spades"")])}",1
2,42,['Sophia'],['Callie Calls'],"9H, 6C, 6S, 9C, AD","{'Sophia': Hand([Card(""9"", ""Hearts""), Card(""6"", ""Clubs""), Card(""6"", ""Spades""), Card(""9"", ""Clubs""), Card(""A"", ""Diamonds"")])}",2
3,39,['Sophia'],['Callie Calls'],"10S, QC, 8D, 6C, 6S","{'Sophia': Hand([Card(""10"", ""Spades""), Card(""Q"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""6"", ""Spades"")])}",3
4,3,['Sophia'],['Callie Calls'],"8C, 8H, 5C, 5D, AD","{'Sophia': Hand([Card(""8"", ""Clubs""), Card(""8"", ""Hearts""), Card(""5"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""A"", ""Diamonds"")])}",4
5,3,['Sophia'],['Callie Calls'],"7S, 10H, KS, 7D, 8S","{'Sophia': Hand([Card(""7"", ""Spades""), Card(""10"", ""Hearts""), Card(""K"", ""Spades""), Card(""7"", ""Diamonds""), Card(""8"", ""Spades"")])}",5
6,3,['Sophia'],['Callie Calls'],"10S, QD, 10C, 7C, 7H","{'Sophia': Hand([Card(""10"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""7"", ""Clubs""), Card(""7"", ""Hearts"")])}",6
7,3,['Sophia'],['Callie Calls'],"10C, 4C, 4D, 10S, QS","{'Sophia': Hand([Card(""10"", ""Clubs""), Card(""4"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""10"", ""Spades""), Card(""Q"", ""Spades"")])}",7
8,3,['Sophia'],['Callie Calls'],"2C, QS, AC, 2S, QC","{'Sophia': Hand([Card(""2"", ""Clubs""), Card(""Q"", ""Spades""), Card(""A"", ""Clubs""), Card(""2"", ""Spades""), Card(""Q"", ""Clubs"")])}",8
9,3,['Sophia'],['Callie Calls'],"4C, JH, KH, AH, 8C","{'Sophia': Hand([Card(""4"", ""Clubs""), Card(""J"", ""Hearts""), Card(""K"", ""Hearts""), Card(""A"", ""Hearts""), Card(""8"", ""Clubs"")])}",9
10,3,['Sophia'],['Callie Calls'],"7S, AD, JD, JS, 7H","{'Sophia': Hand([Card(""7"", ""Spades""), Card(""A"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""J"", ""Spades""), Card(""7"", ""Hearts"")])}",10
11,6,['Sophia'],['Callie Calls'],"2C, 2S, 7D, 2D, 7S","{'Sophia': Hand([Card(""2"", ""Clubs""), Card(""2"", ""Spades""), Card(""7"", ""Diamonds""), Card(""2"", ""Diamonds""), Card(""7"", ""Spades"")])}",11
12,6,['Sophia'],['Callie Calls'],"3S, 9S, 3H, QH, AS","{'Sophia': Hand([Card(""3"", ""Spades""), Card(""9"", ""Spades""), Card(""3"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""A"", ""Spades"")])}",12
13,6,['Sophia'],['Callie Calls'],"4H, KD, QS, KS, 4S","{'Sophia': Hand([Card(""4"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""K"", ""Spades""), Card(""4"", ""Spades"")])}",13
14,6,['Sophia'],['Callie Calls'],"7D, 7S, QC, 4S, 4H","{'Sophia': Hand([Card(""7"", ""Diamonds""), Card(""7"", ""Spades""), Card(""Q"", ""Clubs""), Card(""4"", ""Spades""), Card(""4"", ""Hearts"")])}",14
15,6,['Sophia'],['Callie Calls'],"6S, 7H, 5S, 8S, 4H","{'Sophia': Hand([Card(""6"", ""Spades""), Card(""7"", ""Hearts""), Card(""5"", ""Spades""), Card(""8"", ""Spades""), Card(""4"", ""Hearts"")])}",15
16,6,['Sophia'],['Callie Calls'],"8C, AD, 10D, JS, 6D","{'Sophia': Hand([Card(""8"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""J"", ""Spades""), Card(""6"", ""Diamonds"")])}",16
17,6,['Sophia'],['Callie Calls'],"7S, 10D, 9D, KS, KD","{'Sophia': Hand([Card(""7"", ""Spades""), Card(""10"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""K"", ""Spades""), Card(""K"", ""Diamonds"")])}",17
18,6,['Sophia'],['Callie Calls'],"8C, 10D, 8H, KH, JD","{'Sophia': Hand([Card(""8"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""K"", ""Hearts""), Card(""J"", ""Diamonds"")])}",18
19,6,['Sophia'],['Callie Calls'],"7H, KS, 7D, KH, 7C","{'Sophia': Hand([Card(""7"", ""Hearts""), Card(""K"", ""Spades""), Card(""7"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""7"", ""Clubs"")])}",19
20,6,['Sophia'],['Callie Calls'],"6H, 6S, 4S, QH, 4D","{'Sophia': Hand([Card(""6"", ""Hearts""), Card(""6"", ""Spades""), Card(""4"", ""Spades""), Card(""Q"", ""Hearts""), Card(""4"", ""Diamonds"")])}",20
21,12,['Sophia'],['Callie Calls'],"7S, 9D, 6H, 8H, 5C","{'Sophia': Hand([Card(""7"", ""Spades""), Card(""9"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""8"", ""Hearts""), Card(""5"", ""Clubs"")])}",21
