,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,698,['Madi'],['Callie Calls'],"QD, JD, JS, 7D, 10H","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""J"", ""Spades""), Card(""7"", ""Diamonds""), Card(""10"", ""Hearts"")]), 'Sophia': Hand([Card(""2"", ""Diamonds""), Card(""2"", ""Spades""), Card(""J"", ""Spades""), Card(""7"", ""Diamonds""), Card(""10"", ""Hearts"")])}",0
1,3,['Madi'],['Callie Calls'],"KD, QC, 7C, 8C, 10S","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""7"", ""Clubs""), Card(""8"", ""Clubs""), Card(""10"", ""Spades"")])}",1
2,3,['Madi'],['Callie Calls'],"JH, JD, 10C, 7S, QC","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""7"", ""Spades""), Card(""Q"", ""Clubs"")])}",2
3,3,['Madi'],['Callie Calls'],"4D, 6C, 5C, 7C, 3S","{'Madi': Hand([Card(""4"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""5"", ""Clubs""), Card(""7"", ""Clubs""), Card(""3"", ""Spades"")])}",3
4,3,['Madi'],['Callie Calls'],"KH, 4H, 7S, 8C, 4C","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""4"", ""Hearts""), Card(""7"", ""Spades""), Card(""8"", ""Clubs""), Card(""4"", ""Clubs"")])}",4
5,3,['Madi'],['Callie Calls'],"7S, 9D, 9S, 4D, 8H","{'Madi': Hand([Card(""7"", ""Spades""), Card(""9"", ""Diamonds""), Card(""9"", ""Spades""), Card(""4"", ""Diamonds""), Card(""8"", ""Hearts"")])}",5
6,3,['Madi'],['Callie Calls'],"QH, 7S, KS, 7D, JS","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""7"", ""Spades""), Card(""K"", ""Spades""), Card(""7"", ""Diamonds""), Card(""J"", ""Spades"")])}",6
7,3,['Madi'],['Callie Calls'],"AD, JC, 7C, JH, KC","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""7"", ""Clubs""), Card(""J"", ""Hearts""), Card(""K"", ""Clubs"")])}",7
8,3,['Madi'],['Callie Calls'],"JH, KC, AS, 6C, JD","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""K"", ""Clubs""), Card(""A"", ""Spades""), Card(""6"", ""Clubs""), Card(""J"", ""Diamonds"")])}",8
9,3,['Madi'],['Callie Calls'],"2C, KD, 9D, JC, 2H","{'Madi': Hand([Card(""2"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""2"", ""Hearts"")])}",9
10,3,['Madi'],['Callie Calls'],"AS, AH, 10S, 5C, 7H","{'Madi': Hand([Card(""A"", ""Spades""), Card(""A"", ""Hearts""), Card(""10"", ""Spades""), Card(""5"", ""Clubs""), Card(""7"", ""Hearts"")])}",10
11,6,['Madi'],['Callie Calls'],"8C, 7S, 2D, 2C, 8S","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""7"", ""Spades""), Card(""2"", ""Diamonds""), Card(""2"", ""Clubs""), Card(""8"", ""Spades"")])}",11
12,6,['Madi'],['Callie Calls'],"8C, QS, QD, 7S, JD","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""Q"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""7"", ""Spades""), Card(""J"", ""Diamonds"")])}",12
