,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,500,['Sophia'],['Callie Calls'],"9D, 5H, 7S, 6C, 8S","{'Cody': Hand([Card(""A"", ""Spades""), Card(""A"", ""Diamonds""), Card(""7"", ""Spades""), Card(""6"", ""Clubs""), Card(""8"", ""Spades"")]), 'Madi': Hand([Card(""J"", ""Clubs""), Card(""5"", ""Hearts""), Card(""7"", ""Spades""), Card(""6"", ""Clubs""), Card(""8"", ""Spades"")]), 'Johnny': Hand([Card(""K"", ""Clubs""), Card(""A"", ""Clubs""), Card(""7"", ""Spades""), Card(""6"", ""Clubs""), Card(""8"", ""Spades"")]), 'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""7"", ""Spades""), Card(""6"", ""Clubs""), Card(""8"", ""Spades"")])}",0
1,6,['Sophia'],['Callie Calls'],"6C, AH, 6H, JS, 9D","{'Beezie': Hand([Card(""A"", ""Spades""), Card(""6"", ""Hearts""), Card(""8"", ""Clubs""), Card(""J"", ""Spades""), Card(""9"", ""Diamonds"")]), 'Sophia': Hand([Card(""6"", ""Clubs""), Card(""A"", ""Hearts""), Card(""6"", ""Hearts""), Card(""J"", ""Spades""), Card(""9"", ""Diamonds"")])}",1
2,294,['Beezie'],['Johnny Jacks'],"10S, AC, QS, AS, KC","{'Alice': Hand([Card(""A"", ""Hearts""), Card(""9"", ""Clubs""), Card(""Q"", ""Spades""), Card(""A"", ""Spades""), Card(""K"", ""Clubs"")]), 'Beezie': Hand([Card(""10"", ""Spades""), Card(""A"", ""Clubs""), Card(""Q"", ""Spades""), Card(""A"", ""Spades""), Card(""K"", ""Clubs"")]), 'Sophia': Hand([Card(""10"", ""Hearts""), Card(""10"", ""Clubs""), Card(""Q"", ""Spades""), Card(""A"", ""Spades""), Card(""K"", ""Clubs"")])}",2
3,60,['Josh'],['Herbie Human'],"QC, JD, JS, 4C, 4D","{'Josh': Hand([Card(""Q"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""J"", ""Spades""), Card(""4"", ""Clubs""), Card(""4"", ""Diamonds"")]), 'Sophia': Hand([Card(""2"", ""Spades""), Card(""J"", ""Spades""), Card(""4"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""2"", ""Clubs"")])}",3
4,6,['Sophia'],['Callie Calls'],"9S, QS, 8C, 9C, QD","{'Josh': Hand([Card(""K"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""8"", ""Clubs""), Card(""9"", ""Clubs""), Card(""Q"", ""Diamonds"")]), 'Sophia': Hand([Card(""9"", ""Spades""), Card(""Q"", ""Spades""), Card(""8"", ""Clubs""), Card(""9"", ""Clubs""), Card(""Q"", ""Diamonds"")])}",4
5,6,['Beezie'],['Johnny Jacks'],"8C, KS, 7S, QH, 9H","{'Beezie': Hand([Card(""8"", ""Clubs""), Card(""K"", ""Spades""), Card(""7"", ""Spades""), Card(""Q"", ""Hearts""), Card(""9"", ""Hearts"")]), 'Sophia': Hand([Card(""A"", ""Clubs""), Card(""5"", ""Clubs""), Card(""7"", ""Spades""), Card(""Q"", ""Hearts""), Card(""9"", ""Hearts"")])}",5
6,3,['Sophia'],['Callie Calls'],"10S, 4C, AH, 4S, 10H","{'Sophia': Hand([Card(""10"", ""Spades""), Card(""4"", ""Clubs""), Card(""A"", ""Hearts""), Card(""4"", ""Spades""), Card(""10"", ""Hearts"")])}",6
7,8,['Beezie'],['Johnny Jacks'],"KD, AC, JC, 10S, QD","{'Beezie': Hand([Card(""K"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""J"", ""Clubs""), Card(""10"", ""Spades""), Card(""Q"", ""Diamonds"")]), 'Sophia': Hand([Card(""9"", ""Hearts""), Card(""J"", ""Clubs""), Card(""10"", ""Spades""), Card(""K"", ""Clubs""), Card(""Q"", ""Diamonds"")])}",7
8,6,['Beezie'],['Johnny Jacks'],"AC, KC, 10D, 8C, KH","{'Beezie': Hand([Card(""A"", ""Clubs""), Card(""K"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""K"", ""Hearts"")]), 'Sophia': Hand([Card(""J"", ""Spades""), Card(""K"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""K"", ""Hearts"")])}",8
9,246,['Josh'],['Herbie Human'],"KS, 10H, KH, 10C, KC","{'Josh': Hand([Card(""K"", ""Spades""), Card(""10"", ""Hearts""), Card(""K"", ""Hearts""), Card(""10"", ""Clubs""), Card(""K"", ""Clubs"")]), 'Sophia': Hand([Card(""5"", ""Hearts""), Card(""10"", ""Hearts""), Card(""K"", ""Hearts""), Card(""10"", ""Clubs""), Card(""K"", ""Clubs"")])}",9
10,90,['Josh'],['Herbie Human'],"8H, KS, 10D, 8C, 10H","{'Beezie': Hand([Card(""J"", ""Clubs""), Card(""K"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""10"", ""Hearts"")]), 'Josh': Hand([Card(""8"", ""Hearts""), Card(""K"", ""Spades""), Card(""10"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""10"", ""Hearts"")]), 'Sophia': Hand([Card(""A"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""7"", ""Spades""), Card(""10"", ""Hearts"")])}",10
11,10,['Josh'],['Herbie Human'],"AH, 10D, 10C, 7C, 6D","{'Josh': Hand([Card(""A"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""7"", ""Clubs""), Card(""6"", ""Diamonds"")]), 'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""7"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""5"", ""Spades"")])}",11
12,10,['Sophia'],['Callie Calls'],"5S, 5D, 6C, 6H, 9S","{'Beezie': Hand([Card(""A"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""6"", ""Hearts""), Card(""9"", ""Spades"")]), 'Sophia': Hand([Card(""5"", ""Spades""), Card(""5"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""6"", ""Hearts""), Card(""9"", ""Spades"")])}",12
13,8,['Sophia'],['Callie Calls'],"9S, JC, 5C, KH, 4C","{'Sophia': Hand([Card(""9"", ""Spades""), Card(""J"", ""Clubs""), Card(""5"", ""Clubs""), Card(""K"", ""Hearts""), Card(""4"", ""Clubs"")])}",13
14,6,['Sophia'],['Callie Calls'],"AD, 8S, JH, 8H, JS","{'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""8"", ""Spades""), Card(""J"", ""Hearts""), Card(""8"", ""Hearts""), Card(""J"", ""Spades"")])}",14
15,12,['Josh'],['Herbie Human'],"KD, 9H, KC, AC, QS","{'Beezie': Hand([Card(""J"", ""Hearts""), Card(""K"", ""Clubs""), Card(""A"", ""Clubs""), Card(""Q"", ""Spades""), Card(""5"", ""Spades"")]), 'Josh': Hand([Card(""K"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""K"", ""Clubs""), Card(""A"", ""Clubs""), Card(""Q"", ""Spades"")]), 'Sophia': Hand([Card(""9"", ""Clubs""), Card(""J"", ""Clubs""), Card(""K"", ""Clubs""), Card(""A"", ""Clubs""), Card(""Q"", ""Spades"")])}",15
16,120,['Beezie'],['Johnny Jacks'],"KH, JS, QS, 10S, AC","{'Beezie': Hand([Card(""K"", ""Hearts""), Card(""J"", ""Spades""), Card(""Q"", ""Spades""), Card(""10"", ""Spades""), Card(""A"", ""Clubs"")]), 'Josh': Hand([Card(""Q"", ""Clubs""), Card(""Q"", ""Spades""), Card(""10"", ""Spades""), Card(""7"", ""Hearts""), Card(""A"", ""Clubs"")]), 'Sophia': Hand([Card(""K"", ""Spades""), Card(""8"", ""Hearts""), Card(""Q"", ""Spades""), Card(""10"", ""Spades""), Card(""A"", ""Clubs"")])}",16
17,102,['Josh'],['Herbie Human'],"QC, 4S, 4C, 2H, 4H","{'Josh': Hand([Card(""Q"", ""Clubs""), Card(""4"", ""Spades""), Card(""4"", ""Clubs""), Card(""2"", ""Hearts""), Card(""4"", ""Hearts"")]), 'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""4"", ""Clubs""), Card(""10"", ""Spades""), Card(""4"", ""Hearts"")])}",17
18,12,['Beezie'],['Johnny Jacks'],"JD, KS, AS, 10D, QH","{'Beezie': Hand([Card(""J"", ""Diamonds""), Card(""K"", ""Spades""), Card(""A"", ""Spades""), Card(""10"", ""Diamonds""), Card(""Q"", ""Hearts"")]), 'Sophia': Hand([Card(""Q"", ""Spades""), Card(""K"", ""Spades""), Card(""A"", ""Spades""), Card(""10"", ""Diamonds""), Card(""Q"", ""Hearts"")])}",18
19,800,['Sophia'],['Callie Calls'],"9C, 9D, 9H, AD, 6D","{'Beezie': Hand([Card(""J"", ""Hearts""), Card(""J"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""A"", ""Diamonds"")]), 'Josh': Hand([Card(""K"", ""Spades""), Card(""8"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""A"", ""Diamonds"")]), 'Sophia': Hand([Card(""9"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""6"", ""Diamonds"")])}",19
