,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,401,['Sophia'],['Callie Calls'],"QD, QC, 4D, AD, 4H","{'Madi': Hand([Card(""5"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""5"", ""Spades""), Card(""A"", ""Diamonds""), Card(""4"", ""Hearts"")]), 'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""4"", ""Hearts"")])}",0
1,219,['Cody'],['Robbie Random'],"2D, 5S, AC, 4D, 3D","{'Cody': Hand([Card(""2"", ""Diamonds""), Card(""5"", ""Spades""), Card(""A"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""3"", ""Diamonds"")]), 'Sophia': Hand([Card(""5"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""5"", ""Spades""), Card(""A"", ""Clubs""), Card(""3"", ""Diamonds"")])}",1
2,358,['Sophia'],['Callie Calls'],"AH, JH, 8S, 7H, 7S","{'Sophia': Hand([Card(""A"", ""Hearts""), Card(""J"", ""Hearts""), Card(""8"", ""Spades""), Card(""7"", ""Hearts""), Card(""7"", ""Spades"")])}",2
3,17,['Sophia'],['Callie Calls'],"6C, 5C, 7D, JS, 10C","{'Sophia': Hand([Card(""6"", ""Clubs""), Card(""5"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""J"", ""Spades""), Card(""10"", ""Clubs"")])}",3
4,148,['Sophia'],['Callie Calls'],"7D, QD, QC, 9C, 9H","{'Cody': Hand([Card(""3"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""9"", ""Clubs""), Card(""3"", ""Diamonds""), Card(""9"", ""Hearts"")]), 'Sophia': Hand([Card(""7"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""9"", ""Clubs""), Card(""9"", ""Hearts"")])}",4
5,43,['Sophia'],['Callie Calls'],"8D, 7S, 8S, 9D, 10D","{'Sophia': Hand([Card(""8"", ""Diamonds""), Card(""7"", ""Spades""), Card(""8"", ""Spades""), Card(""9"", ""Diamonds""), Card(""10"", ""Diamonds"")])}",5
6,6,['Sophia'],['Callie Calls'],"6H, 10D, 9S, 6S, 7C","{'Sophia': Hand([Card(""6"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""9"", ""Spades""), Card(""6"", ""Spades""), Card(""7"", ""Clubs"")])}",6
7,9,['Sophia'],['Callie Calls'],"5D, 9S, AS, 5C, JC","{'Sophia': Hand([Card(""5"", ""Diamonds""), Card(""9"", ""Spades""), Card(""A"", ""Spades""), Card(""5"", ""Clubs""), Card(""J"", ""Clubs"")])}",7
8,5,['Sophia'],['Callie Calls'],"6C, AH, 6D, KC, QD","{'Sophia': Hand([Card(""6"", ""Clubs""), Card(""A"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""Q"", ""Diamonds"")])}",8
9,58,['Sophia'],['Callie Calls'],"JS, 4C, AD, 4D, JD","{'Sophia': Hand([Card(""J"", ""Spades""), Card(""4"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""4"", ""Diamonds""), Card(""J"", ""Diamonds"")])}",9
